# Acquisizione Analog Discovery 2 - Lunga durata
# time	ch1	ch2
-8.192000000000000393e-01	6.169626484616155260e-01	1.247490951800700118e-02
-8.191000000000000503e-01	6.021314976943931141e-01	3.115083542734482097e-02
-8.190000000000000613e-01	6.169626484616155260e-01	3.115083542734482097e-02
-8.189000000000000723e-01	5.761769838517538656e-01	3.488602060921238562e-02
-8.188000000000000833e-01	5.947159223107818526e-01	1.994527988174212701e-02
-8.187000000000000943e-01	5.947159223107818526e-01	3.115083542734482097e-02
-8.185999999999999943e-01	5.984237100025875389e-01	3.115083542734482097e-02
-8.185000000000000053e-01	6.058392853861986893e-01	1.994527988174212701e-02
-8.184000000000000163e-01	5.873003469271707022e-01	2.368046506360969167e-02
-8.183000000000000274e-01	6.206704361534211012e-01	3.115083542734482097e-02
-8.182000000000000384e-01	6.317937992288379379e-01	2.741565024547725632e-02
-8.181000000000000494e-01	6.095470730780042645e-01	1.994527988174212701e-02
-8.180000000000000604e-01	5.947159223107818526e-01	4.235639097294750799e-02
-8.179000000000000714e-01	5.984237100025875389e-01	1.247490951800700118e-02
-8.178000000000000824e-01	6.058392853861986893e-01	1.994527988174212701e-02
-8.177000000000000934e-01	6.206704361534211012e-01	2.741565024547725632e-02
-8.175999999999999934e-01	6.021314976943931141e-01	2.741565024547725632e-02
-8.175000000000000044e-01	6.095470730780042645e-01	2.741565024547725632e-02
-8.174000000000000155e-01	6.021314976943931141e-01	5.004539154271873611e-03
-8.173000000000000265e-01	6.132548607698099508e-01	1.621009469987456583e-02
-8.172000000000000375e-01	5.835925592353651270e-01	3.488602060921238562e-02
-8.171000000000000485e-01	5.910081346189762774e-01	1.994527988174212701e-02
-8.170000000000000595e-01	6.206704361534211012e-01	2.741565024547725632e-02
-8.169000000000000705e-01	5.910081346189762774e-01	1.994527988174212701e-02
-8.168000000000000815e-01	6.021314976943931141e-01	3.488602060921238562e-02
-8.167000000000000925e-01	6.132548607698099508e-01	1.994527988174212701e-02
-8.165999999999999925e-01	6.392093746124491993e-01	1.994527988174212701e-02
-8.165000000000000036e-01	6.132548607698099508e-01	3.488602060921238562e-02
-8.164000000000000146e-01	6.243782238452267874e-01	4.235639097294750799e-02
-8.163000000000000256e-01	5.873003469271707022e-01	3.115083542734482097e-02
-8.162000000000000366e-01	6.132548607698099508e-01	1.994527988174212701e-02
-8.161000000000000476e-01	6.021314976943931141e-01	4.609157615481507264e-02
-8.160000000000000586e-01	5.910081346189762774e-01	2.741565024547725632e-02
-8.159000000000000696e-01	6.169626484616155260e-01	4.982676133668263729e-02
-8.158000000000000806e-01	5.947159223107818526e-01	3.488602060921238562e-02
-8.157000000000000917e-01	6.206704361534211012e-01	5.004539154271873611e-03
-8.155999999999999917e-01	6.021314976943931141e-01	-6.201016391330817744e-03
-8.155000000000000027e-01	5.910081346189762774e-01	4.609157615481507264e-02
-8.154000000000000137e-01	6.021314976943931141e-01	1.621009469987456583e-02
-8.153000000000000247e-01	6.021314976943931141e-01	2.368046506360969167e-02
