# #Freq[Hz], #Gain_mean[a.u.], #Gain_std[a.u.], #Phase_mean[rad], #Phase_std[rad]
1.000000000000000000e+01,3.307977215895480185e+02,6.795990813415229148e-01,-4.906362804439901297e-05,2.255431809881089291e-03
1.028073223830865324e+01,3.314082629714638983e+02,1.473867014311709633e+00,2.842483583901156191e-04,2.947765346702129440e-03
1.056934553557988288e+01,3.309997926709938270e+02,9.450272416672194087e-01,1.283853987985628152e-03,2.509741359342436678e-03
1.086606113854597488e+01,3.312193028843788625e+02,1.026880767384005022e+00,-8.883861200484233656e-04,2.737047295919130610e-03
1.117110650504824143e+01,3.306716743593593151e+02,5.661295322181120193e-01,8.949764920656022853e-05,1.436958056616573741e-03
1.148471547840289553e+01,3.314110466140073754e+02,6.306105038110324523e-01,4.210474561374688698e-05,2.419540460059807496e-03
1.180712846666190252e+01,3.308961081674152069e+02,6.224600339084748191e-01,-7.983540983634185729e-04,1.094875472064889277e-03
1.213859262690628249e+01,3.312532070399669806e+02,8.664231700065428976e-01,1.272075737212663535e-04,1.858963082315582237e-03
1.247936205471311411e+01,3.308290242025149723e+02,6.123701205241515177e-01,9.437088421569317809e-04,1.141001937495967353e-03
1.282969797894147490e+01,3.311680501377230712e+02,4.658951411250541463e-01,-7.637058706123856172e-04,9.661886253708729111e-04
1.318986896198669889e+01,3.312964042096566004e+02,5.861241254354516705e-01,9.367348519076390979e-04,1.600345133261273090e-03
1.356015110565633286e+01,3.309974219112033893e+02,6.573947272078475290e-01,1.910164252063584200e-04,1.432882461482935538e-03
1.394082826282577869e+01,3.309687737853824387e+02,5.109071484007677855e-01,5.871870979638593290e-04,1.282000345925929548e-03
1.433219225503573924e+01,3.310983822700833912e+02,5.621040103467471738e-01,9.290990360408813418e-05,2.906832783132569896e-03
1.473454309619835101e+01,3.305474064661796092e+02,7.258300382225674197e-01,1.471191908668512127e-04,1.836292280547484335e-03
1.514818922258345779e+01,3.310260881499760899e+02,6.915368712825736841e-01,6.214875296233657743e-04,1.068422305836765063e-03
1.557344772926134269e+01,3.309027654431511678e+02,5.453015547609760816e-01,-6.963445943080071032e-04,1.624707816194099260e-03
1.601064461318317811e+01,3.308330592879926257e+02,6.315063757190700899e-01,-9.696564648375982642e-05,1.792321007126943715e-03
1.646011502308550689e+01,3.311969311707131283e+02,6.469126947436969477e-01,-3.545776573727011044e-04,2.428739843087866952e-03
1.692220351641037368e+01,3.311236425616590964e+02,4.616706949334619114e-01,-3.699147379296885418e-04,2.063751306203117503e-03
1.739726432343801577e+01,3.308009221056440765e+02,5.335836467467053312e-01,1.413376010125588723e-04,1.829545778963710288e-03
1.788566161883461803e+01,3.308009290367399444e+02,7.843804516158315865e-01,8.701096807651520276e-04,1.555346283085583172e-03
1.838776980082327839e+01,3.309140686578282384e+02,6.573453900442117748e-01,3.252150917593788046e-04,1.610975900654708316e-03
1.890397377819221347e+01,3.308103353715252410e+02,5.322958639991819396e-01,-2.051516671570663419e-04,2.787987398000913060e-03
1.943466926536021333e+01,3.310249325130276361e+02,6.315769159817469225e-01,-1.164209035566354800e-03,1.464486810985850826e-03
1.998026308572550747e+01,3.315136613340833946e+02,3.948234683438305304e-01,-3.461564888472157156e-04,2.605381835455511125e-03
2.054117348353064187e+01,3.311025745409178285e+02,6.003345894268743432e-01,-6.263132550530237639e-05,2.424342389256733954e-03
2.111783044448244340e+01,3.309764677677551958e+02,5.664286994064641201e-01,-5.322572461269548189e-04,1.145370024548051464e-03
2.171067602537264918e+01,3.310318130992751549e+02,5.233712220812611893e-01,2.606933371906095193e-04,2.324567071092753685e-03
2.232016469295234629e+01,3.310461086774292880e+02,7.807044992776118741e-01,2.783244770743653509e-04,1.286955207934526151e-03
2.294676367231935998e+01,3.312815923279483172e+02,8.224018017021249571e-01,1.027575757358922728e-03,2.210275482977928745e-03
2.359095330508635158e+01,3.310446260186934637e+02,9.005983603499062573e-01,1.135935431783474669e-03,2.552335383050737590e-03
2.425322741760352940e+01,3.306392268816542810e+02,8.144457397799149678e-01,-1.011760576081721609e-03,1.417091361994556823e-03
2.493409369951879029e+01,3.311319819037730667e+02,5.556425443606314296e-01,-1.683371255569277134e-04,3.146318703407306305e-03
2.563407409296515027e+01,3.314116300615381192e+02,4.978683256984248184e-01,-2.972720898852365787e-04,4.461769099110937317e-03
2.635370519267394585e+01,3.305777881649482310e+02,9.199185247197920745e-01,-5.738973461144603050e-05,1.953254706701748090e-03
2.709353865732051503e+01,3.309579852894752321e+02,6.666381964731646903e-01,4.871753622448515841e-05,1.319486771820306808e-03
2.785414163241767582e+01,3.311661964749150684e+02,6.665631003903454976e-01,-9.065043845384312959e-04,1.412785154001804100e-03
2.863609718508115876e+01,3.310129319317500176e+02,9.323056529737754339e-01,5.459679474649981263e-04,1.667055424881313912e-03
2.944000475100035175e+01,3.310005987296599415e+02,8.072004360520687039e-01,8.891138117273822200e-04,2.050173762503118124e-03
3.026648059395692059e+01,3.310489448631279288e+02,7.347995674601157656e-01,-2.970651738560814437e-04,2.772361233482586226e-03
3.111615827824361347e+01,3.307738732604896086e+02,5.900273670706325246e-01,-2.983021231286952894e-03,4.636029475592050829e-03
3.198968915434537763e+01,3.307050342432115713e+02,8.373184052350091111e-01,-8.416665357315000979e-04,2.117434725582472213e-03
3.288774285825510191e+01,3.309068429469264743e+02,1.054004838086175511e+00,1.539691985738311873e-03,2.017948133768496591e-03
3.381100782480685041e+01,3.311603524513753314e+02,1.057839178601952534e+00,-1.890361292891107461e-05,1.684129674123771049e-03
3.476019181541977332e+01,3.308927629548571758e+02,1.344965350704899532e+00,4.793329947574420793e-05,2.045223389452775244e-03
3.573602246065788535e+01,3.304141368426886629e+02,6.181903434728247548e-01,2.319464327240172816e-04,1.926192593225876590e-03
3.673924781802074335e+01,3.306843941895891703e+02,9.035528963668389979e-01,-2.364824326682546211e-03,3.083128240552634753e-03
3.777063694539368299e+01,3.310325956081333629e+02,1.037704164367164950e+00,-1.408035478160796303e-03,4.103474219139623298e-03
3.883098049059604762e+01,3.318952454284414557e+02,1.342599727974766566e+00,-5.075893732592983831e-04,1.354681708343148184e-03
3.992109129748053675e+01,3.315336805473674531e+02,1.067147482457081242e+00,-1.052822205347414553e-04,2.300741295238967633e-03
4.104180502904709016e+01,3.308662170260253106e+02,6.435485499586958147e-01,-2.598111611047793264e-03,5.260100899022025420e-03
4.219398080805026297e+01,3.309525269449812868e+02,3.920031860112277444e-01,2.421643364311609867e-04,1.019614763800130632e-03
4.337850187558989035e+01,3.310265427209332643e+02,4.919263012563193094e-01,2.762954474762491122e-04,2.433417371902776589e-03
4.459627626819093393e+01,3.310623517673015499e+02,4.049788588542632684e-01,1.796648835853620286e-04,1.757916031962862037e-03
4.584823751389095747e+01,3.310570075935829095e+02,5.415804501967917961e-01,4.812789276785967236e-04,1.349803066429367329e-03
4.713534534786909802e+01,3.305767492238218779e+02,1.434524341202804365e+00,-1.369641288363698751e-04,1.486771536737848190e-03
4.845858644816495797e+01,3.308386014411647693e+02,1.469607635831642112e+00,1.221949208395667428e-03,5.072301861113182909e-03
4.981897519205162439e+01,3.312020464222197234e+02,1.090460019810467918e+00,1.229427599126964353e-03,2.575486130839782679e-03
5.121755443364241245e+01,3.323275114156513723e+02,1.878092683335150115e+00,-4.749913382862125388e-05,3.030719823236775485e-03
5.265539630332755650e+01,3.312288302094310097e+02,4.967553116066243946e-01,-9.105824058559086175e-04,2.823233512914719457e-03
5.413360302965381265e+01,3.311879352861771508e+02,1.354823387934416701e+00,-8.846214543832608751e-04,2.429214380388621929e-03
5.565330778427645697e+01,3.316679094420474598e+02,1.034611140112167371e+00,-8.429577498598739011e-05,1.163520927898144524e-03
5.721567555063251831e+01,3.306804029291700999e+02,1.163007786969793456e+00,-1.397029350045775288e-03,1.725968581630865899e-03
5.882190401699956084e+01,3.309117846698978838e+02,6.241184261138297273e-01,-1.073111903335766072e-03,2.131336494039270599e-03
6.047322449462649274e+01,3.304376020926862338e+02,1.633703164509353822e+00,2.051758501108613686e-03,3.741777992378240297e-03
6.217090286163826818e+01,3.313348228568225977e+02,1.095305076279494916e+00,-9.481273998044326135e-04,1.603751187147729219e-03
6.391624053344005318e+01,3.309689091980723106e+02,6.604601137660663923e-01,1.897113377627945808e-03,3.785216559217365224e-03
6.571057546036270480e+01,3.309510307967796052e+02,8.267550846860919345e-01,-1.145249394445846305e-03,3.498755317110568801e-03
6.755528315331642375e+01,3.307608558975399546e+02,4.862377086946312321e-01,-1.151951564723763212e-03,1.444792595883316729e-03
6.945177773823695588e+01,3.320121769979899113e+02,1.890071769807174729e+00,4.213439776895811168e-04,2.759162445965810187e-03
7.140151304013399169e+01,3.305480961054183808e+02,1.414106695990138274e+00,4.124351619748445113e-04,2.445073766158784717e-03
7.340598369757212538e+01,3.307251791813176283e+02,8.161826646704495314e-01,2.621111579195556287e-03,7.623751396788978202e-03
7.546672630843890772e+01,3.310598905927782312e+02,1.014692653623712859e+00,2.891308798538228149e-03,5.680205208607282293e-03
7.758532060787835860e+01,3.309545725914264267e+02,8.054976092916538155e-01,1.962207210090305496e-03,7.520100894554825229e-03
7.976339067929276894e+01,3.311230337291588057e+02,5.654442573504293579e-01,1.094768520675692996e-04,9.560688262992709987e-04
8.200260619934130091e+01,3.318563299124834316e+02,3.113041080493105905e+00,7.674911437951514870e-04,4.128903181252089466e-03
8.430468371788971638e+01,3.310124126831119042e+02,4.311242776509637831e-01,3.972393274097818722e-04,1.769689514865172269e-03
8.667138797389233673e+01,3.308238791604533731e+02,2.519726566797108713e+00,-9.727020317474632588e-04,4.943905480188563566e-03
8.910453324821513377e+01,3.310593987725241050e+02,4.984109268831408701e-01,6.413668130102134985e-04,6.217152652379291742e-04
9.160598475443708821e+01,3.304875949930793695e+02,2.016518403640144008e+00,9.944411087912108371e-04,5.385852895328960277e-03
9.417766006869518947e+01,3.309543029972890054e+02,9.094454288154577570e-01,8.869519985766682662e-04,5.952345263225687286e-03
9.682153059967086506e+01,3.301412221728855911e+02,2.013467635436380299e+00,-2.054452552427488317e-03,3.524799362037243835e-03
9.953962309984233059e+01,3.307103625921490107e+02,2.307967956622008376e+00,1.357637625664187640e-03,6.096348825210226238e-03
1.023340212191642280e+02,3.309701591213382699e+02,4.557559107687718658e-01,1.067399446419514761e-03,1.330495142478735088e-03
1.052068671023622812e+02,3.309617047038958617e+02,5.377323750220555088e-01,2.522143702480050603e-04,1.011567370530457120e-03
1.081603630310709434e+02,3.308767684682965182e+02,6.898909859127256849e-01,-5.958598747793253814e-04,2.059403699912899788e-03
1.111967731120698915e+02,3.316732134579984859e+02,1.874044783714145179e+00,3.942049306970396680e-04,1.907962025635854143e-03
1.143184250129150286e+02,3.312884213738087738e+02,5.076570628280824282e-01,1.497370738781844766e-03,4.570373225096845647e-03
1.175277117462945142e+02,3.306723193117888400e+02,3.503935227754080839e-01,7.907531669815170972e-05,1.609977766376317725e-03
1.208270935044775882e+02,3.311897240242980160e+02,4.890766066280421986e-01,-1.451658946525657859e-04,2.770231948483763921e-03
1.242190995452617415e+02,3.309878461691560574e+02,5.468545709445117309e-01,-4.684861706591991748e-04,1.631375616115167361e-03
1.277063301308644725e+02,3.317630629576154888e+02,2.120380181727950841e+00,-1.445189167014859885e-04,7.889777989174859372e-04
1.312914585212465397e+02,3.310304205698008673e+02,4.576570068395699464e-01,-1.823336614711124125e-04,9.532648880628244491e-04
1.349772330233941773e+02,3.307909979608397748e+02,4.607948394477225929e-01,-5.279619480362818251e-04,2.849866227453361212e-03
1.387664790981308442e+02,3.316616702682159143e+02,2.007738536724824829e+00,2.233351839113240003e-03,5.309787210883583873e-03
1.426621015260738261e+02,3.309189028425466859e+02,5.100154956036724307e-01,-4.713688336753562918e-04,9.861322761137044073e-04
1.466670866343968669e+02,3.314237718520558360e+02,1.285878341629641985e+00,-1.304644672861110565e-03,3.391275885873279265e-03
1.507845045861051005e+02,3.309278712983474975e+02,5.153968074450342440e-01,-2.716648220486561695e-05,2.237298768784248479e-03
1.550175117335770381e+02,3.304182547800949692e+02,1.924846302438934842e+00,1.528056571167679635e-03,3.856086890466672943e-03
1.593693530381776213e+02,3.310591941556457414e+02,3.730413955689664274e-01,-5.646400165114862308e-04,1.632119382467332562e-03
1.638433645577984805e+02,3.307748136571898385e+02,5.704051767262744432e-01,-1.033350543450417634e-03,1.650947547124946525e-03
1.684429760042315252e+02,3.307749078255038739e+02,8.475310962186077823e-01,-1.774039766885371436e-03,6.137712118042511558e-03
1.731717133723352902e+02,3.309133946235199346e+02,7.107783358093371362e-01,-5.383213517936358055e-04,1.273176182806851683e-03
1.780332016430113811e+02,3.315062175909156394e+02,1.853695837778143840e+00,-2.093892479125169961e-04,3.392979709381734304e-03
1.830311675620613130e+02,3.309338304767719592e+02,5.999332222296298589e-01,-6.458049504690421610e-04,1.960945452056218376e-03
1.881694424970555701e+02,3.311476200745245251e+02,4.742660550161499344e-01,6.749359675550792304e-05,9.851540757316399471e-04
1.934519653744044376e+02,3.300130752442184985e+02,2.102891863419847684e+00,-1.213443074202569250e-03,1.662917442693864940e-03
1.988827856988809799e+02,3.309410872357820494e+02,4.608049713509850265e-01,-4.433729200819857890e-04,1.449415538409040563e-03
2.044660666579117674e+02,3.309211252054554393e+02,3.993168315540708280e-01,-7.958892889239344015e-04,1.524275560792260568e-03
2.102060883130158402e+02,3.311048356018628738e+02,5.484566118037863536e-01,8.121436015388283853e-04,1.491376727903315083e-03
2.161072508808376540e+02,3.310956434821052312e+02,4.774434537213583241e-01,-1.669965954732788250e-04,1.637614892155179287e-03
2.221740781062884764e+02,3.310792359854852975e+02,4.174914025356080138e-01,-5.587065301535965468e-04,9.781001611526103298e-04
2.284112207303825528e+02,3.313904174061808590e+02,1.196727700644846237e+00,1.378180434723041969e-03,6.571691052708951951e-03
2.348234600554276312e+02,3.310052748681919184e+02,5.358849964659632148e-01,8.938851668744973451e-05,1.961006846178208179e-03
2.414157116103017700e+02,3.310538094655776149e+02,5.699879793950141105e-01,-2.765030056430806127e-04,2.541809856541372026e-03
2.481930289186255152e+02,3.319298616550539691e+02,2.088454388109154625e+00,3.359009226017839575e-04,3.038929303887361998e-03
2.551606073727186299e+02,3.308829979023566921e+02,4.571256921811042706e-01,-2.186594235145111753e-04,1.156445982746853599e-03
