# #Freq[Hz], #Gain_mean[a.u.], #Gain_std[a.u.], #Phase_mean[rad], #Phase_std[rad]
1.000000000000000000e+01,3.306560745155674113e+02,7.144634533149586408e-01,-6.273311539068559921e-03,2.194721271037807387e-03
1.020044922957914046e+01,3.303086142365356750e+02,5.019919516439054208e-01,-6.859751490799937020e-03,2.186291945736826021e-03
1.040491644852216702e+01,3.304215125823140511e+02,8.980136773991498345e-01,-8.124580896383104198e-03,1.976472688881858626e-03
1.061348219711632446e+01,3.304409344145475416e+02,6.879417933108746830e-01,-6.752111085969847437e-03,2.010731815692253302e-03
1.082622863007271441e+01,3.305354381875670811e+02,5.934694582029942378e-01,-7.814498747480325483e-03,1.301249623812112625e-03
1.104323954888728387e+01,3.301713919985040206e+02,6.318343871108996757e-01,-7.452304313906310540e-03,2.092078627933360076e-03
1.126460043485051798e+01,3.304046803806672870e+02,7.776503606640897681e-01,-7.735140519136063722e-03,1.787496635145578673e-03
1.149039848271878128e+01,3.300750862587460119e+02,4.702792888540153204e-01,-7.194800001103151751e-03,1.556295458885991563e-03
1.172072263506061063e+01,3.300702917865075392e+02,5.312034224500397084e-01,-7.593822190915089365e-03,2.400016551512700567e-03
1.195566361729147786e+01,3.303355913966644266e+02,7.305111187554986785e-01,-8.239456010198953698e-03,1.855303029980965180e-03
1.219531397341082091e+01,3.304190568621794455e+02,5.257859139340560484e-01,-8.699839404083009251e-03,1.932647108073053989e-03
1.243976810245541387e+01,3.300731065551912025e+02,6.372929974578560586e-01,-8.504514400696905688e-03,1.837469580703457320e-03
1.268912229568344685e+01,3.305840175115616830e+02,5.932167373596748394e-01,-8.175687004167908264e-03,2.326335170004155406e-03
1.294347477450397044e+01,3.303792092194880183e+02,5.408880211776169178e-01,-8.200252765058157339e-03,1.184062256690761794e-03
1.320292572916661200e+01,3.305172964889414970e+02,7.067866164180357513e-01,-1.027946553131746724e-02,1.899409003619573081e-03
1.346757735822681745e+01,3.302023225983468251e+02,3.821743167608410707e-01,-9.537701650983044371e-03,1.765856185306185220e-03
1.373753390880222014e+01,3.307088237691256154e+02,5.812748266946704545e-01,-9.338339656668059527e-03,1.745006992852690588e-03
1.401290171763589143e+01,3.304396301630703761e+02,6.266365211061033502e-01,-9.866272887498394803e-03,1.246818568769802972e-03
1.429378925298272307e+01,3.302727719856969770e+02,8.872684469300566867e-01,-1.079430894439536992e-02,2.137451360321317769e-03
