# #Freq[Hz], #Gain_mean[a.u.], #Gain_std[a.u.], #Phase_mean[rad], #Phase_std[rad]
1.000000000000000000e+03,6.142592873007287624e-01,1.864977999942619839e-04,-1.846830512585758255e+00,2.398020877377074857e-04
1.018628990244687543e+03,6.248274813157966845e-01,1.511459755472528059e-04,-1.851838078506884866e+00,4.208176643467370528e-04
1.037605019766911710e+03,6.355890869091642692e-01,2.694204232168785130e-04,-1.856801669508170161e+00,1.861792388583028411e-04
1.056934553557988465e+03,6.463568202098232129e-01,1.913449700337216180e-04,-1.861613606968390400e+00,4.965006083720127942e-04
1.076624177045493298e+03,6.575919924948541162e-01,2.219740893161959317e-04,-1.866866309180884587e+00,3.175090839792457566e-04
1.096680598336868570e+03,6.688256271784079887e-01,2.298621484906783062e-04,-1.871967013927355650e+00,3.823992004478287006e-04
1.117110650504824207e+03,6.800437232929152920e-01,1.907611388353280932e-04,-1.877226302489089615e+00,3.145678259684273059e-04
1.137921293915315118e+03,6.917130733456140490e-01,1.729315952788005651e-04,-1.882644141481959910e+00,3.602728474695540283e-04
1.159119618598885609e+03,7.029842730912145843e-01,1.997160729134869988e-04,-1.888178215756495693e+00,2.547409317152788668e-04
1.180712846666190217e+03,7.145930778304939723e-01,1.573729125626267258e-04,-1.893448890753364866e+00,4.090123718930389267e-04
1.202708334768512032e+03,7.262575537322263353e-01,2.331740527150265177e-04,-1.898957332918524754e+00,2.394635014735901999e-04
1.225113576604119089e+03,7.383183300186868525e-01,1.727607413559034710e-04,-1.904625034129683980e+00,4.971564377547357892e-04
1.247936205471311496e+03,7.503610536827285404e-01,2.194683075351011516e-04,-1.910365513816984606e+00,1.807876241087005267e-04
1.271183996869028761e+03,7.626525176663132566e-01,2.011581951282679552e-04,-1.916225848840111157e+00,2.960864058604407794e-04
1.294864871145904999e+03,7.751500355076933468e-01,2.704348457091332639e-04,-1.922088419036246609e+00,3.392037922486081320e-04
1.318986896198670593e+03,7.880374328087926816e-01,1.878800008081084869e-04,-1.928023822688536004e+00,2.754479422925702596e-04
1.343558290220826166e+03,8.008075027792059819e-01,2.015535727648093899e-04,-1.934212307032723954e+00,3.460331535263482493e-04
1.368587424502519070e+03,8.137907529466279488e-01,1.426013692383633672e-04,-1.940487038828036415e+00,1.985207439295537456e-04
1.394082826282578480e+03,8.269247547845832713e-01,1.815387341448784027e-04,-1.946675556629927639e+00,2.087441268425249739e-04
1.420053181653683168e+03,8.402200968424284877e-01,2.170015890716815753e-04,-1.952937282325214685e+00,3.033047151662767392e-04
1.446507338521647171e+03,8.536194723363431658e-01,2.593791574688425559e-04,-1.959400208711382874e+00,3.475668515721400055e-04
1.473454309619835840e+03,8.673054832471326359e-01,1.635734734933661525e-04,-1.965968955243343474e+00,1.786546314406121873e-04
1.500903275579736601e+03,8.809058337196331578e-01,1.843796703549744969e-04,-1.972378543355669311e+00,1.498345631831737097e-04
1.528863588058731011e+03,8.947126034391292837e-01,1.918978191778089560e-04,-1.979158778675597530e+00,2.474244520451106483e-04
1.557344772926135192e+03,9.089183971619722024e-01,2.616858736048930149e-04,-1.985759093737290870e+00,2.100131731229653957e-04
1.586356533508589564e+03,9.231014721791332978e-01,2.453377904042896933e-04,-1.992630355588272506e+00,2.055899282642064134e-04
1.615908753895919062e+03,9.371405053707915211e-01,2.101012571175554094e-04,-1.999637907221338606e+00,1.477605233016664123e-04
1.646011502308549780e+03,9.516235647592028446e-01,2.066565391950373279e-04,-2.006512553204115257e+00,2.045504257072829405e-04
1.676675034527699154e+03,9.663352113304707336e-01,1.511339913208666942e-04,-2.013781223739396165e+00,1.238009577043635407e-04
1.707909797389426785e+03,9.807183607674062609e-01,1.721055222134730458e-04,-2.020784386154130363e+00,1.814253608052085779e-04
1.739726432343800752e+03,9.956523192716583148e-01,1.709959171359090048e-04,-2.028164793473243854e+00,2.512062937088730525e-04
1.772135779080358361e+03,1.010417057963068244e+00,2.120546177738264111e-04,-2.035458685942161949e+00,2.737839357995859786e-04
