# #Freq[Hz], #Gain_mean[a.u.], #Gain_std[a.u.], #Phase_mean[rad], #Phase_std[rad]
1.000000000000000000e+02,4.514618573520845501e+00,2.814615420596013225e-03,-1.707144425341620364e+00,6.835543260777976384e-04
1.013939457675291749e+02,4.576853324679246882e+00,3.947617458252491128e-03,-1.708900473157648037e+00,5.555735678398787030e-04
1.028073223830864720e+02,4.641227056901835013e+00,2.624371704469753708e-03,-1.711276864496067418e+00,3.598882163358354700e-04
1.042404007021556822e+02,4.703931003271345723e+00,2.856517836005858114e-03,-1.712842246508932131e+00,4.912389177206414118e-04
1.056934553557988323e+02,4.768367423144863615e+00,1.878610085727568015e-03,-1.714886267642561135e+00,7.224174609121190643e-04
1.071667648032863269e+02,4.835315128979886801e+00,2.314615608656810184e-03,-1.717352841546869069e+00,6.028658425976395107e-04
1.086606113854596884e+02,4.899468182503576408e+00,2.837774677152318532e-03,-1.719280161744453750e+00,6.265780635478227422e-04
1.101752813788387328e+02,4.966565925100968393e+00,2.049449306862471260e-03,-1.721152045567716060e+00,4.653904011325502325e-04
1.117110650504824179e+02,5.034614734858441132e+00,1.552361205283836736e-03,-1.723465631088579642e+00,4.701939349867665470e-04
1.132682567136153722e+02,5.103854513581016050e+00,2.933112173512146797e-03,-1.725462090504153112e+00,3.012931798221336953e-04
1.148471547840289020e+02,5.174415983745081604e+00,2.529697667588510970e-03,-1.727482859434144036e+00,6.155428746669720525e-04
1.164480618372686678e+02,5.242590025946600285e+00,3.027954699122376546e-03,-1.729768305910745596e+00,2.830150759390518810e-04
1.180712846666190359e+02,5.314249113039378081e+00,2.202571796463925584e-03,-1.731865368231799263e+00,3.944271457889082181e-04
1.197171343418966813e+02,5.387950240530239299e+00,1.963176624711720792e-03,-1.733804200704761822e+00,5.627255427308636452e-04
1.213859262690627645e+02,5.460767122508872085e+00,2.046899847362771991e-03,-1.736243968289548745e+00,4.449715446261069685e-04
1.230779802506665845e+02,5.534631801794108519e+00,3.508933677494745738e-03,-1.738706815491573021e+00,4.190404913082153293e-04
1.247936205471311411e+02,5.610599701677395856e+00,2.049901362148005401e-03,-1.740730739493737023e+00,4.738835709761986432e-04
1.265331759388942885e+02,5.685763254369579300e+00,3.726783871366900515e-03,-1.743254785468901336e+00,5.593552065443562578e-04
1.282969797894147632e+02,5.763828059472994703e+00,1.495215635501676282e-03,-1.745698054496365170e+00,4.177087696476245826e-04
1.300853701090570667e+02,5.842452013888111750e+00,3.135120494148690203e-03,-1.748274491336028857e+00,4.515877005708921355e-04
1.318986896198670422e+02,5.920546887466946018e+00,3.801686889757569139e-03,-1.750435692019709055e+00,6.090863630907905092e-04
1.337372858212496283e+02,6.000852026330734112e+00,2.970190007836694991e-03,-1.752960000017364184e+00,4.078068797007344901e-04
1.356015110565633393e+02,6.083439168956550347e+00,3.226944824035785173e-03,-1.755666843694513535e+00,5.140960287032278562e-04
1.374917225806419196e+02,6.164001407127569721e+00,2.731591005665030738e-03,-1.757905602678947243e+00,1.998814836237757713e-04
1.394082826282578651e+02,6.247790155312041627e+00,2.106810061651319659e-03,-1.760687529697418707e+00,4.335422692122954452e-04
1.413515584835395771e+02,6.331083533271673502e+00,3.839725914647057307e-03,-1.763133286726350502e+00,2.379388670288094094e-04
1.433219225503573853e+02,6.416110663586698237e+00,3.095697140321638542e-03,-1.766119617493151051e+00,6.840942274610650655e-04
1.453197524236895504e+02,6.503934747069844313e+00,3.156420079137223743e-03,-1.768582471066547201e+00,5.160212245501705295e-04
1.473454309619835954e+02,6.590574555298235104e+00,1.887350642782259372e-03,-1.771440641504648195e+00,4.101398405076457534e-04
1.493993463605257830e+02,6.679425238065419990e+00,1.858721825501030191e-03,-1.774223269728089303e+00,3.857358082139024933e-04
1.514818922258345708e+02,6.768911637599098974e+00,3.128147684617678913e-03,-1.776456266470902490e+00,5.134149045210534496e-04
1.535934676510896963e+02,6.859389963659131340e+00,3.604138874038023601e-03,-1.779201615774410827e+00,4.825936202643705381e-04
1.557344772926135192e+02,6.950311136910825027e+00,4.067193206712576073e-03,-1.782202409683814492e+00,4.413569846056276686e-04
1.579053314474175806e+02,7.041630145261225771e+00,2.989697764026344722e-03,-1.784733227311961823e+00,3.422284418583239948e-04
1.601064461318317740e+02,7.133775217427944071e+00,4.002729843447638131e-03,-1.788102109237379223e+00,4.138773110366906474e-04
1.623382431612278083e+02,7.224660277039944845e+00,2.696035459110597467e-03,-1.791160521336259581e+00,2.215658078007530030e-04
1.646011502308549836e+02,7.322328330147340303e+00,2.627276693838306691e-03,-1.794142102653983439e+00,4.575612604157752532e-04
1.668956009978024895e+02,7.419184047447664909e+00,2.661599177470210572e-03,-1.796844168804156538e+00,2.551839805797892144e-04
1.692220351641037155e+02,7.515387016065146142e+00,3.094509757895103508e-03,-1.799936568225841693e+00,4.169213777063883030e-04
1.715808985610004811e+02,7.614400949082922310e+00,3.022791711368321820e-03,-1.802933421275243031e+00,3.399152870192620230e-04
1.739726432343800866e+02,7.716064148229693664e+00,2.896647678494170593e-03,-1.806193729975501316e+00,4.572234557587443122e-04
1.763977275314045130e+02,7.818182764492736858e+00,3.448551983005421206e-03,-1.809707986646247990e+00,2.962844370551649654e-04
1.788566161883461803e+02,7.920675433978151325e+00,2.305375192895913784e-03,-1.812700918242950321e+00,3.032665965166710803e-04
1.813497804196495338e+02,8.025673197471078879e+00,4.077820511680680694e-03,-1.815919758295034159e+00,3.689955747307759374e-04
1.838776980082326986e+02,8.133016700206763261e+00,2.790621481191558027e-03,-1.819123013678607181e+00,2.573144437602036287e-04
1.864408533970487269e+02,8.236594524322159216e+00,3.749521864991461721e-03,-1.822649375073290612e+00,3.662959926201240514e-04
1.890397377819221560e+02,8.346467286631147786e+00,2.234005686265697760e-03,-1.825668910938037071e+00,3.681058057491828428e-04
1.916748492056815110e+02,8.456412884672042551e+00,4.625176674576914233e-03,-1.829406224046049800e+00,3.156192313014222445e-04
1.943466926536020196e+02,8.564471635125419979e+00,2.612749431278009547e-03,-1.832773339113024091e+00,3.953731844473108562e-04
1.970557801501800270e+02,8.676930554700875931e+00,4.254519015583618606e-03,-1.836174442584546540e+00,2.206635956004686144e-04
1.998026308572550818e+02,8.791372209179156627e+00,2.520533176665261128e-03,-1.839786369234307273e+00,3.620730581557482573e-04
2.025877711735017215e+02,8.903888919057674656e+00,2.453502316220575533e-03,-1.843335838797572679e+00,2.384063942159547278e-04
2.054117348353064187e+02,9.020250066525786536e+00,2.366667656181205542e-03,-1.847111208255079573e+00,4.917846488950251621e-04
2.082750630190514300e+02,9.138285316492019916e+00,4.901870292289802616e-03,-1.850754453665513832e+00,4.450909783448902179e-04
2.111783044448244482e+02,9.255910127006591992e+00,3.160651126694857295e-03,-1.854230402814450063e+00,2.328032540575576117e-04
2.141220154815729302e+02,9.376680090474806661e+00,4.044814064844306015e-03,-1.858195356603179249e+00,3.551742490882857351e-04
2.171067602537264918e+02,9.497834767552866708e+00,3.185621609989287405e-03,-1.861972862877906865e+00,3.563415334478665366e-04
2.201331107493032277e+02,9.618609675804234982e+00,2.848354129153911514e-03,-1.865919385992819368e+00,3.427238324345939307e-04
2.232016469295234629e+02,9.743604838903118903e+00,3.279071910221411854e-03,-1.869730952517359324e+00,3.210419447277096817e-04
2.263129568399529603e+02,9.866776551351085445e+00,4.650926067507345739e-03,-1.873583171465690089e+00,2.709373440294091388e-04
2.294676367231936069e+02,9.995393572442704766e+00,4.736788954563293449e-03,-1.877834840357493817e+00,4.556423309357443292e-04
