# #Freq[Hz], #Gain_mean[a.u.], #Gain_std[a.u.], #Phase_mean[rad], #Phase_std[rad]
3.000000000000001091e+04,2.526837866310971137e+01,7.195801185808128331e-01,-1.596417414087805575e+00,3.918408856309492372e-02
3.007247052676972453e+04,2.571787763815207128e+01,7.194269078189817757e-01,-1.567831141012847374e+00,5.421492398871195079e-02
3.014511611944778269e+04,2.616574968003205726e+01,9.078584059451103583e-01,-1.573270439686693889e+00,5.282651402924905260e-02
3.021793720093813317e+04,2.628464846613771400e+01,7.138141349125398660e-01,-1.565081523139886688e+00,5.170163928559026734e-02
3.029093419516633730e+04,2.629606217540872493e+01,1.669464162142635821e+00,-1.591963255804750288e+00,6.793184969846638444e-02
3.036410752708201835e+04,2.632659634274512683e+01,8.288156339364464165e-01,-1.570875054697367990e+00,3.497220885738410584e-02
3.043745762266128440e+04,2.664422214337577088e+01,8.683303191840862079e-01,-1.581903962118641926e+00,3.239910599703043487e-02
3.051098490890945686e+04,2.691512882170991361e+01,9.853720291477395810e-01,-1.565961894230869067e+00,4.260894539171675155e-02
3.058468981386316955e+04,2.687061927377645887e+01,8.825507104871934683e-01,-1.584026151648847192e+00,2.256225823864660418e-02
3.065857276659313720e+04,2.676824601722951869e+01,9.575376766721278576e-01,-1.581334658641534441e+00,3.209925333313658202e-02
3.073263419720655656e+04,2.704992983189329081e+01,1.799883615382762203e+00,-1.572687294687399318e+00,4.650977964817821358e-02
3.080687453684963839e+04,2.695180952332311719e+01,1.139883203241087273e+00,-1.578234830873132211e+00,4.776842265343671234e-02
3.088129421771010311e+04,2.732103752064650593e+01,8.102963267498746180e-01,-1.584753749155942693e+00,3.019644198692307893e-02
3.095589367301970196e+04,2.743385393668671668e+01,1.361316990779682490e+00,-1.569485031617784410e+00,4.302184051669065423e-02
3.103067333705673445e+04,2.715473347628022793e+01,1.271838102461920972e+00,-1.572665877544586754e+00,3.431560997039492800e-02
3.110563364514858404e+04,2.729930405595093390e+01,1.491383788725201720e+00,-1.565924551511412632e+00,2.176056668659723595e-02
3.118077503367423924e+04,2.732783973848292902e+01,1.008313736595403798e+00,-1.583357777006317857e+00,4.944688652308742993e-02
3.125609794006678567e+04,2.768544034698176759e+01,1.604874671867660307e+00,-1.564019263661659664e+00,7.823551446677259880e-02
3.133160280281619634e+04,2.812133557871695189e+01,1.055066956714350024e+00,-1.597505491963415070e+00,4.439129052148478582e-02
3.140729006147151449e+04,2.856028231357615255e+01,1.033433602377154648e+00,-1.552063271299056080e+00,6.254782197823009759e-02
3.148316015664365113e+04,2.817454540834101095e+01,9.306781580424797751e-01,-1.550348694637966762e+00,5.340153327364876440e-02
3.155921353000789168e+04,2.784668014447186835e+01,1.458641148125629616e+00,-1.572469271358300835e+00,4.200406095084155411e-02
3.163545062430647522e+04,2.832811957612596032e+01,1.334281782122606508e+00,-1.594041719540251201e+00,4.482152535375438784e-02
3.171187188335116662e+04,2.889326910130106540e+01,1.240823243519803665e+00,-1.558329768159712359e+00,3.538712335202761489e-02
3.178847775202583944e+04,2.865762828398557005e+01,1.653300518123976159e+00,-1.543049989473370243e+00,5.379595322728070173e-02
3.186526867628905893e+04,2.881300106853281662e+01,1.460742381976446236e+00,-1.554950513873717410e+00,3.486846456727657473e-02
3.194224510317669774e+04,2.855660183093688076e+01,1.412375520331472512e+00,-1.567545892404426988e+00,6.705935805166242381e-02
3.201940748080451522e+04,2.895688956477768627e+01,1.196604957978834483e+00,-1.553628263522796704e+00,4.028233003649880212e-02
3.209675625837078405e+04,2.932347374073465929e+01,1.008980879046762480e+00,-1.576946714894684742e+00,5.068334328186538396e-02
3.217429188615882595e+04,2.905810108445234619e+01,2.057112251144380011e+00,-1.591882266424810677e+00,3.232328124855261137e-02
3.225201481553990743e+04,2.823376040579631763e+01,1.771474186376392534e+00,-1.569016180799621463e+00,8.797473399510485903e-02
3.232992549897546633e+04,2.925614759896232187e+01,1.023782268930422346e+00,-1.563983205114779507e+00,4.145542957768311165e-02
3.240802439002001120e+04,2.937237403036958838e+01,1.493782674248425701e+00,-1.526089619204252124e+00,4.454463345049552297e-02
3.248631194332369341e+04,2.952695777639718955e+01,2.137002661360567046e+00,-1.592089485536232196e+00,4.624890846186758414e-02
3.256478861463495559e+04,2.993368051272942765e+01,2.056333351565547751e+00,-1.556379457201882088e+00,6.537977436946787457e-02
3.264345486080319097e+04,3.103720627447063407e+01,2.246302530379808982e+00,-1.563296708090239573e+00,4.324274785165201085e-02
3.272231113978138092e+04,2.991040531681350245e+01,1.050659028450967591e+00,-1.585684302275891966e+00,5.720835959518100200e-02
3.280135791062879434e+04,2.961836498614714941e+01,1.818969001869839230e+00,-1.577134283710161400e+00,5.717636786411663119e-02
3.288059563351363613e+04,2.972321853938936442e+01,1.793647289950119017e+00,-1.567578556722828420e+00,5.807567555907796469e-02
3.296002476971572469e+04,2.976852337616161392e+01,1.457292425266417446e+00,-1.587918667220585167e+00,4.174583825268617099e-02
3.303964578162912949e+04,3.129179104627059615e+01,1.838433099482500221e+00,-1.579461875302163865e+00,4.001954953110194169e-02
3.311945913276510692e+04,3.125565955282257846e+01,1.832526546935451250e+00,-1.586167265086337208e+00,4.893015334757798429e-02
3.319946528775442857e+04,3.049420679735927564e+01,1.703239509834661103e+00,-1.544847752718988554e+00,5.088576341170693990e-02
3.327966471235030622e+04,3.150639242996190958e+01,1.066758049563147237e+00,-1.562593258232192195e+00,5.717787194244299681e-02
3.336005787343108386e+04,3.114024101157234981e+01,2.973635984602517546e+00,-1.598315785577778092e+00,6.185210476094446519e-02
3.344064523900294444e+04,3.123601644833327029e+01,1.729249075168620919e+00,-1.573692557347608156e+00,4.246300882877429572e-02
3.352142727820260188e+04,3.207191851515357683e+01,2.046217473944240695e+00,-1.528102663266791117e+00,3.964678175120075337e-02
3.360240446130006603e+04,3.134293461433137651e+01,1.232059821338713279e+00,-1.556398319411580689e+00,6.547561465795009861e-02
