# #Freq[Hz], #Gain_mean[a.u.], #Gain_std[a.u.], #Phase_mean[rad], #Phase_std[rad]
1.000000000000000000e+03,4.970931081905198567e+01,5.268094723268409219e+00,-1.522190719221304223e+00,3.280127867440656153e-02
1.004175912443004449e+03,4.986643379049692726e+01,1.679986497720933114e+00,-1.526046162609159706e+00,3.678285449789669981e-02
1.008369263130740592e+03,5.104085986087036275e+01,1.200707853478598652e+00,-1.553331445640288466e+00,3.033351613324102025e-02
1.012580124883791427e+03,5.140563250446450638e+01,1.502732083078464065e+00,-1.540859672083925380e+00,4.275038672232807369e-02
1.016808570826832693e+03,5.136794758027227914e+01,2.122268354544914803e+00,-1.546933255439741028e+00,3.548826288045561772e-02
1.021054674389903084e+03,5.215569447044119045e+01,1.625635866281075481e+00,-1.541569771321318338e+00,3.493423401853160831e-02
1.025318509309675846e+03,5.122761562068094321e+01,1.240034261949952699e+00,-1.545005408996086960e+00,2.749497992584544123e-02
1.029600149630744909e+03,5.308792618587222023e+01,1.391287786300893003e+00,-1.556244352000238695e+00,2.656370769105561094e-02
1.033899669706907162e+03,5.217060381604329677e+01,1.372936427121737912e+00,-1.549210223295414579e+00,2.546228708079902731e-02
1.038217144202454392e+03,5.287654367284126522e+01,1.362164251707626894e+00,-1.549148203737824137e+00,2.901646596150133164e-02
1.042552648093469998e+03,5.235456308655786017e+01,1.578784221038021185e+00,-1.550682637626512816e+00,2.554750010478645111e-02
1.046906256669130698e+03,5.272284693663332433e+01,1.771807061210486589e+00,-1.544644681492782556e+00,2.161561464994003756e-02
1.051278045533014620e+03,5.325981468671731278e+01,1.976679969215004329e+00,-1.546213118981600632e+00,2.356747773291571757e-02
1.055668090604413237e+03,5.400690004380619769e+01,2.141015126356989207e+00,-1.554585986602879055e+00,2.961466705267319643e-02
1.060076468119651963e+03,5.311437984977143145e+01,9.294212611849955730e-01,-1.538088741952673200e+00,1.819481841701003216e-02
1.064503254633409142e+03,5.437287713942392742e+01,9.929408255272023087e-01,-1.558021146118670375e+00,1.703298244967528172e-02
1.068948527020051642e+03,5.452193537945041868e+01,1.575601349444252897e+00,-1.553723703896096042e+00,2.773289713707655785e-02
1.073412362474965903e+03,5.462662782720526877e+01,1.314318205921371163e+00,-1.537602462021737004e+00,2.712017014436229195e-02
1.077894838515899892e+03,5.387606805954533229e+01,1.413960545126678792e+00,-1.557179720403001788e+00,1.636734050365823423e-02
1.082396032984308704e+03,5.483318956775950426e+01,1.273571526872505855e+00,-1.563807452724502278e+00,1.930238749772331119e-02
1.086916024046706525e+03,5.536026627223486685e+01,1.446688539991495492e+00,-1.553009165474625863e+00,2.321099543850675337e-02
1.091454890196024053e+03,5.657890879082891900e+01,1.070991712345723323e+00,-1.567456173304011102e+00,2.959684485780582006e-02
1.096012710252971829e+03,5.529885927364101406e+01,1.719626153866461449e+00,-1.553605457500532694e+00,2.564543357584508909e-02
1.100589563367408118e+03,5.709323386226043340e+01,1.479107333230222476e+00,-1.552116082147583898e+00,3.211309291568092972e-02
1.105185529019716114e+03,5.661051478774919588e+01,1.993107970634818704e+00,-1.538670817128815038e+00,2.222231252685561223e-02
1.109800687022177954e+03,5.622031732165358164e+01,1.398860462480689737e+00,-1.552158597978603227e+00,2.259905425569877849e-02
1.114435117520368749e+03,5.734930401351200402e+01,8.251916452146130787e-01,-1.545376632984836851e+00,2.453329972982845955e-02
1.119088900994543337e+03,5.789052051052745895e+01,1.802501073581733060e+00,-1.539754339131226279e+00,2.512714358129667161e-02
1.123762118261034630e+03,5.786749287658597041e+01,1.608118390707403256e+00,-1.558987975285283767e+00,2.744088999964898468e-02
1.128454850473657871e+03,5.817914198411392590e+01,1.264189854174319727e+00,-1.531890681855639480e+00,2.215683044335034838e-02
1.133167179125119446e+03,5.845796563843737204e+01,1.018769753450324389e+00,-1.567009748125240964e+00,3.321604455192229272e-02
1.137899186048432512e+03,5.933992580474582468e+01,1.710577821862565573e+00,-1.556779523065560111e+00,3.946375971470317268e-02
1.142650953418336712e+03,5.918735520511587822e+01,1.602914784875662857e+00,-1.535346139859491865e+00,2.720313286350664259e-02
1.147422563752728365e+03,5.958387586830322391e+01,1.856890351119249161e+00,-1.541721200677079961e+00,3.020901651214055739e-02
1.152214099914087456e+03,5.961878944250258883e+01,1.811129868160104683e+00,-1.548763073077996655e+00,1.132792833826285796e-02
1.157025645110923961e+03,6.031168487689421909e+01,1.223760735714932935e+00,-1.551531342856974804e+00,3.757181280116265315e-02
1.161857282899217807e+03,6.091111104526962805e+01,2.348034680052271117e+00,-1.538096511879916140e+00,4.240557873223171209e-02
1.166709097183872018e+03,6.078369247355859528e+01,2.034566338363751559e+00,-1.533057936751555328e+00,2.843326949439686779e-02
1.171581172220168810e+03,6.128354618219181305e+01,2.189469577958502722e+00,-1.553299335288583105e+00,3.844491823630608734e-02
1.176473592615232747e+03,6.213739969550469766e+01,1.873098977403152121e+00,-1.543090673588179085e+00,2.725203459956259538e-02
1.181386443329500707e+03,6.168248455961194310e+01,1.875038748986324277e+00,-1.548504480444506282e+00,2.524258669281798442e-02
1.186319809678197316e+03,6.141027190595768559e+01,1.400874103623828582e+00,-1.566210551346433055e+00,3.860343364161226976e-02
1.191273777332816280e+03,6.275837600322254417e+01,1.817609262158387473e+00,-1.558965541207250505e+00,3.537272056008162330e-02
1.196248432322605368e+03,6.292830413300246306e+01,1.905831064185854684e+00,-1.548455926926162851e+00,2.144314843794412756e-02
1.201243861036065937e+03,6.319029947498593458e+01,2.021970833270855472e+00,-1.540694350088990916e+00,3.208133279370520285e-02
1.206260150222449056e+03,6.388164479249947192e+01,1.357628802514422306e+00,-1.553441393437942297e+00,3.944728532514864272e-02
1.211297386993263444e+03,6.406497101825516438e+01,1.026666662242845973e+00,-1.550325579097778350e+00,2.195410861160932911e-02
1.216355658823787508e+03,6.459507779664690474e+01,1.196065432896560310e+00,-1.546319394006245407e+00,1.881787780117700343e-02
1.221435053554588649e+03,6.403077719608127438e+01,1.666606722721455158e+00,-1.544483332478046034e+00,3.007594718756871274e-02
1.226535659393048945e+03,6.498951581876504235e+01,1.364671956997605129e+00,-1.537989103897398735e+00,2.477270357822218896e-02
1.231657564914896966e+03,6.446477164660308290e+01,1.364968660036836701e+00,-1.540794358299166111e+00,2.614619153537720356e-02
1.236800859065747090e+03,6.571632950683195418e+01,1.937056999317799066e+00,-1.532579638876623962e+00,2.726629188335419687e-02
