# #Freq[Hz], #Gain_mean[a.u.], #Gain_std[a.u.], #Phase_mean[rad], #Phase_std[rad]
3.000000000000001091e+04,2.629685206503291539e+01,1.038921495301251108e+00,-1.533470983277937849e+00,5.299207427054283825e-02
3.007247052676972453e+04,2.630204441374203128e+01,1.815240150064844071e+00,-1.556687450191308830e+00,8.329893078821425101e-02
3.014511611944778269e+04,2.643863576405208704e+01,1.236292844835486626e+00,-1.572824858663632641e+00,7.902280011771085910e-02
3.021793720093813317e+04,2.619314889960670101e+01,1.829571251514137575e+00,-1.574730482028667833e+00,5.414521304296351228e-02
3.029093419516633730e+04,2.645676686581729697e+01,1.242504590504162731e+00,-1.590073194490414732e+00,3.301402473341343707e-02
3.036410752708201835e+04,2.679033859934405015e+01,1.369895040196778879e+00,-1.544076283480942280e+00,4.814070126042446773e-02
3.043745762266128440e+04,2.644550505975181665e+01,1.730266839700919990e+00,-1.584256666920033085e+00,4.906924138204757369e-02
3.051098490890945686e+04,2.681633170362547247e+01,1.911118895352625469e+00,-1.515506832928740888e+00,9.186966199056049998e-02
3.058468981386316955e+04,2.714464943308754030e+01,1.136100995106194000e+00,-1.605459346102908524e+00,7.964793968640872246e-02
3.065857276659313720e+04,2.707036785162779324e+01,7.009678102010652445e-01,-1.561779113585041179e+00,6.403938435763398274e-02
3.073263419720655656e+04,2.645685006516201909e+01,1.199246935110226175e+00,-1.570884692441698594e+00,5.265610779327342672e-02
3.080687453684963839e+04,2.681318787654611313e+01,1.636798935828903012e+00,-1.599764671299029661e+00,5.881729381219995972e-02
3.088129421771010311e+04,2.734401028168932868e+01,2.137520555647920428e+00,-1.634495363923052391e+00,7.112242992562034516e-02
3.095589367301970196e+04,2.748692396543349759e+01,1.517493995469678225e+00,-1.533365147710221699e+00,7.237828143794239333e-02
3.103067333705673445e+04,2.714635703747744699e+01,1.261537428531822824e+00,-1.540522829953286266e+00,4.968303397645260772e-02
3.110563364514858404e+04,2.717625304384757712e+01,1.801294737251055267e+00,-1.585571005203796568e+00,6.820222840486085680e-02
3.118077503367423924e+04,2.700468912815073708e+01,1.453537142881286881e+00,-1.572469209291092351e+00,4.902451622668112241e-02
3.125609794006678567e+04,2.797826635619548341e+01,2.929569587812629994e+00,-1.585527744006181461e+00,8.385206549568291479e-02
3.133160280281619634e+04,2.747637623048707312e+01,1.160347108734022914e+00,-1.664049379372429360e+00,6.278185262934704580e-02
3.140729006147151449e+04,2.766902657894138429e+01,1.189358228601783862e+00,-1.553422272864963372e+00,7.209888943513295678e-02
3.148316015664365113e+04,2.836514850951801847e+01,1.908527331017213058e+00,-1.523870229999216175e+00,3.333269610203866418e-02
3.155921353000789168e+04,2.862107968070496966e+01,1.502635478174504602e+00,-1.565478727132163739e+00,8.929798753186787841e-02
3.163545062430647522e+04,2.860756745403277890e+01,1.665939273127404530e+00,-1.559270483778635086e+00,7.275388130438877055e-02
3.171187188335116662e+04,2.944969770850934765e+01,1.188224500032804665e+00,-1.596305732408583422e+00,9.875346854740472968e-02
3.178847775202583944e+04,2.788905530149943246e+01,1.437612001329040545e+00,-1.588934702279351852e+00,6.970772294792677848e-02
3.186526867628905893e+04,2.905177914633888037e+01,1.450499546539040896e+00,-1.541949364193972327e+00,1.128965599263714037e-01
3.194224510317669774e+04,2.806790241351373538e+01,2.075993373971764200e+00,-1.575953587607918926e+00,8.688127764008396481e-02
3.201940748080451522e+04,2.887313125307870365e+01,1.571656813027046518e+00,-1.559041756966637049e+00,1.122246409842211357e-01
3.209675625837078405e+04,2.772359438159291400e+01,1.922655101691768786e+00,-1.513148307433091810e+00,1.078787764700453039e-01
3.217429188615882595e+04,2.906544153295995514e+01,3.450820409232526753e+00,-1.517251689372612233e+00,4.655803391997946628e-02
3.225201481553990743e+04,2.927676875639657439e+01,1.025321360522956304e+00,-1.537179532198904353e+00,9.723502826100967333e-02
3.232992549897546633e+04,2.818816767490138275e+01,2.842250749925232522e+00,-1.582359658136135216e+00,1.081627434427433060e-01
3.240802439002001120e+04,2.908536660054034684e+01,1.811421388862354931e+00,-1.589124579569622497e+00,9.617770896670971292e-02
3.248631194332369341e+04,3.028400311672975675e+01,2.431162366459532542e+00,-1.563672317462638572e+00,1.063682754792535795e-01
3.256478861463495559e+04,2.927424368664290455e+01,2.079319941934905991e+00,-1.537660001465949833e+00,1.128284900193715495e-01
3.264345486080319097e+04,3.047213334887183578e+01,2.411876626411084690e+00,-1.528560037323522192e+00,9.524223043886496931e-02
3.272231113978138092e+04,3.099656348683406648e+01,2.695509916522989435e+00,-1.517098133918639347e+00,7.203956608113204485e-02
3.280135791062879434e+04,3.052896303808427092e+01,2.512905418335453778e+00,-1.542405178420124257e+00,9.059429456633238953e-02
3.288059563351363613e+04,3.181072385456455009e+01,2.344194225208479754e+00,-1.552318396913074716e+00,1.079838170132919051e-01
3.296002476971572469e+04,3.179764857201993777e+01,2.921235988351364110e+00,-1.546101311645625032e+00,1.216858599027802468e-01
3.303964578162912949e+04,3.044985636219809066e+01,2.872309876324023570e+00,-1.536143204980147559e+00,1.096852155041754956e-01
3.311945913276510692e+04,3.031480937206979576e+01,1.396049729488802127e+00,-1.572210967862281761e+00,1.123217697611774979e-01
3.319946528775442857e+04,2.954873549701808244e+01,3.259416469650556980e+00,-1.564148002303122897e+00,1.112061016670186364e-01
3.327966471235030622e+04,3.114819555388283590e+01,3.314210877299256897e+00,-1.516770952396450323e+00,1.220013341907028592e-01
3.336005787343108386e+04,3.287423527187750238e+01,3.549502374650257419e+00,-1.623351365589073891e+00,1.237166067202317976e-01
3.344064523900294444e+04,3.005272149107065616e+01,2.439638578674219627e+00,-1.559578467197207718e+00,1.016874524844723349e-01
3.352142727820260188e+04,3.017912419264957435e+01,3.688479716876360559e+00,-1.517674720122703658e+00,1.224476443713008594e-01
3.360240446130006603e+04,3.166277563344973345e+01,2.006991268237417803e+00,-1.579937537107193091e+00,1.150481836233514521e-01
3.368357725970137835e+04,3.150345720369008973e+01,1.902658239681268348e+00,-1.626236807444311427e+00,1.415753038111499107e-01
3.376494614595134044e+04,3.204765968029169443e+01,2.890782869424588064e+00,-1.588951136141757647e+00,8.905294781614207789e-02
3.384651159373627888e+04,3.385650588940043093e+01,3.994892860709262195e+00,-1.537703133905526043e+00,1.227861776059224197e-01
3.392827407788678829e+04,3.051746808134578259e+01,2.525561136189377720e+00,-1.564171743945038218e+00,9.021054371174001829e-02
3.401023407438044524e+04,3.247418519415428761e+01,1.888086155310880754e+00,-1.548349355876798894e+00,1.567219458385260555e-01
3.409239206034482777e+04,3.029258409578648070e+01,2.896388698558757024e+00,-1.626633651115956480e+00,1.667905161965796967e-01
3.417474851405992376e+04,3.100605625077916372e+01,2.548753850620807171e+00,-1.573661855996522974e+00,1.023507386477972847e-01
3.425730391496113589e+04,3.156960372741480114e+01,3.245766107452311644e+00,-1.614405444078619301e+00,1.652813534249726324e-01
3.434005874364204647e+04,3.397632328732934326e+01,3.046087733697038669e+00,-1.576066178519006433e+00,9.627230973006062342e-02
3.442301348185720417e+04,3.384988490654965432e+01,2.691136222518156984e+00,-1.584810137641478933e+00,1.171606393843213495e-01
