# #Freq[Hz], #Gain_mean[a.u.], #Gain_std[a.u.], #Phase_mean[rad], #Phase_std[rad]
1.000000000000000000e+03,5.023050841659365773e+01,4.599719065698067766e+00,-1.523868393477793903e+00,1.190220898203329658e-01
1.004175912443004449e+03,5.081213445370330817e+01,1.198275998902666784e+00,-1.524842931459434947e+00,3.425869950730551367e-02
1.008369263130740592e+03,5.041724693361046405e+01,8.661194439721234817e-01,-1.534695287147879172e+00,2.923054452400863229e-02
1.012580124883791427e+03,5.035225397265426039e+01,2.073570974914948017e+00,-1.543261079250759060e+00,2.517526545294457643e-02
1.016808570826832693e+03,5.117711040773265552e+01,1.769266994262821413e+00,-1.566030837104514628e+00,2.514046510169114235e-02
1.021054674389903084e+03,5.042538227913290427e+01,1.380793060115522719e+00,-1.523796020434331044e+00,4.201840645672026697e-02
1.025318509309675846e+03,5.191124143113556499e+01,1.944946245131075724e+00,-1.555519106103903093e+00,3.648403918153073772e-02
1.029600149630744909e+03,5.134591833524401494e+01,1.735841006820322940e+00,-1.552801215518109235e+00,1.558313806480938687e-02
1.033899669706907162e+03,5.333465288576402230e+01,1.705458208480257865e+00,-1.534748703402709191e+00,2.715404648713903857e-02
1.038217144202454392e+03,5.246737138592875738e+01,2.176758235576535139e+00,-1.519563173929333599e+00,1.752532349656053465e-02
1.042552648093469998e+03,5.259798915206567926e+01,2.145638190797257039e+00,-1.565405197970304529e+00,3.560269918288046231e-02
1.046906256669130698e+03,5.191204903387716740e+01,1.564080163819751457e+00,-1.526842106622689155e+00,2.356662094856004988e-02
1.051278045533014620e+03,5.333561099816944306e+01,2.255968253467970364e+00,-1.539950701197032590e+00,2.320875313433393150e-02
1.055668090604413237e+03,5.351247534969790820e+01,2.067010105259298403e+00,-1.545973969581489582e+00,2.548950609263711878e-02
1.060076468119651963e+03,5.332318583984963567e+01,1.177470297242797059e+00,-1.537735900890480512e+00,2.385919889653490694e-02
1.064503254633409142e+03,5.398750882006298468e+01,1.831864203296162952e+00,-1.549419746506996542e+00,2.925789876331742756e-02
1.068948527020051642e+03,5.417225166998107255e+01,1.519389139610387573e+00,-1.551367412863016826e+00,3.731474087334738649e-02
1.073412362474965903e+03,5.508904398837209015e+01,1.452910175480741417e+00,-1.542290888870711640e+00,2.301676806190271554e-02
1.077894838515899892e+03,5.485399170636149080e+01,1.783286103983480642e+00,-1.549311982875281934e+00,2.505175594466330438e-02
1.082396032984308704e+03,5.459175571868846788e+01,1.354524289063972597e+00,-1.526584283339705639e+00,2.261057370572503583e-02
1.086916024046706525e+03,5.534389356024693285e+01,1.445023794721957300e+00,-1.538571985510880591e+00,4.261853314483958488e-02
1.091454890196024053e+03,5.529380646009392564e+01,1.661336727576011141e+00,-1.549937382799235319e+00,2.530389073614740247e-02
1.096012710252971829e+03,5.634070485448621923e+01,1.502615610468210905e+00,-1.555346147599355300e+00,2.080958289065112932e-02
1.100589563367408118e+03,5.642299377075952549e+01,1.278958973743444583e+00,-1.538064792995378793e+00,2.468256130771027956e-02
