# W1 [V], Ch2 [V]
0.000000000000000000e+00,5.000426408571350123e+00
5.000000000000000278e-02,5.000833210917890348e+00
1.000000000000000056e-01,4.999206001531730337e+00
1.500000000000000222e-01,4.999501857783759107e+00
2.000000000000000111e-01,5.001276995295933503e+00
2.500000000000000000e-01,4.999169019500225630e+00
3.000000000000000444e-01,4.999058073405715952e+00
3.500000000000000333e-01,4.997911630429102914e+00
4.000000000000000222e-01,4.999982624193306968e+00
4.500000000000000111e-01,5.001350959358941139e+00
5.000000000000000000e-01,4.998725235122182475e+00
5.500000000000000444e-01,5.000056588256313717e+00
6.000000000000000888e-01,4.998133522618124935e+00
6.500000000000000222e-01,5.006269569548924991e+00
7.000000000000000666e-01,4.999871678098796401e+00
7.500000000000000000e-01,4.996617259326475491e+00
8.000000000000000444e-01,4.996728205420986058e+00
8.500000000000000888e-01,4.997430864019555941e+00
9.000000000000000222e-01,4.992549235861075019e+00
9.500000000000000666e-01,4.991513738978974324e+00
1.000000000000000000e+00,4.986854003009514535e+00
1.050000000000000044e+00,4.978237189669166618e+00
1.100000000000000089e+00,4.967327490375593513e+00
1.150000000000000133e+00,4.948947420718284640e+00
1.200000000000000178e+00,4.922801124445212118e+00
1.250000000000000000e+00,4.879643093680464894e+00
1.300000000000000044e+00,4.813630167446468988e+00
1.350000000000000089e+00,4.716219496465883232e+00
1.400000000000000133e+00,4.575946650972579022e+00
1.450000000000000178e+00,4.369106148772725184e+00
1.500000000000000000e+00,4.069958495939786758e+00
1.550000000000000044e+00,3.652801180578736151e+00
1.600000000000000089e+00,3.091931690794543552e+00
1.650000000000000133e+00,2.338755637191426651e+00
1.700000000000000178e+00,1.394715318998027920e+00
1.750000000000000000e+00,4.459043187406589448e-01
1.800000000000000044e+00,1.753437762600342509e-01
1.850000000000000089e+00,1.157657235076714058e-01
1.900000000000000133e+00,9.239307959737143305e-02
1.950000000000000178e+00,7.515945291667552874e-02
2.000000000000000000e+00,6.310331064648912192e-02
2.050000000000000266e+00,5.504122777869577959e-02
2.100000000000000089e+00,4.819955195052251506e-02
2.149999999999999911e+00,4.605459412331144170e-02
2.200000000000000178e+00,4.316999566602756910e-02
2.250000000000000000e+00,4.908712070660985888e-02
2.300000000000000266e+00,3.865818782258358816e-02
2.350000000000000089e+00,3.692003234191254535e-02
2.400000000000000355e+00,3.377655966410320065e-02
2.450000000000000178e+00,4.139485815385290229e-02
2.500000000000000000e+00,3.307390106553406012e-02
2.550000000000000266e+00,4.161675034287472957e-02
2.600000000000000089e+00,3.218633230944671630e-02
2.650000000000000355e+00,3.266709871899402956e-02
2.700000000000000178e+00,3.170556589989940305e-02
2.750000000000000000e+00,2.871002134810462722e-02
2.800000000000000266e+00,2.996741041922836371e-02
2.850000000000000089e+00,3.018930260825019793e-02
2.900000000000000355e+00,2.856209322209007570e-02
2.950000000000000178e+00,2.700884789893722576e-02
3.000000000000000000e+00,2.811830884404640726e-02
3.050000000000000266e+00,2.978250026171017084e-02
3.100000000000000089e+00,2.730470415096633921e-02
3.150000000000000355e+00,2.915380572614829913e-02
3.200000000000000178e+00,2.726772211946269786e-02
3.250000000000000000e+00,2.626920726886443694e-02
3.300000000000000266e+00,2.682393774141902942e-02
3.350000000000000089e+00,2.390235725263152242e-02
3.400000000000000355e+00,2.697186586743358441e-02
3.450000000000000178e+00,2.656506352089355386e-02
3.500000000000000000e+00,2.327366271706965417e-02
3.550000000000000266e+00,2.397632131563879818e-02
3.600000000000000089e+00,2.575145882781348927e-02
3.650000000000000355e+00,2.327366271706966111e-02
3.700000000000000178e+00,2.604731507984260272e-02
3.750000000000000000e+00,2.527069241826617949e-02
3.800000000000000266e+00,2.552956663879165852e-02
3.850000000000000089e+00,2.449406975668975972e-02
3.900000000000000355e+00,2.316271662255874400e-02
3.950000000000000178e+00,2.408726741014971875e-02
4.000000000000000000e+00,2.360650100060240897e-02
4.049999999999999822e+00,2.371744709511333302e-02
4.100000000000000533e+00,2.112870488985858775e-02
4.150000000000000355e+00,2.323668068556601629e-02
4.200000000000000178e+00,2.493785413473341775e-02
4.250000000000000000e+00,2.098077676384403276e-02
4.299999999999999822e+00,2.305177052804782689e-02
4.350000000000000533e+00,2.401330334714244646e-02
4.400000000000000355e+00,2.297780646504054072e-02
4.450000000000000178e+00,2.323668068556601629e-02
4.500000000000000000e+00,2.353253693759513321e-02
4.549999999999999822e+00,2.959759010419197103e-02
4.600000000000000533e+00,2.216420177196047961e-02
4.650000000000000355e+00,2.123965098436949792e-02
4.700000000000000178e+00,2.379141115812060531e-02
4.750000000000000000e+00,2.294082443353690978e-02
4.800000000000000711e+00,2.153550723639861483e-02
4.850000000000000533e+00,2.072190254331855025e-02
4.900000000000000355e+00,2.183136348842772828e-02
4.950000000000000178e+00,2.297780646504054072e-02
5.000000000000000000e+00,2.253402208699687229e-02
