Freq_Hz, Mean_PSD_X, Std_PSD_X, Mean_PSD_Y, Std_PSD_Y
3.225806451612903136e-02,1.890418348491209027e-03,1.237478780874057662e-03,1.785555347365785851e-04,1.316038998063137080e-04
6.451612903225806273e-02,1.565197001457865021e-03,1.004223248580472230e-03,1.930456919274833058e-04,1.355555194073882874e-04
9.677419354838709409e-02,1.209844099631762976e-03,7.699630805477993608e-04,2.102526527253937736e-04,1.452665158505896082e-04
1.290322580645161255e-01,9.321019003943965863e-04,5.815152776540274873e-04,2.223760357932053273e-04,1.489544909968053309e-04
1.612903225806451568e-01,7.262253453896354511e-04,4.443506954995832042e-04,2.351145948216942587e-04,1.544753567273186108e-04
1.935483870967741882e-01,5.629660914722797596e-04,3.343977715618606837e-04,2.431820098710550811e-04,1.608282258072280446e-04
2.258064516129032195e-01,4.590373485179644096e-04,2.676135249921730397e-04,2.491930963925313106e-04,1.656024415470619523e-04
2.580645161290322509e-01,3.846032284951501727e-04,2.161768754252388087e-04,2.552072358339379067e-04,1.711277037800272875e-04
2.903225806451612545e-01,3.273221878715319787e-04,1.746193970041665642e-04,2.587235805458602822e-04,1.721037931333503667e-04
3.225806451612903136e-01,2.852626216251085865e-04,1.423809629186172673e-04,2.600937247377742203e-04,1.752800192986620495e-04
3.548387096774193727e-01,2.526009351600464197e-04,1.266951555536912580e-04,2.659119395814281460e-04,1.732852419697912007e-04
3.870967741935483764e-01,2.233349241379977887e-04,1.088832878907212119e-04,2.696454014830434770e-04,1.732848787508326556e-04
4.193548387096773800e-01,2.027852956090141049e-04,1.014420549033490202e-04,2.741693440543927201e-04,1.764494607908915179e-04
4.516129032258064391e-01,1.834101453078960942e-04,8.991078635004471535e-05,2.774144253235911496e-04,1.795044456407245798e-04
4.838709677419355537e-01,1.687587001317805398e-04,8.833552241469959420e-05,2.798591235623237080e-04,1.813061686968464245e-04
5.161290322580645018e-01,1.567225506802860744e-04,8.332890989579348881e-05,2.825081639543249425e-04,1.905587781632782677e-04
5.483870967741935054e-01,1.449284253906023062e-04,7.926809610471525103e-05,2.800672670579272593e-04,1.873344190497272836e-04
5.806451612903225090e-01,1.437538102691546054e-04,8.112893236331217978e-05,2.801957583464105258e-04,1.900745828217884808e-04
6.129032258064516236e-01,1.499091213256401988e-04,7.459508865676441123e-05,2.783761199922594478e-04,1.888560886785114426e-04
6.451612903225806273e-01,1.615890335629015500e-04,7.336623580895430135e-05,2.834390977798200155e-04,1.920276034707793121e-04
6.774193548387096309e-01,1.746736646243456841e-04,7.202990048356942192e-05,2.797331811407075225e-04,1.844625031862219479e-04
7.096774193548387455e-01,2.122609698022799899e-04,9.915336291038553084e-05,2.890148073177556507e-04,1.930885677352253465e-04
7.419354838709677491e-01,2.314505365610291566e-04,1.230135027851397714e-04,2.941012221460246202e-04,1.979715005067351704e-04
7.741935483870967527e-01,2.689325170924740296e-04,1.673100366489545915e-04,2.994794935424338741e-04,2.038084965674866308e-04
8.064516129032257563e-01,3.553842871666168589e-04,2.518481050975343995e-04,3.044018913023483755e-04,2.141819489638102842e-04
8.387096774193547599e-01,7.408742767746663181e-04,5.573714403028670562e-04,3.149041919900013361e-04,2.354756633686651388e-04
8.709677419354838745e-01,1.934376211076238930e-02,2.190939746858357531e-02,4.522020216505205333e-04,2.222967751287023813e-04
9.032258064516128782e-01,1.497529831220641302e-04,1.615523359806325849e-04,3.437312053620988602e-04,2.075185696356587526e-04
9.354838709677417707e-01,8.526062020897314799e-05,3.061268152628879768e-05,3.524708508190622491e-04,2.164837773694934097e-04
9.677419354838711074e-01,8.045076020344005090e-05,1.806236394898104387e-05,3.704683904665170748e-04,2.217638827178376108e-04
1.000000000000000000e+00,7.761079694554607884e-05,1.908023458714154522e-05,3.937892013060467224e-04,2.284482354805083485e-04
1.032258064516129004e+00,7.304369437055581676e-05,1.838768570519099435e-05,4.522934963677931555e-04,2.524713984713420657e-04
1.064516129032258007e+00,7.589961339319998852e-05,1.475850330577933029e-05,4.939634145754359792e-04,2.710616769855248888e-04
1.096774193548387011e+00,6.603996687094865648e-05,1.115557292243160924e-05,5.520547667851076956e-04,2.962340331415201644e-04
1.129032258064516014e+00,5.646713785377854963e-05,1.435749236000313190e-05,6.075469697863175892e-04,3.165709264985505276e-04
1.161290322580645018e+00,5.743913887241484614e-05,2.443185890956611758e-05,6.571870436261086339e-04,3.364965297282874242e-04
1.193548387096774244e+00,6.641685357793165303e-05,2.650952964095057340e-05,6.819367738864501056e-04,3.379627397551359736e-04
1.225806451612903247e+00,7.263607674730035565e-05,2.323522167606595186e-05,7.187389821576613139e-04,3.516736607999524007e-04
1.258064516129032251e+00,7.239801305844086466e-05,2.035895065735940991e-05,7.930356405682071870e-04,3.748823729955306681e-04
1.290322580645161255e+00,6.889126996361571347e-05,2.121491535912618787e-05,8.547292686244981150e-04,3.980090893715470049e-04
1.322580645161290258e+00,6.575097721658030550e-05,2.024208915081912951e-05,9.267499638259939915e-04,4.329121972240367218e-04
1.354838709677419262e+00,6.294132974839119609e-05,2.283462591114445591e-05,1.048787886114161023e-03,4.828883061299284836e-04
1.387096774193548265e+00,6.212242216010801783e-05,2.436764121260536032e-05,1.204533011924320508e-03,5.401709298149753131e-04
1.419354838709677491e+00,6.153710250902052234e-05,2.550384987588084169e-05,1.244117654172794372e-03,5.677698902745391797e-04
1.451612903225806495e+00,6.358252195287446480e-05,2.749805681441233948e-05,1.404783985037793247e-03,6.207765556510252665e-04
1.483870967741935498e+00,6.402688295413131803e-05,2.956901685391660927e-05,1.635765031246813909e-03,6.929765930403096637e-04
1.516129032258064502e+00,6.586339078091858637e-05,3.261908207338864036e-05,1.920349819265578135e-03,7.661365088149513789e-04
1.548387096774193505e+00,6.777083409686248457e-05,3.591654205293320543e-05,2.326517148903991302e-03,8.815132495746856806e-04
1.580645161290322509e+00,7.507678932581885573e-05,4.333700263464802203e-05,3.564247418463516431e-03,1.271464889870697456e-03
1.612903225806451513e+00,8.440340872535725481e-05,5.403852297180524524e-05,5.134511368815935714e-03,1.694383544498650205e-03
1.645161290322580516e+00,1.017641842392400040e-04,7.109167859638486863e-05,8.857552231972409471e-03,2.712203844870053528e-03
1.677419354838709520e+00,1.375185136610750937e-04,1.090242166534316097e-04,1.970653045319804494e-02,5.959413876550799169e-03
1.709677419354838745e+00,2.233103066601766645e-04,1.944186346090348854e-04,5.897640761466570181e-02,1.821767989669523594e-02
1.741935483870967749e+00,3.111213819448091999e-04,2.750508404085372943e-04,1.470678602571700855e-01,3.623084164409001023e-02
1.774193548387096753e+00,2.770031699011877069e-05,2.598811899288171271e-05,8.332488057346546656e-03,1.750562618080839109e-03
1.806451612903225756e+00,2.273660943118535044e-05,2.061266153749456533e-05,3.994662054420477192e-03,7.844321844168747294e-04
1.838709677419354760e+00,2.348911392049546156e-05,1.870163378807939407e-05,1.994922034945559568e-03,5.052927522382922318e-04
1.870967741935483541e+00,2.458707316097606706e-05,1.658765294611131178e-05,1.161985645175150211e-03,3.747308679412598097e-04
1.903225806451612989e+00,2.480356214819829752e-05,1.570519308834313508e-05,8.149652311038074921e-04,3.134484198538618803e-04
1.935483870967742215e+00,2.682801464802225772e-05,1.636718522101628700e-05,6.178915831440066854e-04,2.614985635075969578e-04
1.967741935483870996e+00,2.749618004196575073e-05,1.632457663761273877e-05,3.791086066873307066e-04,1.979604265815225830e-04
2.000000000000000000e+00,2.692449529033305415e-05,1.703894071837556100e-05,2.560840892302962846e-04,1.538308058339116799e-04
2.032258064516129004e+00,2.769474252531452889e-05,1.811908542664612790e-05,1.751975660236684026e-04,1.191960172482734088e-04
2.064516129032258007e+00,2.794831850585901363e-05,1.785393526908887684e-05,1.152998648318254518e-04,8.933802631651972771e-05
2.096774193548387011e+00,2.867757761799679864e-05,1.835937762571222297e-05,6.693475595911613999e-05,5.902202671697687544e-05
2.129032258064516014e+00,2.754245145605325743e-05,1.967224030725811559e-05,6.853419287904119407e-05,6.076294382611493826e-05
2.161290322580645018e+00,2.832247675252515094e-05,2.034346011453431099e-05,5.783246827223936212e-05,4.953970619865725187e-05
2.193548387096774022e+00,2.956912594990710743e-05,2.109554710116880896e-05,5.261752565487529408e-05,4.475952209252944970e-05
2.225806451612903025e+00,2.915257798820905321e-05,2.062406958412777092e-05,5.444900718061662913e-05,4.685269962310118354e-05
2.258064516129032029e+00,2.958827957181798206e-05,2.240310542094814373e-05,6.810341207396840779e-05,5.495994001378541193e-05
2.290322580645161032e+00,2.969417754932514715e-05,2.302952527834882841e-05,8.455147585056321466e-05,6.506452459803731844e-05
2.322580645161290036e+00,2.916346339865872816e-05,2.315907643833579709e-05,8.893232879675277221e-05,6.725843946645760816e-05
2.354838709677419484e+00,2.869926476513049538e-05,2.488124700732082458e-05,1.029294931926029579e-04,7.487168744457342931e-05
2.387096774193548487e+00,3.026863813251626914e-05,2.653824480984583577e-05,1.144404495458948759e-04,8.707565977690710139e-05
2.419354838709677491e+00,3.171168426036045831e-05,2.837916562334857993e-05,1.229318299425190665e-04,9.812213755675692616e-05
2.451612903225806495e+00,3.447748935867659591e-05,3.042909570700581018e-05,1.194544394092807426e-04,9.931067191964548877e-05
2.483870967741935498e+00,3.531745736314429276e-05,3.330026541990570218e-05,1.443599608338102386e-04,1.160303255320056608e-04
2.516129032258064502e+00,3.488387120797197975e-05,3.128264684229537353e-05,1.577140408600389730e-04,1.255944904142354567e-04
2.548387096774193505e+00,3.415920872391539214e-05,3.056030269929519355e-05,1.753615447926335489e-04,1.359769780939917318e-04
2.580645161290322509e+00,3.402984915101966382e-05,3.192860727195845778e-05,1.926200317203409626e-04,1.431823905944094898e-04
2.612903225806451513e+00,3.313010697407987935e-05,3.143572442284130728e-05,2.102106791975138589e-04,1.503946977973158981e-04
2.645161290322580516e+00,3.293200172168375185e-05,3.023392280915217578e-05,2.156583428138581665e-04,1.532638550723297815e-04
2.677419354838709520e+00,2.859447660044838813e-05,2.736063867006353014e-05,2.242053495096974142e-04,1.619061202727761859e-04
2.709677419354838523e+00,2.679067370161884417e-05,2.603276073463392802e-05,2.322424260939101722e-04,1.705250309450118097e-04
2.741935483870967527e+00,2.483618134475981014e-05,2.498570204488804260e-05,2.363548014578566311e-04,1.804600505079236256e-04
2.774193548387096531e+00,2.394390341997655128e-05,2.486649200817536343e-05,2.426069632771051367e-04,1.892794907309453694e-04
2.806451612903225534e+00,2.291484467547541580e-05,2.456943989248476463e-05,2.577805916523374626e-04,2.034509746814203027e-04
2.838709677419354982e+00,2.410004030383077484e-05,2.634319167553903569e-05,2.797331123905487447e-04,2.068005656220182832e-04
2.870967741935483986e+00,2.497674137017385861e-05,2.602002541779322104e-05,2.881260938761060386e-04,2.047330858863582396e-04
2.903225806451612989e+00,2.701984369123281658e-05,2.497165852597251021e-05,2.985864806182212641e-04,2.049256844750301561e-04
2.935483870967741993e+00,3.406573420706511302e-05,2.938780777333347370e-05,3.166947197128890720e-04,2.090196447981159007e-04
2.967741935483870996e+00,4.718850535489947054e-05,4.362869261076964342e-05,3.228579143308223879e-04,2.134261905860375245e-04
3.000000000000000000e+00,6.856551359417740533e-05,7.634856634074801539e-05,3.108693083886540989e-04,2.066198054099537993e-04
3.032258064516129004e+00,8.318994424813681268e-05,8.797209739116047507e-05,3.175827804537279127e-04,2.142054410952690612e-04
3.064516129032258007e+00,8.237152512068814515e-05,7.551941097274453036e-05,3.404476504596684562e-04,2.313996625756066831e-04
3.096774193548387011e+00,7.701672938415079703e-05,5.319680275255385973e-05,3.648443403352910554e-04,2.455515696698364167e-04
3.129032258064516014e+00,7.031969769089166161e-05,3.919093497118907574e-05,3.985533526301703478e-04,2.578032831711174933e-04
3.161290322580645018e+00,6.448678821297528202e-05,3.010353662234222072e-05,4.370863280535775713e-04,2.666925111482490126e-04
3.193548387096774022e+00,6.283428310199441790e-05,2.725601588908054600e-05,4.663743522816438830e-04,2.714491117194725361e-04
3.225806451612903025e+00,5.823394431841419822e-05,2.545404236437948483e-05,4.974189146562309769e-04,2.815358778691745101e-04
3.258064516129032029e+00,5.580116839192852398e-05,2.594777114900608534e-05,5.329788865941396080e-04,3.018522245269952180e-04
3.290322580645161032e+00,5.454351899819007604e-05,2.601929483588669194e-05,5.525020992660224480e-04,3.198767919849168553e-04
3.322580645161290036e+00,5.566832259598968535e-05,2.806540435736352057e-05,5.634004389343604631e-04,3.347771715067692595e-04
