time,acc_x,acc_y,acc_z
3.757202409999999873e+02,3.134000000000000000e+03,-1.078000000000000000e+03,1.731400000000000000e+04
3.757284065411242295e+02,2.404471073663289189e+03,-1.440117951278749842e+03,1.720557270090892416e+04
3.757365720822485287e+02,1.534243351526888546e+03,-1.530330048912029724e+03,1.721918128021572920e+04
3.757447376233727709e+02,6.713367256599786970e+02,-1.732878226199566143e+03,1.724692128107809185e+04
3.757529031644970132e+02,5.272381130589533882e+01,-1.719988354480891303e+03,1.720246089256537380e+04
3.757610687056213123e+02,-3.587131129620091201e+02,-1.655353660584463796e+03,1.730260627528765326e+04
3.757692342467455546e+02,-7.735487508016682341e+02,-1.504697418643728270e+03,1.711248203190117420e+04
3.757773997878697969e+02,-1.140130727267099928e+03,-1.255595564376825450e+03,1.712467230825929801e+04
3.757855653289940960e+02,-1.657865438633599979e+03,-9.184944944172558507e+02,1.709791220428970337e+04
3.757937308701183383e+02,-2.226448322486526195e+03,-6.006780560061306460e+02,1.699136992609168738e+04
3.758018964112425806e+02,-2.619311125252567308e+03,-1.904293146666111625e+02,1.707686355753535827e+04
3.758100619523668229e+02,-2.810987664724690148e+03,1.397939832155352917e+02,1.700877818698842384e+04
3.758182274934911220e+02,-2.575999310375188088e+03,5.175134221604915865e+02,1.701895801796427622e+04
3.758263930346153643e+02,-2.044201371211923743e+03,7.721836484656240600e+02,1.704300523581148445e+04
3.758345585757396066e+02,-1.279206892798442595e+03,9.681213568554436506e+02,1.706268906377363237e+04
3.758427241168639057e+02,-4.801759530737173236e+02,1.185334074898725476e+03,1.713299034842347100e+04
3.758508896579881480e+02,2.083769712838007138e+02,1.106775780289996419e+03,1.714261916838383695e+04
3.758590551991123903e+02,6.909091313076283996e+02,1.180203867154995123e+03,1.714484296418882877e+04
3.758672207402366894e+02,1.173294441751542536e+03,1.075571579887976441e+03,1.718243760152749383e+04
3.758753862813609317e+02,1.598552538745879019e+03,9.379196307278721179e+02,1.715397990768196905e+04
3.758835518224851739e+02,2.284900493154456399e+03,7.347227987333834562e+02,1.710507993424607412e+04
3.758917173636094731e+02,2.965623538236241984e+03,5.159372992688520299e+02,1.723412540146229730e+04
3.758998829047337153e+02,3.515833045989112634e+03,4.360051010079741332e+02,1.725414144897101505e+04
3.759080484458579576e+02,3.780125901499770862e+03,2.752027611845119281e+02,1.726851050896036395e+04
3.759162139869822568e+02,3.745671621878257611e+03,1.875283558857967137e+02,1.728112537164086825e+04
3.759243795281064990e+02,3.282852521945596436e+03,1.766616959056680400e+02,1.725650372807074746e+04
3.759325450692307413e+02,2.602656352880449504e+03,1.983080365788273127e+02,1.735761383539527742e+04
3.759407106103550404e+02,1.916875840467809894e+03,2.716295236262539561e+02,1.725605035046655394e+04
3.759488761514792827e+02,1.235566179956259020e+03,5.076866260836312676e+02,1.727035375250068682e+04
3.759570416926035250e+02,6.499386158542994281e+02,7.413380220071971962e+02,1.728346823251523892e+04
3.759652072337278241e+02,8.881330385569964392e+01,1.127033956576089622e+03,1.709682908334263993e+04
3.759733727748520664e+02,-5.174024369861642754e+02,1.352218011508263771e+03,1.714190191704635436e+04
3.759815383159763087e+02,-1.275315963559631655e+03,1.698183928732436243e+03,1.706101729796841391e+04
3.759897038571005510e+02,-2.045641554182510845e+03,1.955343227186312106e+03,1.721383821728453768e+04
3.759978693982248501e+02,-2.699721161734994439e+03,2.191241645601729033e+03,1.717152142763428128e+04
3.760060349393490924e+02,-3.144925742480431381e+03,2.346589263687163111e+03,1.707077722744129278e+04
3.760142004804733347e+02,-3.159103185235357159e+03,2.313833604073005063e+03,1.729525121832852165e+04
3.760223660215976338e+02,-2.868479521399518944e+03,2.359834004567669126e+03,1.719007838149179588e+04
3.760305315627218761e+02,-2.308807196154784833e+03,2.185831923094538070e+03,1.717627651361866447e+04
3.760386971038461184e+02,-1.637787853040818163e+03,2.117655405820787564e+03,1.722978108423798403e+04
3.760468626449704175e+02,-9.780074608689377555e+02,1.889160834217536376e+03,1.710515337334859942e+04
3.760550281860946598e+02,-4.341439381360185621e+02,1.637435370257723434e+03,1.730211419325847965e+04
3.760631937272189020e+02,1.376068674974210069e+02,1.438720700367112386e+03,1.724471379882626570e+04
3.760713592683432012e+02,8.130193469601762217e+02,1.199873984355099083e+03,1.738580536563216447e+04
3.760795248094674434e+02,1.630288201516559184e+03,1.046226017762184711e+03,1.737635569191033210e+04
3.760876903505916857e+02,2.336611886818172025e+03,1.001165542122278566e+03,1.735718812583066392e+04
3.760958558917159849e+02,2.892730275140107551e+03,1.036412482227189912e+03,1.736175717362204159e+04
3.761040214328402271e+02,3.448848663458171359e+03,1.071659422331855922e+03,1.736632622141339016e+04
3.761121869739644694e+02,3.890888262094352285e+03,1.131309394672093276e+03,1.738022347581129725e+04
3.761203525150887685e+02,3.788673975500122651e+03,1.270299769395736121e+03,1.733350548162509222e+04
3.761285180562130108e+02,3.351846678975517534e+03,1.433778254940326633e+03,1.733130646582454938e+04
3.761366835973372531e+02,2.823012361801586394e+03,1.690707325708350481e+03,1.730228612980845719e+04
3.761448491384615522e+02,2.336511583023260755e+03,1.924593896554983985e+03,1.730784417468269748e+04
3.761530146795857945e+02,1.833115967347473088e+03,2.114020188673245684e+03,1.725382210081631274e+04
3.761611802207100368e+02,1.347391398663686914e+03,2.274058802262110021e+03,1.730528004421590595e+04
3.761693457618342791e+02,6.920619179237160097e+02,2.373783030380281161e+03,1.724753060569366426e+04
3.761775113029585782e+02,1.616902792403664080e+00,2.414433176756010198e+03,1.724615931131172692e+04
3.761856768440828205e+02,-8.102812145816895963e+02,2.333717129391870458e+03,1.733331563562549491e+04
3.761938423852070628e+02,-1.603114501414174583e+03,2.200765465175888949e+03,1.716873545682340409e+04
3.762020079263313619e+02,-2.142004972614975031e+03,2.057844283214345523e+03,1.721335063519840696e+04
3.762101734674556042e+02,-2.460107390304880937e+03,1.755179549408904450e+03,1.712191150963289692e+04
3.762183390085798464e+02,-2.304665060297899799e+03,1.458400595068078474e+03,1.713449406514105067e+04
3.762265045497041456e+02,-2.115415749075104941e+03,1.162391842189729232e+03,1.715019125508300567e+04
3.762346700908283879e+02,-1.729241471696926965e+03,9.035637403034313593e+02,1.714018341692887770e+04
3.762428356319526301e+02,-1.328453694174656448e+03,6.103462168861285591e+02,1.716781096076055837e+04
3.762510011730769293e+02,-9.970720236408053552e+02,3.784912348119231069e+02,1.718096710652723414e+04
3.762591667142011715e+02,-5.157382976623598552e+02,2.218538189002933905e+02,1.715159759104380646e+04
3.762673322553254138e+02,-3.130606107214669009e+01,5.645140053674940361e+01,1.725339392308698370e+04
3.762754977964497130e+02,6.562023524416592863e+02,9.104922674974426400e+01,1.716066521454861868e+04
3.762836633375739552e+02,1.400012684915211139e+03,1.619886190594714321e+02,1.723274272391533304e+04
3.762918288786981975e+02,2.111722390033171450e+03,3.143227175184630937e+02,1.721870544012204118e+04
3.762999944198224966e+02,2.768919284999213232e+03,4.879769385712037320e+02,1.724620786593158482e+04
3.763081599609467389e+02,3.089920050914242438e+03,7.027552794262182942e+02,1.720983360407314103e+04
3.763163255020709812e+02,3.227116173451704526e+03,8.959430486683243089e+02,1.719620956637074050e+04
3.763244910431952803e+02,3.089369088983600705e+03,1.024986591631149622e+03,1.721845332651192439e+04
3.763326565843195226e+02,2.895623441546541471e+03,1.193397719861437054e+03,1.722351058070399085e+04
3.763408221254437649e+02,2.622796666916585764e+03,1.253795433375819584e+03,1.726548256677413156e+04
3.763489876665680072e+02,2.297779292189778971e+03,1.207250433554523170e+03,1.718764973986728728e+04
3.763571532076923063e+02,1.969607320149947100e+03,1.141174622459035845e+03,1.721001543382671298e+04
3.763653187488165486e+02,1.535256210891398268e+03,9.351158784806819995e+02,1.717920391262880730e+04
3.763734842899407909e+02,9.081994529670770362e+02,6.813590791655807379e+02,1.712529676341020968e+04
3.763816498310650900e+02,1.656995758848252649e+02,3.327042249550099768e+02,1.710619579544091175e+04
3.763898153721893323e+02,-5.734332304481774827e+02,1.481355891876262376e+00,1.708824775820103605e+04
3.763979809133135745e+02,-1.199355034904711147e+03,-3.059743635840831075e+02,1.711430966433968570e+04
3.764061464544378737e+02,-1.587297322379405159e+03,-7.181204461288475613e+02,1.711823468562416383e+04
3.764143119955621160e+02,-1.773294916137793507e+03,-9.488344028910713632e+02,1.713834526166010255e+04
3.764224775366863582e+02,-1.760980806072669793e+03,-1.208692076114647080e+03,1.712460584028300582e+04
3.764306430778106574e+02,-1.658076938206808109e+03,-1.406201034852746943e+03,1.716620103485274740e+04
3.764388086189348996e+02,-1.508921853074360570e+03,-1.508695367314098803e+03,1.722413362452336514e+04
3.764469741600591419e+02,-1.423397913690279438e+03,-1.556264301339183476e+03,1.708860500967273038e+04
3.764551397011834410e+02,-1.275777950358170301e+03,-1.481737975815518894e+03,1.722739007000771016e+04
3.764633052423076833e+02,-9.298879749077204906e+02,-1.370255025446477930e+03,1.715025502544647679e+04
3.764714707834319256e+02,-5.106358327691870045e+02,-1.173718517800379232e+03,1.708519119216164836e+04
3.764796363245562247e+02,5.114596129879134878e+01,-1.015772224335846204e+03,1.716804982092489445e+04
3.764878018656804670e+02,6.664203379603103485e+02,-8.159163985470869420e+02,1.710000836014528977e+04
3.764959674068047093e+02,1.219600299108766194e+03,-6.091562059244687362e+02,1.720648008973263131e+04
3.765041329479290084e+02,1.587467695381591057e+03,-4.377899265231623644e+02,1.717363237141553327e+04
3.765122984890532507e+02,1.812011626361929302e+03,-3.800505975680750907e+02,1.722816341906615344e+04
3.765204640301774930e+02,1.893067940300683858e+03,-2.846007084513274208e+02,1.729354946866150567e+04
3.765286295713017353e+02,1.889751740146008387e+03,-3.849432446940044770e+02,1.722452837765299773e+04
3.765367951124260344e+02,1.887129680328960831e+03,-5.032092501358688423e+02,1.733340969222408239e+04
3.765449606535502767e+02,1.937710512550424710e+03,-6.728997840401343637e+02,1.722898474828299368e+04
3.765531261946745190e+02,1.952288703474925796e+03,-9.203026530245791719e+02,1.720658961280579751e+04
3.765612917357988181e+02,1.931628585652239053e+03,-1.184109947426605004e+03,1.733633190146110792e+04
3.765694572769230604e+02,1.667589413663079540e+03,-1.541008757396690726e+03,1.721201790209783940e+04
3.765776228180473026e+02,1.306361900422851932e+03,-1.816841503718678723e+03,1.731951863834338656e+04
3.765857883591716018e+02,7.905103778594681216e+02,-2.108166176370348694e+03,1.730995845590741374e+04
3.765939539002958441e+02,3.413317076039642188e+02,-2.335876839930954247e+03,1.731048439445158874e+04
3.766021194414200863e+02,5.788754015353202931e+01,-2.453557516092826972e+03,1.733950042872319682e+04
3.766102849825443855e+02,-1.966228325518049473e+02,-2.554709074475717443e+03,1.733079921939993801e+04
3.766184505236686277e+02,-3.895258623032750052e+02,-2.541150546495005074e+03,1.735010113555077623e+04
3.766266160647928700e+02,-4.699341466119079769e+02,-2.435879372613670967e+03,1.731814627164564445e+04
3.766347816059171691e+02,-6.393053450694521871e+02,-2.335837679480127463e+03,1.726862542380690502e+04
3.766429471470414114e+02,-8.604881549240988079e+02,-2.113511845075900965e+03,1.730495734538672696e+04
3.766511126881656537e+02,-1.072959987659045282e+03,-1.940795651845925022e+03,1.725542400740457379e+04
3.766592782292899528e+02,-1.183280779404227133e+03,-1.695133750640699418e+03,1.724635429378598928e+04
3.766674437704141951e+02,-1.166190405258474129e+03,-1.411283545753322414e+03,1.724622076471196124e+04
3.766756093115384374e+02,-8.617708333347588905e+02,-1.264824145300271084e+03,1.722903739316232168e+04
3.766837748526627365e+02,-5.152651367376120106e+02,-1.068168496412725062e+03,1.726033840646762474e+04
3.766919403937869788e+02,-8.327401910569520282e+01,-1.035332485987224118e+03,1.723266497197444914e+04
3.767001059349112211e+02,3.112663573271796054e+02,-9.633420458904087127e+02,1.724995044910799697e+04
3.767082714760354634e+02,5.871079227992506731e+02,-1.026436825276471609e+03,1.730888286387684639e+04
3.767164370171597625e+02,8.974300098211764407e+02,-1.140972003928470485e+03,1.720975233300595937e+04
3.767246025582840048e+02,1.143166004904745705e+03,-1.241485835376977320e+03,1.729061589894989083e+04
3.767327680994082471e+02,1.549371383279607471e+03,-1.447505390742758209e+03,1.730334263265156551e+04
3.767409336405325462e+02,1.937668153933544545e+03,-1.564527110565897374e+03,1.728243719975465501e+04
3.767490991816567885e+02,2.295345757567549299e+03,-1.728965107165449808e+03,1.730306165742748635e+04
3.767572647227810307e+02,2.620737953137082968e+03,-1.894904567450745390e+03,1.731603574794121596e+04
3.767654302639053299e+02,2.627205203151162095e+03,-1.998565518007971150e+03,1.731605022819364240e+04
3.767735958050295721e+02,2.526038484921031795e+03,-2.041806131445042865e+03,1.734297362901295128e+04
3.767817613461538144e+02,2.407089922068545093e+03,-2.078857497860954936e+03,1.736593054737184866e+04
3.767899268872781136e+02,2.053556202572724033e+03,-2.034257859401482165e+03,1.733656005375219684e+04
3.767980924284023558e+02,1.708593703026013372e+03,-1.968972596124397342e+03,1.729810791508810507e+04
3.768062579695265981e+02,1.358257381901195231e+03,-1.738746881367151673e+03,1.728841117955140362e+04
3.768144235106508972e+02,1.034431106509617166e+03,-1.524741871675251787e+03,1.723119300174991804e+04
3.768225890517751395e+02,5.698151250970740875e+02,-1.263861343822805566e+03,1.714004621872573261e+04
3.768307545928993818e+02,7.567772323256724576e+01,-9.733646442026224577e+02,1.717532780875825119e+04
3.768389201340236809e+02,-4.963016857184034052e+02,-7.151671948963414707e+02,1.708370490561114275e+04
3.768470856751479232e+02,-1.026739662713953976e+03,-4.628402705193422548e+02,1.711771430528370547e+04
3.768552512162721655e+02,-1.504765484731407469e+03,-3.200069963382281912e+02,1.711400466422548561e+04
3.768634167573964646e+02,-1.737306734494039802e+03,-1.984196902832965179e+02,1.711558030971670451e+04
3.768715822985207069e+02,-1.740058341137621710e+03,-1.153452162529799523e+02,1.719623014416865408e+04
3.768797478396449492e+02,-1.585305512202382715e+03,-8.850521646205324089e+01,1.708663189025297834e+04
3.768879133807691915e+02,-1.319921715072963252e+03,-1.815346449729461824e+02,1.710835642998196272e+04
3.768960789218934906e+02,-9.929853800480176460e+02,-2.221663959268151416e+02,1.715716802036592344e+04
3.769042444630177329e+02,-6.162055861026640287e+02,-3.754576132106799378e+02,1.711437791790718984e+04
3.769124100041419752e+02,-1.893768073848670213e+02,-4.627869779893660507e+02,1.717196724292515501e+04
3.769205755452662743e+02,2.410343134981829962e+02,-6.387208764866010142e+02,1.713687168403837859e+04
3.769287410863905166e+02,8.549450559577629747e+02,-7.452108385293082620e+02,1.719793689608338900e+04
3.769369066275147588e+02,1.456445541901808838e+03,-7.740000000000000000e+02,1.725400000000000000e+04
3.769450721686390580e+02,2.031940259968527926e+03,-7.440805381340247777e+02,1.725998389237319498e+04
3.769532377097633002e+02,2.515850120689623509e+03,-6.277784690229966600e+02,1.721785598712644060e+04
3.769614032508875425e+02,2.840511891162798292e+03,-5.642083809302057489e+02,1.720051189116279784e+04
3.769695687920118417e+02,2.869851774438132452e+03,-3.155348257145398065e+02,1.722985177443813154e+04
3.769777343331360839e+02,2.764504069851477652e+03,-1.272093881975245324e+02,1.715804024969891543e+04
3.769858998742603262e+02,2.492966526746140971e+03,1.204136463373298511e+02,1.721024425212947608e+04
3.769940654153846253e+02,2.178848873115772676e+03,3.978043416142194246e+02,1.718138129695351017e+04
3.770022309565088676e+02,1.705211191905166970e+03,6.714930050592706721e+02,1.716954177205165252e+04
3.770103964976331099e+02,1.284764224962912067e+03,9.322684121605252585e+02,1.712677789546913482e+04
3.770185620387574090e+02,7.587459067927018168e+02,1.150877278746306729e+03,1.715301236498243088e+04
3.770267275798816513e+02,2.292016765296949359e+02,1.302891905410464688e+03,1.710606426456467671e+04
3.770348931210058936e+02,-4.512600838258201748e+02,1.376323030628685729e+03,1.710769606734730405e+04
3.770430586621301927e+02,-1.087014960829731763e+03,1.429533221300860532e+03,1.713934385375267811e+04
3.770512242032544350e+02,-1.610913286874730602e+03,1.440474554911778341e+03,1.712456200608513245e+04
3.770593897443786773e+02,-1.930217830515760625e+03,1.379620929778959635e+03,1.713902122155392863e+04
3.770675552855029196e+02,-2.079771657336829321e+03,1.263950424428316410e+03,1.718797796641258537e+04
3.770757208266272187e+02,-2.063456889855748614e+03,1.131800807831564498e+03,1.712924480348069483e+04
3.770838863677514610e+02,-1.849550059574288753e+03,9.393564599404919591e+02,1.716945160009155006e+04
3.770920519088757032e+02,-1.577251806129764191e+03,8.279754785524770568e+02,1.713060169804962061e+04
3.771002174500000024e+02,-1.251138913304202788e+03,6.780487415102466002e+02,1.718599512584897457e+04
3.771083829911242447e+02,-8.767841176209018386e+02,5.867625289092230787e+02,1.723637471090777035e+04
3.771165485322484869e+02,-4.592882745257749093e+02,5.381570575158075371e+02,1.729981676623155727e+04
3.771247140733727861e+02,1.344860351729769832e+02,5.796496151836673789e+02,1.727053063555634799e+04
3.771328796144970283e+02,7.552373975827727008e+02,7.543613743845022555e+02,1.724965607496642770e+04
3.771410451556212706e+02,1.420133489326351537e+03,9.247560539500906316e+02,1.727396633186901818e+04
3.771492106967455697e+02,1.903948810718860159e+03,1.133986400105276061e+03,1.730766093681855637e+04
3.771573762378698120e+02,2.275844666224325010e+03,1.356132587395060000e+03,1.725731516846829254e+04
3.771655417789940543e+02,2.487804095875762869e+03,1.651327247679054153e+03,1.732464945051482209e+04
3.771737073201183534e+02,2.500524772946871053e+03,1.910635734299293517e+03,1.730947522705312804e+04
3.771818728612425957e+02,2.487405412982484449e+03,2.072441071382419977e+03,1.730639567522105062e+04
3.771900384023668380e+02,2.340974519696611878e+03,2.256188739314627583e+03,1.731339540737640345e+04
3.771982039434911371e+02,2.130995792868140143e+03,2.377058965634337710e+03,1.730159213791542061e+04
3.772063694846153794e+02,1.901440243309369862e+03,2.491292769917138230e+03,1.728636096401104805e+04
3.772145350257396217e+02,1.521389543985122600e+03,2.430663282018233531e+03,1.724200000000000000e+04
3.772227005668639208e+02,1.116006184508583374e+03,2.336232289569423756e+03,1.723235031573166998e+04
3.772308661079881631e+02,5.817184341784117123e+02,2.164949898937091803e+03,1.729398751360462120e+04
3.772390316491124054e+02,5.297762848091150545e+01,1.977729403687352715e+03,1.727001293644544785e+04
3.772471971902366477e+02,-4.237524725297767532e+02,1.770774327395311047e+03,1.721668000900067273e+04
3.772553627313609468e+02,-8.052705202378595004e+02,1.540341814437183757e+03,1.724990829822445448e+04
3.772635282724851891e+02,-1.043670233444443738e+03,1.287049910213675503e+03,1.723406506285042633e+04
3.772716938136094313e+02,-1.174651094550245261e+03,1.052641193982096638e+03,1.727036800996318198e+04
3.772798593547337305e+02,-1.177379386373929719e+03,9.153793863739297194e+02,1.723271484643401709e+04
3.772880248958579728e+02,-1.100785948223270907e+03,7.721177001800571134e+02,1.724077171583434756e+04
3.772961904369822150e+02,-1.008714226849019383e+03,7.414560507481900231e+02,1.725399448058996859e+04
3.773043559781065142e+02,-8.884243464903004224e+02,8.036403485385064869e+02,1.724737697385961292e+04
