Freq_Hz, Mean_PSD_X, Std_PSD_X, Mean_PSD_Y, Std_PSD_Y
3.225806451612902442e-02,1.420979324856701329e-04,1.503170524069012649e-04,2.312664231050744659e-05,2.566281193511914699e-05
6.451612903225804885e-02,1.013731762779624350e-04,1.023253291491338184e-04,2.233415242805899859e-05,2.534464259986714027e-05
9.677419354838709409e-02,7.629346927760453760e-05,7.315032366782408548e-05,2.231972118108641474e-05,2.398275607202291653e-05
1.290322580645160977e-01,6.041340916066984229e-05,5.620168121889788666e-05,2.324721748118950684e-05,2.599580340720803422e-05
1.612903225806451846e-01,4.751830104188473379e-05,4.139010150804856410e-05,2.147082105150184133e-05,2.386534529119233925e-05
1.935483870967741882e-01,3.815725814801389129e-05,3.436573563809128241e-05,2.182761021094336559e-05,2.397347115138936596e-05
2.258064516129031918e-01,3.309787065231727587e-05,3.010617672522485338e-05,2.191754182658546378e-05,2.467524681997112517e-05
2.580645161290321954e-01,3.005999095109273324e-05,2.685824452701107245e-05,2.223434313725149676e-05,2.517415165387743736e-05
2.903225806451611990e-01,2.818306331246077099e-05,2.857542970346490155e-05,2.173685426172383220e-05,2.472328375537027510e-05
3.225806451612903691e-01,3.051554149366966505e-05,3.637366439847578963e-05,2.087461573404302050e-05,2.454578040143479901e-05
3.548387096774193727e-01,2.914579541255506534e-05,3.719056864195948949e-05,2.110374068703352128e-05,2.505514647123087551e-05
3.870967741935483764e-01,3.325849152516653493e-05,4.400326062887895091e-05,2.006993941857915831e-05,2.413959324281232739e-05
4.193548387096773800e-01,3.667878352319862317e-05,4.681225130018994526e-05,2.066046489359778867e-05,2.570779442141665015e-05
4.516129032258063836e-01,3.997446140124504487e-05,4.591958694624734781e-05,2.047293270363773941e-05,2.497576296336966151e-05
4.838709677419356092e-01,4.484098519652696363e-05,4.637864607627060327e-05,2.013814742990436727e-05,2.298573551321738632e-05
5.161290322580643908e-01,5.492344990648804386e-05,5.586052672460556574e-05,2.079746801863138192e-05,2.477736738204935977e-05
5.483870967741936164e-01,5.699452752022313162e-05,4.948631930135872315e-05,1.963963117206216541e-05,2.439000487222219891e-05
5.806451612903223980e-01,6.279342643321386111e-05,5.066747878150925890e-05,1.985404248292115228e-05,2.608070512546030722e-05
6.129032258064517347e-01,7.735784581650125469e-05,5.813432762799683793e-05,2.181467552769161041e-05,2.881868643306604582e-05
6.451612903225807383e-01,9.728666815238346736e-05,6.445172306171888070e-05,2.077415983971127197e-05,2.744384131042726361e-05
6.774193548387097419e-01,1.191078254110384518e-04,7.702728330365881835e-05,2.106766337088229388e-05,2.626287809646335995e-05
