Freq_x, PSD_x, Freq_y, PSD_y, Freq_z, PSD_z
3.225806451612903136e-02,2.180368332505471039e-04,3.225806451612903136e-02,1.099597649586559379e-06,3.225806451612903136e-02,7.349132604514317321e-05
6.451612903225806273e-02,1.297000699098737968e-04,6.451612903225806273e-02,1.547088164303605648e-06,6.451612903225806273e-02,6.262706073306253582e-05
9.677419354838709409e-02,7.654458521441955801e-05,9.677419354838709409e-02,3.239115098852994328e-06,9.677419354838709409e-02,6.553513821309636526e-05
1.290322580645161255e-01,4.792950178804676392e-05,1.290322580645161255e-01,4.624103913216382634e-06,1.290322580645161255e-01,5.837035399822496475e-05
1.612903225806451568e-01,3.238887709943588916e-05,1.612903225806451568e-01,3.733611312987085696e-06,1.612903225806451568e-01,5.961393566183880647e-05
1.935483870967741882e-01,2.731926226603993720e-05,1.935483870967741882e-01,3.919888681270380821e-06,1.935483870967741882e-01,5.608066546736989433e-05
2.258064516129032195e-01,2.091434655352494149e-05,2.258064516129032195e-01,4.878818020994148514e-06,2.258064516129032195e-01,5.473745894719243241e-05
2.580645161290322509e-01,1.663272752521197911e-05,2.580645161290322509e-01,4.679487204802481984e-06,2.580645161290322509e-01,5.255994088660791977e-05
2.903225806451612545e-01,1.771659301274775770e-05,2.903225806451612545e-01,6.282896120659153336e-06,2.903225806451612545e-01,5.541589689124292546e-05
3.225806451612903136e-01,1.825575882135223717e-05,3.225806451612903136e-01,8.578699677395538250e-06,3.225806451612903136e-01,5.363949174597596272e-05
3.548387096774193727e-01,1.649739388435126716e-05,3.548387096774193727e-01,8.134009879332241381e-06,3.548387096774193727e-01,6.005250561603286806e-05
3.870967741935483764e-01,1.720980936483142937e-05,3.870967741935483764e-01,4.247797525845847559e-06,3.870967741935483764e-01,5.490270322769806897e-05
4.193548387096773800e-01,1.632295290609683057e-05,4.193548387096773800e-01,3.429159645746995992e-06,4.193548387096773800e-01,5.447005628837155215e-05
4.516129032258064391e-01,1.410585886032196587e-05,4.516129032258064391e-01,2.206771042488500816e-06,4.516129032258064391e-01,6.308891020567288009e-05
4.838709677419354982e-01,1.428164846568475893e-05,4.838709677419354982e-01,1.452231825896843544e-06,4.838709677419354982e-01,5.639528497781019409e-05
5.161290322580645018e-01,1.204287630891335855e-05,5.161290322580645018e-01,3.483768773124441967e-06,5.161290322580645018e-01,6.075181292036971998e-05
5.483870967741935054e-01,1.061659885262261812e-05,5.483870967741935054e-01,4.022430107751981310e-06,5.483870967741935054e-01,6.371079531331838802e-05
5.806451612903225090e-01,8.419909785955258217e-06,5.806451612903225090e-01,5.318751127435084472e-06,5.806451612903225090e-01,6.348766123002826177e-05
6.129032258064516236e-01,6.955021743520933840e-06,6.129032258064516236e-01,6.854176125151869681e-06,6.129032258064516236e-01,5.723455869739389870e-05
6.451612903225806273e-01,7.915813191638858271e-06,6.451612903225806273e-01,7.856610354677021107e-06,6.451612903225806273e-01,5.144048948864237694e-05
6.774193548387096309e-01,1.003516738987473711e-05,6.774193548387096309e-01,6.595615643932232709e-06,6.774193548387096309e-01,5.089251409632886190e-05
7.096774193548387455e-01,1.630431726928170682e-05,7.096774193548387455e-01,6.384854124954179736e-06,7.096774193548387455e-01,4.593148862185925297e-05
