Freq_Hz, Mean_PSD_X, Std_PSD_X, Mean_PSD_Y, Std_PSD_Y
3.225806451612902442e-02,3.182432868328118514e-04,2.900376857319357407e-04,2.238774396096304751e-04,1.052016541782454124e-04
6.451612903225804885e-02,2.739518915411389083e-04,2.482620312719703267e-04,2.120999499262339084e-04,9.724403136778803894e-05
9.677419354838709409e-02,2.316156707540853693e-04,2.073142961714395335e-04,1.994006612621448352e-04,9.460563920204640201e-05
1.290322580645160977e-01,1.893037027577660291e-04,1.612686248353252191e-04,1.913922983406699039e-04,8.795039101151798735e-05
1.612903225806451846e-01,1.529059983512861631e-04,1.247470215263221508e-04,1.823328772511451546e-04,8.551753871016506037e-05
1.935483870967741882e-01,1.295196279436372239e-04,9.882931378043972664e-05,1.777035592128395846e-04,8.274056440678671245e-05
2.258064516129031918e-01,1.111713634341747329e-04,8.157848040218996307e-05,1.723812112513325502e-04,7.741160243486334199e-05
2.580645161290321954e-01,9.662365474825325450e-05,6.678996343579221855e-05,1.697684753295460871e-04,7.744188970349413878e-05
2.903225806451611990e-01,8.138577648644788789e-05,5.241136651747746374e-05,1.694889605963756916e-04,7.461999246041341031e-05
3.225806451612903691e-01,7.542252651744042952e-05,4.831502040906185852e-05,1.682910418628631298e-04,7.480620560389996884e-05
3.548387096774193727e-01,7.391242507675104012e-05,5.018334105973624299e-05,1.709388318485907242e-04,7.663180923701709644e-05
3.870967741935483764e-01,7.062166147022078794e-05,4.846554423908364752e-05,1.734343558710387532e-04,7.919057185540529301e-05
4.193548387096773800e-01,6.887144379425913911e-05,4.654504331959280873e-05,1.709167989881972603e-04,8.097585665751318574e-05
4.516129032258063836e-01,6.301028706110536328e-05,4.301711754925337657e-05,1.707382898989892584e-04,7.862206866120671875e-05
4.838709677419356092e-01,6.143375061651868145e-05,3.881912593836384529e-05,1.664482641395468535e-04,8.105832972812651170e-05
5.161290322580643908e-01,5.885497796776815131e-05,3.818422027663073600e-05,1.657623848758988543e-04,7.689188268454239428e-05
5.483870967741936164e-01,6.472716615697547248e-05,4.464795229159987291e-05,1.634230280612740047e-04,7.341690560182743128e-05
5.806451612903223980e-01,6.561768408011712953e-05,4.205057795782627024e-05,1.622123114062878663e-04,7.678668356178958924e-05
6.129032258064517347e-01,7.436584622205345938e-05,4.949008794110964425e-05,1.648023187790234947e-04,7.388686430849059929e-05
6.451612903225807383e-01,8.858799671436021358e-05,6.047851063525192298e-05,1.652314061687638013e-04,7.513242470391706597e-05
6.774193548387097419e-01,1.162172058137997209e-04,7.983578393024418909e-05,1.682466903694619436e-04,7.877855667012036980e-05
7.096774193548387455e-01,1.499800457704815048e-04,9.854654171765192528e-05,1.741121982971302108e-04,8.131443708751363126e-05
7.419354838709677491e-01,3.073471194961358835e-04,1.720247123325269808e-04,1.826437667854422355e-04,8.548039608748983465e-05
7.741935483870967527e-01,6.075637329244940824e-04,2.820196456133893534e-04,1.973288231862321026e-04,9.286503303472113042e-05
8.064516129032257563e-01,1.438951477437150090e-03,4.888929731437252103e-04,2.274984118302480411e-04,1.023981267844665155e-04
8.387096774193547599e-01,4.912387754354100716e-03,1.231064310038542612e-03,2.917005472704754538e-04,1.204755093501895091e-04
8.709677419354837635e-01,4.316763830092606308e-02,1.314803091239352510e-02,6.193363446539578874e-04,2.242514945667602579e-04
9.032258064516127671e-01,4.560488347508104973e-02,7.045136838556490325e-03,6.443941438336197214e-05,3.239983487606919676e-05
9.354838709677417707e-01,7.076074311499450271e-03,1.173621138478969086e-03,6.422053244127584788e-05,3.898842294275785617e-05
9.677419354838712184e-01,2.724737359556948964e-03,5.777799452645151525e-04,9.833626538576490631e-05,5.185198203107193492e-05
1.000000000000000000e+00,1.509942662806572225e-03,4.139280989908078858e-04,1.149741105313498477e-04,6.056195473900224458e-05
1.032258064516128782e+00,9.346115244292463537e-04,3.170932842486333197e-04,1.259918470975648843e-04,6.316568753669471394e-05
