Freq_x, PSD_x, Freq_y, PSD_y, Freq_z, PSD_z
3.225806451612903136e-02,8.374817623396521799e-05,3.225806451612903136e-02,1.539288385597723549e-04,3.225806451612903136e-02,2.394836117386322654e-08
6.451612903225806273e-02,8.038428911871947928e-05,6.451612903225806273e-02,1.427732542710708700e-04,6.451612903225806273e-02,1.074217535847257277e-07
9.677419354838709409e-02,8.253048916768588802e-05,9.677419354838709409e-02,1.291577431896171304e-04,9.677419354838709409e-02,3.750196387587444163e-07
1.290322580645161255e-01,8.516062239026927778e-05,1.290322580645161255e-01,1.186688722602687165e-04,1.290322580645161255e-01,1.151736303343517413e-07
1.612903225806451568e-01,8.093176165492978798e-05,1.612903225806451568e-01,1.168899874919489414e-04,1.612903225806451568e-01,1.617819746235455514e-07
1.935483870967741882e-01,6.942813997627669050e-05,1.935483870967741882e-01,1.088597745645958754e-04,1.935483870967741882e-01,1.206760664139671459e-07
2.258064516129032195e-01,6.772303942087837454e-05,2.258064516129032195e-01,1.112270598426485884e-04,2.258064516129032195e-01,1.841541049368969515e-07
2.580645161290322509e-01,5.467801011130367459e-05,2.580645161290322509e-01,1.110612458354510215e-04,2.580645161290322509e-01,7.503778919724518445e-07
2.903225806451612545e-01,4.301415246612208277e-05,2.903225806451612545e-01,1.107935071143630832e-04,2.903225806451612545e-01,3.188114341336734403e-07
3.225806451612903136e-01,3.829375872206846991e-05,3.225806451612903136e-01,1.090343569718781503e-04,3.225806451612903136e-01,3.256672911419941124e-07
3.548387096774193727e-01,3.649920835958640411e-05,3.548387096774193727e-01,1.092354645016385759e-04,3.548387096774193727e-01,6.170264951996257386e-08
3.870967741935483764e-01,2.857651095707376953e-05,3.870967741935483764e-01,1.088845886573393002e-04,3.870967741935483764e-01,2.099970837848395342e-07
4.193548387096773800e-01,2.858241858345871185e-05,4.193548387096773800e-01,1.050671318977591286e-04,4.193548387096773800e-01,2.119946203520769585e-07
4.516129032258064391e-01,2.995104146364120754e-05,4.516129032258064391e-01,1.061290969983109267e-04,4.516129032258064391e-01,4.449339486592070331e-08
4.838709677419354982e-01,3.136250992510940987e-05,4.838709677419354982e-01,1.054694128423532560e-04,4.838709677419354982e-01,7.615234631407439420e-08
5.161290322580645018e-01,2.907496284645624116e-05,5.161290322580645018e-01,1.038935647596644793e-04,5.161290322580645018e-01,1.365633505684795475e-07
5.483870967741935054e-01,3.136794745825161789e-05,5.483870967741935054e-01,1.100852286120493763e-04,5.483870967741935054e-01,7.352378587209316287e-08
5.806451612903225090e-01,3.103590321102543166e-05,5.806451612903225090e-01,1.016953518394276093e-04,5.806451612903225090e-01,9.664192135225927840e-09
6.129032258064516236e-01,3.549050143811838433e-05,6.129032258064516236e-01,1.082392806196579141e-04,6.129032258064516236e-01,1.107280632732426090e-08
6.451612903225806273e-01,3.378060517273170210e-05,6.451612903225806273e-01,9.809995275982715261e-05,6.451612903225806273e-01,5.482337531267863845e-09
6.774193548387096309e-01,3.435794147058520407e-05,6.774193548387096309e-01,1.051033377517629860e-04,6.774193548387096309e-01,9.909013739517648819e-08
7.096774193548387455e-01,3.917924327500758646e-05,7.096774193548387455e-01,1.071166178827603194e-04,7.096774193548387455e-01,2.176244112825062128e-07
7.419354838709677491e-01,1.253809481045003408e-04,7.419354838709677491e-01,1.132504630539716873e-04,7.419354838709677491e-01,1.055995517930979176e-07
7.741935483870967527e-01,3.508282805343174247e-04,7.741935483870967527e-01,1.283264197599167983e-04,7.741935483870967527e-01,7.491216415693126856e-09
8.064516129032257563e-01,1.084721007751907702e-03,8.064516129032257563e-01,1.586040845058873017e-04,8.064516129032257563e-01,9.025083711307828596e-07
8.387096774193547599e-01,4.344265024666608098e-03,8.387096774193547599e-01,2.194201825397242044e-04,8.387096774193547599e-01,7.471161685583711120e-07
8.709677419354838745e-01,5.167490052200520573e-02,8.709677419354838745e-01,5.600327150206762606e-04,8.709677419354838745e-01,1.263975050307745503e-06
9.032258064516128782e-01,4.176289542201477162e-02,9.032258064516128782e-01,2.914475149737403510e-05,9.032258064516128782e-01,1.209681898356430848e-06
9.354838709677418818e-01,8.262084877027644353e-03,9.354838709677418818e-01,2.882659273876819533e-05,9.354838709677418818e-01,8.520568093025939307e-07
9.677419354838709964e-01,3.601786631240230709e-03,9.677419354838709964e-01,5.115745708570827060e-05,9.677419354838709964e-01,5.162170541669671942e-07
1.000000000000000000e+00,2.165208994587710430e-03,1.000000000000000000e+00,6.788933929086981374e-05,1.000000000000000000e+00,2.947849659660030204e-07
1.032258064516129004e+00,1.461977667260886240e-03,1.032258064516129004e+00,7.524941128539748721e-05,1.032258064516129004e+00,2.907054739054947676e-07
