Freq_Hz, Mean_PSD_X, Std_PSD_X, Mean_PSD_Y, Std_PSD_Y
3.225806451612902442e-02,1.927300200453662847e-03,1.179178018299108666e-03,1.660576738795559431e-04,1.303587225076278510e-04
6.451612903225804885e-02,1.559249738719282541e-03,9.528568775515558085e-04,1.829895133660796192e-04,1.320905352512270390e-04
9.677419354838709409e-02,1.187544921204477296e-03,7.335080852265901197e-04,2.006542522343416290e-04,1.407880967713972186e-04
1.290322580645160977e-01,9.102414137902743990e-04,5.555582275528441307e-04,2.124468856420003073e-04,1.444160259591441709e-04
1.612903225806451846e-01,7.045075114756026982e-04,4.265533557729027630e-04,2.225938731563767252e-04,1.512854536682633826e-04
1.935483870967741882e-01,5.447023943021109173e-04,3.219343820903528041e-04,2.294861902261518248e-04,1.580105239418631890e-04
2.258064516129031918e-01,4.421445356404803757e-04,2.588891713167741290e-04,2.335526564980837762e-04,1.639614650536511716e-04
2.580645161290321954e-01,3.679998329934645006e-04,2.110456159256236645e-04,2.392945302413002789e-04,1.692192355922456570e-04
2.903225806451611990e-01,3.122136725410379842e-04,1.717473305426166143e-04,2.434119586748885694e-04,1.696106008735153293e-04
3.225806451612903691e-01,2.701842927968446857e-04,1.424475648923094159e-04,2.467587899192247823e-04,1.710297080285763389e-04
3.548387096774193727e-01,2.387130390776472219e-04,1.272099017964257637e-04,2.530850448625160528e-04,1.688364908106261986e-04
3.870967741935483764e-01,2.109334713619253026e-04,1.097915188997707330e-04,2.594373973872770049e-04,1.672205561882102219e-04
4.193548387096773800e-01,1.908679011883822199e-04,1.026628465449153582e-04,2.626443472096959731e-04,1.709280578561903389e-04
4.516129032258063836e-01,1.726284744709038652e-04,9.122365036661429978e-05,2.657914483196004954e-04,1.738260732865559949e-04
4.838709677419356092e-01,1.584116548026872089e-04,8.936666152224168665e-05,2.673033084284153339e-04,1.760783080616926957e-04
5.161290322580643908e-01,1.465802285893080142e-04,8.470617910491194376e-05,2.697879706962358045e-04,1.847636679390230266e-04
5.483870967741936164e-01,1.354170276060839579e-04,8.043188512274097326e-05,2.674171498091646847e-04,1.817278055287519813e-04
5.806451612903223980e-01,1.341652109311255938e-04,8.216559155240743778e-05,2.681990829720491513e-04,1.838771174228308054e-04
6.129032258064517347e-01,1.405983345086728750e-04,7.608022927737931220e-05,2.663966831514331165e-04,1.827334730449277464e-04
6.451612903225807383e-01,1.523629170797047272e-04,7.490283792588387965e-05,2.702957209068669034e-04,1.863917263342933001e-04
6.774193548387097419e-01,1.644572975435854608e-04,7.489221130575056688e-05,2.655624103305162585e-04,1.800862856570398620e-04
7.096774193548387455e-01,1.973040028315739579e-04,1.042192313705099358e-04,2.741766486602214550e-04,1.885110449341153595e-04
7.419354838709677491e-01,2.136763912195441110e-04,1.283057748673252236e-04,2.781461738262766721e-04,1.938156743237471637e-04
