Freq_x, PSD_x, Freq_y, PSD_y, Freq_z, PSD_z
3.225806451612903136e-02,4.411562512160914322e-03,3.225806451612903136e-02,6.816946925608989517e-05,3.225806451612903136e-02,1.739577798457172662e-06
6.451612903225806273e-02,3.581483067604030335e-03,6.451612903225806273e-02,8.874509124025466860e-05,6.451612903225806273e-02,1.298068221136067725e-06
9.677419354838709409e-02,2.731758145871987162e-03,9.677419354838709409e-02,1.117851394346551345e-04,9.677419354838709409e-02,1.169147354529108442e-06
1.290322580645161255e-01,2.076864245630142842e-03,1.290322580645161255e-01,1.259696828201329005e-04,1.290322580645161255e-01,5.919016973469789086e-07
1.612903225806451568e-01,1.578993570546168576e-03,1.612903225806451568e-01,1.399119228252277151e-04,1.612903225806451568e-01,9.637269207252954783e-07
1.935483870967741882e-01,1.198224163941214674e-03,1.935483870967741882e-01,1.522521606182769712e-04,1.935483870967741882e-01,1.297032343836876324e-06
2.258064516129032195e-01,9.558608430128754350e-04,2.258064516129032195e-01,1.692724058398360092e-04,2.258064516129032195e-01,1.119999413790876739e-06
2.580645161290322509e-01,7.600642701904141698e-04,2.580645161290322509e-01,1.672517281280824471e-04,2.580645161290322509e-01,7.344708243019269683e-07
2.903225806451612545e-01,6.062295380351597320e-04,2.903225806451612545e-01,1.648078509457650740e-04,2.903225806451612545e-01,3.526196961913201782e-07
3.225806451612903136e-01,4.850080771514529124e-04,3.225806451612903136e-01,1.687655025402685417e-04,3.225806451612903136e-01,5.031463198598193233e-07
3.548387096774193727e-01,4.124790604201362260e-04,3.548387096774193727e-01,1.612542671184179590e-04,3.548387096774193727e-01,4.800243748664944467e-07
3.870967741935483764e-01,3.541541020734572959e-04,3.870967741935483764e-01,1.564074840879705643e-04,3.870967741935483764e-01,2.158515920491039510e-07
4.193548387096773800e-01,2.925878183934722625e-04,4.193548387096773800e-01,1.610931949865585943e-04,4.193548387096773800e-01,7.518942696692749496e-07
4.516129032258064391e-01,2.457566291987592529e-04,4.516129032258064391e-01,1.647240961631595653e-04,4.516129032258064391e-01,2.529783656250857290e-07
4.838709677419354982e-01,2.065611390308878933e-04,4.838709677419354982e-01,1.641892636312971003e-04,4.838709677419354982e-01,2.003884998355290166e-09
5.161290322580645018e-01,1.717325624771574768e-04,5.161290322580645018e-01,1.674379443591441502e-04,5.161290322580645018e-01,3.702274001217710767e-08
5.483870967741935054e-01,1.471014114992548233e-04,5.483870967741935054e-01,1.698534991713250716e-04,5.483870967741935054e-01,1.300027207951738766e-09
5.806451612903225090e-01,1.487763709812706732e-04,5.806451612903225090e-01,1.552820595316785454e-04,5.806451612903225090e-01,6.521069502889308606e-07
6.129032258064516236e-01,1.715188745773883543e-04,6.129032258064516236e-01,1.572414277037318547e-04,6.129032258064516236e-01,1.340507631340409532e-07
6.451612903225806273e-01,1.885269465876622617e-04,6.451612903225806273e-01,1.569098285256426226e-04,6.451612903225806273e-01,5.398423875745568727e-07
6.774193548387096309e-01,2.157074515268211543e-04,6.774193548387096309e-01,1.521116067480962316e-04,6.774193548387096309e-01,8.985637369258147608e-08
7.096774193548387455e-01,2.155078988018993167e-04,7.096774193548387455e-01,1.614765443638783798e-04,7.096774193548387455e-01,3.328711490609131844e-07
7.419354838709677491e-01,1.970005023128407271e-04,7.419354838709677491e-01,1.765207147027521100e-04,7.419354838709677491e-01,2.985014357770494940e-07
7.741935483870967527e-01,1.642157357130207506e-04,7.741935483870967527e-01,1.832950982903457104e-04,7.741935483870967527e-01,2.359638934310242727e-07
8.064516129032257563e-01,1.608179558798158136e-04,8.064516129032257563e-01,1.870929687842458084e-04,8.064516129032257563e-01,9.612244423221731575e-07
8.387096774193547599e-01,2.658312662746540830e-04,8.387096774193547599e-01,2.019147754950238066e-04,8.387096774193547599e-01,1.143959096668807511e-06
8.709677419354838745e-01,5.045715617718505783e-03,8.709677419354838745e-01,1.953458041675364425e-04,8.709677419354838745e-01,1.329234996850555350e-06
9.032258064516128782e-01,1.073259555923811371e-04,9.032258064516128782e-01,2.137738084539419765e-04,9.032258064516128782e-01,1.341730743147247817e-06
9.354838709677418818e-01,8.420482709413334413e-05,9.354838709677418818e-01,2.253952877691737578e-04,9.354838709677418818e-01,2.763791528261623793e-06
9.677419354838709964e-01,7.752130005024944958e-05,9.677419354838709964e-01,2.417030903655062425e-04,9.677419354838709964e-01,8.630057464318443134e-07
1.000000000000000000e+00,7.458241636731764322e-05,1.000000000000000000e+00,2.874896524993138421e-04,1.000000000000000000e+00,1.950306968402451252e-06
1.032258064516129004e+00,7.964290738956839792e-05,1.032258064516129004e+00,3.500750175950403725e-04,1.032258064516129004e+00,1.743352740978843334e-06
1.064516129032258007e+00,7.170956612399687091e-05,1.064516129032258007e+00,4.057686934133453876e-04,1.064516129032258007e+00,1.721582569192260534e-06
1.096774193548387011e+00,5.882044647087711738e-05,1.096774193548387011e+00,4.948567479388252472e-04,1.096774193548387011e+00,9.937472076285246464e-07
1.129032258064516014e+00,5.986716309592669859e-05,1.129032258064516014e+00,5.443219696717225371e-04,1.129032258064516014e+00,6.431961222956599773e-07
1.161290322580645018e+00,6.658007316866587188e-05,1.161290322580645018e+00,5.993944041419672344e-04,1.161290322580645018e+00,4.910148013038357467e-07
1.193548387096774244e+00,7.821239581742483245e-05,1.193548387096774244e+00,6.145903196840247313e-04,1.193548387096774244e+00,5.217563461768210540e-07
1.225806451612903247e+00,8.819724309114859283e-05,1.225806451612903247e+00,6.229248835320767798e-04,1.225806451612903247e+00,5.119051315672997893e-07
1.258064516129032251e+00,7.839362668069445902e-05,1.258064516129032251e+00,7.188616392639286855e-04,1.258064516129032251e+00,8.307970529495801041e-07
1.290322580645161255e+00,7.565580700270106685e-05,1.290322580645161255e+00,8.019803041946342061e-04,1.290322580645161255e+00,4.110651511172715267e-07
1.322580645161290258e+00,7.044459385824997479e-05,1.322580645161290258e+00,8.617753533154037977e-04,1.322580645161290258e+00,3.973987957410266892e-07
1.354838709677419262e+00,6.539346761517065415e-05,1.354838709677419262e+00,9.960404776971098530e-04,1.354838709677419262e+00,3.889531967829250983e-07
1.387096774193548265e+00,5.738803996346484269e-05,1.387096774193548265e+00,1.186229821121592394e-03,1.387096774193548265e+00,1.514830456313562418e-07
1.419354838709677491e+00,5.374503136668050125e-05,1.419354838709677491e+00,1.250481779991883917e-03,1.419354838709677491e+00,6.900918136665598653e-08
1.451612903225806495e+00,5.219999810703569395e-05,1.451612903225806495e+00,1.428302609122493114e-03,1.451612903225806495e+00,3.957795385535625332e-07
1.483870967741935498e+00,5.053704557923735242e-05,1.483870967741935498e+00,1.729700459499608533e-03,1.483870967741935498e+00,2.838694049416459670e-07
1.516129032258064502e+00,4.508044701148538540e-05,1.516129032258064502e+00,2.079748873484781220e-03,1.516129032258064502e+00,6.137449222256028341e-07
1.548387096774193505e+00,4.129580389755005334e-05,1.548387096774193505e+00,2.562908569522533760e-03,1.548387096774193505e+00,3.412161217021914698e-07
1.580645161290322509e+00,3.879617957189371058e-05,1.580645161290322509e+00,4.109515518999057489e-03,1.580645161290322509e+00,4.236662947139326627e-07
1.612903225806451513e+00,3.330076941189793945e-05,1.612903225806451513e+00,6.127644082907493170e-03,1.612903225806451513e+00,1.297985342698443551e-06
1.645161290322580516e+00,3.251861272352174384e-05,1.645161290322580516e+00,1.095941373505560437e-02,1.645161290322580516e+00,1.466494934382757357e-06
1.677419354838709520e+00,2.611068341878575470e-05,1.677419354838709520e+00,2.574804178743476252e-02,1.677419354838709520e+00,7.782336119409460234e-06
1.709677419354838745e+00,1.848563572284456498e-05,1.709677419354838745e+00,8.058060264756507218e-02,1.709677419354838745e+00,2.976346468156809550e-05
1.741935483870967749e+00,3.804476578643826050e-06,1.741935483870967749e+00,1.929916827739815988e-01,1.741935483870967749e+00,9.062248485675869275e-05
1.774193548387096753e+00,1.764560938867607782e-05,1.774193548387096753e+00,8.322104942859641363e-03,1.774193548387096753e+00,6.395579901488401795e-06
1.806451612903225756e+00,2.000130558114118521e-05,1.806451612903225756e+00,4.980863646030259106e-03,1.806451612903225756e+00,5.728465750263958268e-06
1.838709677419354760e+00,1.797435656543526662e-05,1.838709677419354760e+00,2.655291029498100305e-03,1.838709677419354760e+00,4.160387736517872972e-06
1.870967741935483764e+00,1.656774533213616426e-05,1.870967741935483764e+00,1.663808153327133018e-03,1.870967741935483764e+00,4.377362262110438184e-06
1.903225806451612767e+00,1.717647858432648888e-05,1.903225806451612767e+00,1.281369921117586153e-03,1.903225806451612767e+00,3.297636767508458266e-06
1.935483870967741993e+00,1.463498036683690645e-05,1.935483870967741993e+00,9.524505862293003227e-04,1.935483870967741993e+00,3.342044969900873650e-06
1.967741935483870996e+00,1.525789525338074268e-05,1.967741935483870996e+00,6.321041601118061693e-04,1.967741935483870996e+00,2.888884411958249516e-06
2.000000000000000000e+00,1.270099541123926691e-05,2.000000000000000000e+00,4.611526888699228480e-04,2.000000000000000000e+00,2.863185559069601321e-06
