Freq_Hz, Mean_PSD_X, Std_PSD_X, Mean_PSD_Y, Std_PSD_Y
3.225806451612903136e-02,1.011105223400136487e-03,1.795111174397992851e-03,1.173560314959904002e-03,1.244969259198885946e-03
6.451612903225806273e-02,3.735748068623827864e-04,4.817609421119783508e-04,1.002754219388145903e-03,1.310109530438869534e-03
9.677419354838709409e-02,2.179609548376563229e-04,2.008135505720164615e-04,8.731127000823785686e-04,1.343265596062832076e-03
1.290322580645161255e-01,1.423391214890065248e-04,1.991819582555903994e-04,8.366639480081965435e-04,1.297003557333610384e-03
1.612903225806451568e-01,1.289541759832214568e-04,2.319499790330730479e-04,7.792798079134582653e-04,1.244245972769273930e-03
1.935483870967741882e-01,1.606057049604351316e-04,2.337537084138960493e-04,7.727488200957857364e-04,1.229251576998215915e-03
2.258064516129031918e-01,1.757622901297265742e-04,2.196520339553801238e-04,7.304500325755612818e-04,1.221121624490356054e-03
2.580645161290322509e-01,1.713862959854352329e-04,2.006753374502095522e-04,6.958821342133954865e-04,1.148399373204215396e-03
2.903225806451612545e-01,1.255135962071288083e-04,1.694733550664033711e-04,6.678205682523836919e-04,1.062078122363984550e-03
3.225806451612903136e-01,1.194118620661967060e-04,1.514411181395981635e-04,6.539783920938206738e-04,1.052742504097284272e-03
3.548387096774193727e-01,1.348813125701528101e-04,1.533252028339114235e-04,6.574124571568741105e-04,1.073513811847266177e-03
3.870967741935483764e-01,9.410419855287426168e-05,1.181173905242237116e-04,6.459514487877998602e-04,1.067631042528712848e-03
4.193548387096773800e-01,6.977925760580049844e-05,1.015287820181407896e-04,6.395577081802475330e-04,1.035508473499747095e-03
4.516129032258063836e-01,6.714321332479109060e-05,9.020613608917410606e-05,6.144035362221756226e-04,1.018757472622675931e-03
4.838709677419354982e-01,8.734029410482407267e-05,8.893590259705935080e-05,5.944767707452726499e-04,9.991280483671767521e-04
5.161290322580645018e-01,5.413569376627444584e-05,7.464526789301496911e-05,6.094544082730129955e-04,9.980935143275406537e-04
5.483870967741935054e-01,5.681335146409593817e-05,7.108304487424269209e-05,6.571008587781172836e-04,1.022121043735132670e-03
5.806451612903225090e-01,6.651422799273114695e-05,6.652410497877198818e-05,6.034183367807587593e-04,9.812992647630269707e-04
6.129032258064516236e-01,5.776914794764353170e-05,7.147192916011150252e-05,6.164576354520436832e-04,1.021635213680153120e-03
6.451612903225806273e-01,7.229567149901948658e-05,6.618996288033935770e-05,6.650250363447311221e-04,1.067337922210531264e-03
6.774193548387096309e-01,7.157073978313147631e-05,6.135367289249132698e-05,7.093083213622771409e-04,1.139510128058597842e-03
7.096774193548387455e-01,6.486356739647750470e-05,6.259218630035078348e-05,7.307692245873945083e-04,1.203356006595181910e-03
7.419354838709677491e-01,7.251782898264313429e-05,9.354249666223689742e-05,8.000663427146330331e-04,1.330177125724167717e-03
7.741935483870967527e-01,1.299105586764026741e-04,1.311110691780782765e-04,9.295630286078094846e-04,1.456808160278673554e-03
8.064516129032257563e-01,1.338223902713781422e-04,1.576045204031666764e-04,1.064527857665204056e-03,1.742010650527402778e-03
8.387096774193547599e-01,1.351982664965138508e-04,2.298064424542978516e-04,1.415772563883321801e-03,2.259094743619005901e-03
8.709677419354837635e-01,5.244368038042043810e-04,7.542779067285414543e-04,5.411560889832465679e-03,5.867714910741573739e-03
9.032258064516127671e-01,1.137347281439979969e-04,1.335284735016129996e-04,4.449335316498729469e-04,6.613973306345665836e-04
9.354838709677417707e-01,8.950115901571408482e-05,1.012507279704700727e-04,3.454692182137733265e-04,4.533289851007809711e-04
9.677419354838709964e-01,1.139721927117588220e-04,1.352526870284612604e-04,4.521073127606017460e-04,6.528125849453449928e-04
1.000000000000000000e+00,2.120853023824636184e-04,2.544195614278272743e-04,5.171573499256741256e-04,7.697277710948923629e-04
1.032258064516129004e+00,1.751746058996619048e-04,1.932273962895557752e-04,5.296883596865701888e-04,7.754501988825530153e-04
1.064516129032258007e+00,2.384319580689995362e-04,2.416752707929894649e-04,5.104860194884621588e-04,7.489694506600097891e-04
1.096774193548387011e+00,2.216091560132281597e-04,2.107398084258067827e-04,5.579985253588453818e-04,7.248579300852281025e-04
1.129032258064516014e+00,1.235208004816553903e-04,1.153298876005520783e-04,5.765500170334212238e-04,7.604888159258405911e-04
1.161290322580645018e+00,1.797422466337671892e-04,1.613998273860041963e-04,5.273993493094573460e-04,8.329443527513207338e-04
1.193548387096774244e+00,1.228495796416186818e-04,1.105760225024163051e-04,5.743708941463486961e-04,8.690855488489103485e-04
1.225806451612903247e+00,9.330039016810069978e-05,1.145013433835343419e-04,5.757435873651642983e-04,8.719656868936366328e-04
1.258064516129032251e+00,1.054299326550696528e-04,1.015121748537698500e-04,5.619443097419040941e-04,8.850510490726681096e-04
1.290322580645161255e+00,1.079667832126911703e-04,9.670663797936451963e-05,5.732506688265996556e-04,9.032138430204165363e-04
1.322580645161290258e+00,8.796636723534042180e-05,9.800978704150551139e-05,5.542683116035926599e-04,8.663409552636085068e-04
1.354838709677419262e+00,1.020975472202212392e-04,9.255198948478704989e-05,5.272690700431204155e-04,8.282943118999362524e-04
1.387096774193548265e+00,1.068979067945776621e-04,7.917033692968208718e-05,5.084078848604748225e-04,7.877363394505275092e-04
1.419354838709677491e+00,8.896706803280729687e-05,8.962852549590666644e-05,5.107586083584793064e-04,7.859958090349229839e-04
1.451612903225806495e+00,8.935259819873687742e-05,8.593186936158608478e-05,5.056061095259773959e-04,7.762961430044898643e-04
1.483870967741935498e+00,9.082680457305943587e-05,8.065218018407961111e-05,5.024195551436770558e-04,7.525981259660587033e-04
