Freq_x, PSD_x, Freq_y, PSD_y, Freq_z, PSD_z
3.225806451612903136e-02,1.757173646666205681e-05,3.225806451612903136e-02,4.502686355735113343e-04,3.225806451612903136e-02,1.858962032752997824e-03
6.451612903225806273e-02,1.901009955707441638e-05,6.451612903225806273e-02,4.353416677467531327e-04,6.451612903225806273e-02,1.775225379036587774e-03
9.677419354838709409e-02,8.085352151310102451e-06,9.677419354838709409e-02,3.632980869964259766e-04,9.677419354838709409e-02,1.724360277123885340e-03
1.290322580645161255e-01,4.805597015797490906e-06,1.290322580645161255e-01,2.860328319253672741e-04,1.290322580645161255e-01,1.708114742695201289e-03
1.612903225806451568e-01,4.417319257452800007e-06,1.612903225806451568e-01,2.370244399164193590e-04,1.612903225806451568e-01,1.690342421593057183e-03
1.935483870967741882e-01,3.288176493255783076e-06,1.935483870967741882e-01,2.552375653679587846e-04,1.935483870967741882e-01,1.676491105544025565e-03
2.258064516129032195e-01,3.984309517838585298e-06,2.258064516129032195e-01,2.749842916481025682e-04,2.258064516129032195e-01,1.637310182903320204e-03
2.580645161290322509e-01,4.828869242171550077e-06,2.580645161290322509e-01,2.564592452503951930e-04,2.580645161290322509e-01,1.614820969635495694e-03
2.903225806451612545e-01,8.114928857007265824e-06,2.903225806451612545e-01,2.508842823140748331e-04,2.903225806451612545e-01,1.630335100501381857e-03
3.225806451612903136e-01,1.151812339012255066e-05,3.225806451612903136e-01,2.573477846068434184e-04,3.225806451612903136e-01,1.616924081769027582e-03
3.548387096774193727e-01,1.442501207788886159e-05,3.548387096774193727e-01,2.666164786925984283e-04,3.548387096774193727e-01,1.586831047567236310e-03
3.870967741935483764e-01,1.671972750728277276e-05,3.870967741935483764e-01,2.587205832877606916e-04,3.870967741935483764e-01,1.575660263336602735e-03
4.193548387096773800e-01,2.406671058151365990e-05,4.193548387096773800e-01,2.559258989744327638e-04,4.193548387096773800e-01,1.625739575881029889e-03
4.516129032258064391e-01,2.399489946618212647e-05,4.516129032258064391e-01,2.327678359662855234e-04,4.516129032258064391e-01,1.603426465935278884e-03
4.838709677419354982e-01,2.934024165648669520e-05,4.838709677419354982e-01,2.149040922217198180e-04,4.838709677419354982e-01,1.652620654842731299e-03
5.161290322580645018e-01,3.687660011827456326e-05,5.161290322580645018e-01,2.182356924217622072e-04,5.161290322580645018e-01,1.632992510787951643e-03
5.483870967741935054e-01,4.656832829097736176e-05,5.483870967741935054e-01,2.204663406829987927e-04,5.483870967741935054e-01,1.638988657216803192e-03
5.806451612903225090e-01,4.444045966915250161e-05,5.806451612903225090e-01,2.331976852311161625e-04,5.806451612903225090e-01,1.633660659799093936e-03
