Freq_Hz, Mean_PSD_X, Std_PSD_X, Mean_PSD_Y, Std_PSD_Y
3.225806451612903136e-02,7.607364506344351245e-05,4.691054047861833206e-05,4.838621770753139217e-05,3.166233194249207120e-05
6.451612903225806273e-02,5.717979656790901465e-05,3.247554796202003433e-05,4.150673010458915730e-05,3.020048891326927078e-05
9.677419354838709409e-02,4.391816313871589681e-05,2.395977523966493546e-05,4.013050192058628055e-05,3.045550654158800090e-05
1.290322580645161255e-01,3.605905536132561240e-05,1.852395883016326556e-05,3.955116741510565816e-05,3.508704872607114951e-05
1.612903225806451568e-01,3.199689915766777920e-05,1.931026177031696357e-05,3.479460376257463691e-05,3.059037291712617839e-05
1.935483870967741882e-01,2.898412647992185142e-05,1.756869538318597530e-05,3.789719600033481791e-05,3.371911807636221876e-05
2.258064516129031918e-01,2.714913801415860762e-05,1.455925518839545190e-05,3.863511228298640112e-05,3.514320519563901644e-05
2.580645161290322509e-01,2.145618480807592933e-05,1.097834540969322221e-05,3.826591108735643139e-05,3.450811773683916059e-05
2.903225806451612545e-01,2.080593382316145518e-05,1.065454086175306915e-05,3.802132830310892881e-05,3.301572760516991627e-05
3.225806451612903136e-01,1.898781898721022264e-05,8.607995477462479993e-06,4.192225078752069697e-05,3.828929306057616465e-05
3.548387096774193727e-01,1.941810724547358245e-05,8.137678274289071798e-06,4.210549593452664460e-05,3.822466536931292210e-05
3.870967741935483764e-01,2.222595051827866766e-05,1.330037791377918856e-05,4.178175403205429612e-05,3.906680632019515060e-05
4.193548387096773800e-01,2.383312872436273269e-05,1.730776352441880861e-05,4.399017018819719106e-05,4.280802458118826160e-05
4.516129032258063836e-01,2.541139982623661392e-05,1.847166028315024472e-05,4.528148335357088847e-05,4.457727911141226302e-05
4.838709677419354982e-01,2.885028847885741637e-05,2.334279589619548068e-05,4.494983821261386726e-05,4.444269366127561469e-05
5.161290322580645018e-01,3.033597287405816599e-05,2.571077294138895622e-05,4.700279288284913380e-05,4.499999633099131601e-05
5.483870967741935054e-01,2.912235182586831136e-05,2.094904433258421638e-05,5.063111557647169593e-05,4.923830342713673384e-05
5.806451612903225090e-01,2.930092764423270369e-05,1.653402975363572051e-05,5.172208942163310664e-05,4.881951366055353931e-05
6.129032258064516236e-01,3.213157846555673368e-05,1.875035047037117766e-05,5.285800136031529713e-05,5.195015834352282561e-05
6.451612903225806273e-01,3.136523518063270833e-05,1.781031241476864333e-05,5.725560423705152704e-05,5.627259638079939216e-05
6.774193548387096309e-01,3.318097461439501811e-05,1.928109375642603782e-05,5.853378026667749887e-05,5.886067251381925294e-05
7.096774193548387455e-01,3.827505827999790186e-05,3.031190312172402348e-05,6.148711241335147080e-05,6.238059101247856299e-05
7.419354838709677491e-01,4.246901962257171136e-05,3.702625266390065331e-05,6.518782225266425614e-05,6.655918756974219289e-05
7.741935483870967527e-01,4.348899919961606063e-05,3.532221058925961787e-05,7.278225771368072698e-05,7.288376749296944642e-05
8.064516129032257563e-01,4.299238549761803720e-05,3.632021643670018443e-05,8.238658672033563938e-05,8.352624714190881193e-05
8.387096774193547599e-01,4.015164732061340090e-05,3.370422872163742221e-05,1.091574190956701943e-04,1.067410053368848105e-04
8.709677419354837635e-01,3.348159662718100957e-05,2.141600043898191926e-05,2.884019181250799561e-04,1.380607776006380577e-04
9.032258064516127671e-01,4.092065578340806705e-05,3.142236041000850359e-05,8.030088905096277282e-05,7.616868475722196011e-05
9.354838709677417707e-01,4.112516600567250939e-05,3.881345244256550499e-05,9.278540833767609096e-05,6.702567926173895430e-05
9.677419354838709964e-01,4.442579708055839920e-05,4.814627126108451353e-05,1.243447257955137511e-04,9.178363970388850584e-05
1.000000000000000000e+00,4.552050199501746534e-05,5.142938719716526558e-05,1.677716168385227414e-04,1.182847962101212934e-04
1.032258064516129004e+00,5.512953139942501288e-05,5.844376778931248417e-05,2.289159073110945007e-04,1.517011402929918130e-04
1.064516129032258007e+00,7.282252944019342966e-05,5.467331283271688086e-05,3.100987746836123687e-04,2.021857069747472885e-04
1.096774193548387011e+00,9.418289162127160699e-05,5.026590124550089748e-05,3.927645245974697758e-04,2.411950133904370718e-04
1.129032258064516014e+00,1.006209955915748753e-04,4.476975772127385231e-05,3.991501736421705464e-04,2.261980441996914786e-04
1.161290322580645018e+00,8.676228722016639965e-05,3.768524596044046677e-05,2.998431455067380015e-04,1.628862828278306799e-04
1.193548387096774244e+00,7.529474437682046506e-05,3.359413377373310908e-05,2.220433572329406045e-04,1.251009238668399147e-04
1.225806451612903247e+00,8.064115731752337715e-05,3.596584224921442881e-05,1.724872093337548426e-04,1.009887450012444412e-04
1.258064516129032251e+00,8.935307583291539661e-05,4.705533179013443877e-05,1.387069406556579361e-04,8.297937627396213562e-05
1.290322580645161255e+00,8.909572886057404086e-05,4.972337538313684495e-05,1.196152672538566310e-04,7.667487352332101006e-05
1.322580645161290258e+00,1.020698931091970862e-04,5.167875068139779623e-05,1.079545817108319461e-04,7.395066268491748797e-05
1.354838709677419262e+00,1.190426903694279147e-04,5.915901869117550004e-05,1.004582534304887455e-04,6.998045107282525466e-05
1.387096774193548265e+00,1.330364942824984809e-04,6.615060071832662620e-05,9.259601594499847416e-05,6.690849589086982064e-05
1.419354838709677491e+00,1.382039821972176738e-04,7.099623066978558226e-05,9.094656875996691859e-05,7.190124082863512541e-05
1.451612903225806495e+00,1.653725583202162873e-04,8.727165300032057628e-05,8.781455528062090551e-05,6.815335629345473740e-05
1.483870967741935498e+00,1.924993184710211758e-04,9.618219003823633585e-05,8.552282724666624098e-05,6.537863224633952105e-05
1.516129032258064502e+00,2.293469258446947565e-04,1.143071884780905178e-04,8.675806940357435736e-05,6.801749795004844617e-05
1.548387096774193505e+00,2.780751053968422105e-04,1.334703135363484220e-04,8.712947015399434840e-05,6.750193196437398989e-05
1.580645161290322509e+00,4.359229549801524567e-04,1.964615009932241349e-04,8.117622995079223675e-05,5.978196988270182967e-05
1.612903225806451513e+00,5.943648856879653547e-04,2.534272022250931957e-04,8.286145626226511642e-05,6.531731136366636121e-05
1.645161290322580516e+00,1.056607223897147989e-03,4.330852383046180547e-04,7.954287525712347017e-05,6.405744221170896918e-05
1.677419354838709520e+00,2.429957594934454516e-03,9.806248614739813789e-04,7.941880377195852743e-05,6.431166325500635168e-05
1.709677419354838745e+00,7.523504274382029552e-03,2.962419213103565166e-03,7.751047300513829374e-05,6.274299235183166562e-05
1.741935483870967527e+00,2.298939738136800831e-02,7.669438661382336694e-03,7.824517073857287762e-05,6.946096639359714713e-05
1.774193548387096753e+00,1.040981907321577747e-03,1.583657289555869929e-04,7.890009989580884921e-05,6.982322785181799198e-05
1.806451612903225534e+00,5.193107436331828499e-04,1.723244685137245735e-04,8.461403943440341520e-05,7.467778320892064117e-05
1.838709677419354760e+00,2.886134217212335193e-04,1.209453659371498329e-04,8.561796547662684561e-05,7.634897169731039146e-05
1.870967741935483541e+00,1.757792933944492372e-04,8.631953973419184060e-05,8.668352553906320541e-05,7.637874865995070367e-05
1.903225806451612767e+00,1.323380420534898060e-04,7.131851586949010749e-05,8.735481765207961955e-05,7.637689319361070977e-05
1.935483870967741993e+00,1.229482896942019792e-04,6.664307841931899046e-05,8.501326885198972358e-05,7.715320798598207270e-05
1.967741935483871218e+00,9.445254584691288591e-05,5.401174342592792311e-05,8.808414116467069746e-05,8.126751823015589745e-05
2.000000000000000000e+00,7.903865780864640516e-05,4.723559471742771343e-05,8.475715128091769923e-05,7.842518950192308715e-05
2.032258064516129004e+00,6.362624907050318528e-05,3.801934288929518716e-05,8.767534376837103193e-05,8.324748462720697403e-05
2.064516129032258007e+00,5.479713580376344140e-05,3.286408882987284223e-05,8.990990965672793656e-05,8.411922135746450222e-05
2.096774193548387011e+00,3.799648493982015239e-05,2.399089966935482855e-05,9.199890730590505800e-05,8.720979777585012615e-05
2.129032258064516014e+00,3.425653699601052322e-05,2.209458951683979235e-05,9.164448742053659573e-05,8.592805179362614514e-05
2.161290322580645018e+00,2.987720293043077919e-05,1.542170144786105890e-05,9.449161337202121127e-05,8.768869708864592612e-05
2.193548387096774022e+00,2.947150362674902450e-05,1.297329628484312857e-05,9.525099311623432062e-05,9.071939252178423761e-05
2.225806451612903025e+00,3.569023497575329055e-05,1.460045019523747254e-05,9.248205165831696042e-05,8.619206265244959810e-05
2.258064516129032029e+00,4.174866254406012944e-05,1.873653973925582379e-05,9.268478973786469888e-05,8.854702568591071897e-05
2.290322580645161032e+00,5.309725320648850817e-05,2.717370615002304019e-05,9.920628161821352941e-05,9.502130840072337231e-05
2.322580645161290036e+00,6.236692391075908859e-05,3.760972652683217680e-05,1.022535944177101745e-04,1.033312824310693532e-04
2.354838709677419484e+00,5.549551509451949031e-05,4.030102070489375844e-05,9.727470371923699409e-05,9.771557145686607577e-05
2.387096774193548487e+00,5.383211965270578905e-05,4.118270133518050260e-05,1.079728877701579940e-04,1.077142888174937305e-04
2.419354838709677491e+00,4.808354873797088160e-05,3.671939791096581973e-05,1.071165651951735498e-04,1.077531572398515610e-04
2.451612903225806495e+00,3.872336954522164826e-05,2.846587773915929163e-05,1.044015229459860128e-04,1.048079841274090422e-04
2.483870967741935498e+00,4.094193616100409066e-05,2.949342598119779202e-05,1.073207464986473844e-04,1.065473064292361198e-04
2.516129032258064502e+00,5.506970490396511812e-05,3.714930707172666802e-05,1.106188678834489218e-04,1.097117485956052572e-04
2.548387096774193505e+00,6.772488474918666470e-05,4.512851399803843936e-05,1.130583687032460355e-04,1.131128080894454536e-04
2.580645161290322509e+00,7.604688632700130479e-05,5.098742489596236593e-05,1.180398649524126307e-04,1.170340267376012599e-04
2.612903225806451513e+00,8.574400668449181132e-05,6.171168878320685430e-05,1.217041082863659841e-04,1.239520184765972410e-04
2.645161290322580516e+00,8.460985220159094103e-05,5.636625820526307415e-05,1.234274277937284835e-04,1.275821980468472587e-04
2.677419354838709520e+00,7.432225195976594205e-05,4.958813985249572748e-05,1.193058516563194388e-04,1.229427011674163810e-04
2.709677419354838523e+00,5.951578245231633351e-05,3.922804483770095981e-05,1.249841451665142478e-04,1.282274889572149852e-04
2.741935483870967527e+00,5.771882520148737493e-05,3.889888437612743741e-05,1.287619879257945795e-04,1.303530246926349982e-04
2.774193548387096531e+00,5.888212426693861378e-05,3.806743690025772542e-05,1.292363739411350493e-04,1.320339981009180646e-04
2.806451612903225534e+00,6.835134212078921461e-05,4.729153772571456020e-05,1.303268188608947800e-04,1.309732705072169895e-04
2.838709677419354982e+00,8.519597005982371455e-05,6.121944335935188778e-05,1.481528593942510756e-04,1.504900586691059817e-04
2.870967741935483986e+00,1.018193762790705465e-04,6.597241419832644614e-05,1.476055444492563025e-04,1.498265980715774630e-04
2.903225806451612989e+00,9.786645988997915422e-05,5.831167957716019528e-05,1.461375308932811191e-04,1.513583595123630862e-04
2.935483870967741993e+00,9.170948265372568756e-05,5.298847372182672786e-05,1.454267149313318681e-04,1.529136813629067065e-04
2.967741935483870996e+00,8.596961404756396554e-05,4.789447447239712801e-05,1.384342817281700589e-04,1.457960054398290458e-04
3.000000000000000000e+00,7.363124725212595947e-05,3.750750420732056739e-05,9.979253076925087985e-05,1.025072605342108769e-04
3.032258064516129004e+00,6.809356955375950196e-05,3.778700344734253882e-05,8.076574048657294115e-05,7.217866368522378874e-05
3.064516129032258007e+00,8.232302091350834276e-05,5.591840251956773500e-05,1.149214111003697084e-04,9.881633887173539783e-05
3.096774193548387011e+00,9.261509331461804310e-05,6.161016524408541122e-05,1.391446724713567653e-04,1.213858053700584349e-04
3.129032258064516014e+00,1.084095528287744423e-04,6.912918702949202691e-05,1.573416222505666351e-04,1.414267414241210700e-04
3.161290322580645018e+00,1.203116785328577022e-04,7.743089202918624378e-05,1.691840631203845821e-04,1.555969704099115041e-04
3.193548387096774022e+00,1.283712453540007421e-04,7.282202889462714409e-05,1.771265596500652478e-04,1.591464635537530650e-04
3.225806451612903025e+00,1.225286965673547709e-04,5.910492463202817159e-05,1.789098965881266224e-04,1.623970777727480098e-04
3.258064516129032029e+00,1.137293998948459646e-04,5.557333714641947718e-05,1.885201431132253898e-04,1.748659835853945421e-04
3.290322580645161032e+00,1.112012240873493519e-04,5.561855036936790665e-05,1.919085316086627095e-04,1.785070620827979178e-04
3.322580645161289592e+00,1.082895692244247092e-04,5.238458313613456610e-05,1.927156629801888828e-04,1.723827680339831768e-04
3.354838709677419040e+00,1.189396328133126635e-04,6.477893296624566357e-05,1.895453087950137313e-04,1.717588513509643534e-04
3.387096774193548931e+00,1.347398289521120163e-04,8.696548947466306329e-05,2.027053744862424901e-04,1.821204898338205569e-04
3.419354838709677491e+00,1.468495296421695891e-04,8.817516296884927356e-05,2.008006747999985958e-04,1.709368976272763324e-04
3.451612903225806495e+00,1.469922299953628205e-04,7.753553786934740458e-05,2.099589334265844509e-04,1.805598713682035074e-04
3.483870967741935054e+00,1.565203323702743141e-04,8.156774770992579449e-05,2.186076155083287154e-04,1.897623625986324112e-04
3.516129032258064946e+00,1.464660129043818173e-04,7.050330860237190018e-05,2.381034962338992212e-04,2.001146765810376572e-04
3.548387096774193505e+00,1.440888010014914602e-04,6.434809881372429406e-05,2.332790417436213638e-04,1.962271657187969378e-04
3.580645161290322509e+00,1.426559815914878562e-04,5.881787301386956572e-05,2.329461850971359035e-04,2.005962903148568596e-04
3.612903225806451069e+00,1.532008198561462804e-04,7.358952661765531572e-05,2.419076693489195795e-04,2.055521113835453312e-04
3.645161290322580960e+00,1.617196254915663392e-04,8.340872216387535591e-05,2.445933596623513142e-04,1.999138957539052085e-04
3.677419354838709520e+00,1.780187750770666579e-04,9.353724644043816109e-05,2.489053078908155477e-04,2.104402741385060828e-04
3.709677419354838523e+00,1.947775816077335271e-04,1.022089250430130902e-04,2.688272902002378294e-04,2.260663156737551481e-04
3.741935483870967083e+00,2.040675844095254346e-04,1.114329686877756770e-04,2.868131238682906448e-04,2.345256872307225466e-04
3.774193548387096975e+00,2.126117173222244884e-04,1.076016768692959253e-04,2.948579006766826357e-04,2.372327648527081405e-04
3.806451612903225534e+00,2.227080825605052899e-04,1.082464542097875862e-04,3.138885974262715537e-04,2.564506404916144702e-04
3.838709677419354538e+00,2.255413645690907917e-04,1.120165660045895848e-04,3.288271504425891736e-04,2.618121103087202133e-04
3.870967741935483986e+00,2.266014413555160934e-04,9.865865740440508632e-05,3.307476096976910392e-04,2.569964478427591375e-04
