Freq_x, PSD_x, Freq_y, PSD_y, Freq_z, PSD_z
3.225806451612903136e-02,8.426618391296522939e-05,3.225806451612903136e-02,2.240560924293558061e-05,3.225806451612903136e-02,1.163027517303731660e-04
6.451612903225806273e-02,7.154004612087073620e-05,6.451612903225806273e-02,1.462577283940844273e-05,6.451612903225806273e-02,1.150170322823941652e-04
9.677419354838709409e-02,5.734783194770535228e-05,9.677419354838709409e-02,1.301843073272454588e-05,9.677419354838709409e-02,1.091460915071308402e-04
1.290322580645161255e-01,5.235451762954236560e-05,1.290322580645161255e-01,8.617420126320763987e-06,1.290322580645161255e-01,1.220482070635020946e-04
1.612903225806451568e-01,6.409077849453487317e-05,1.612903225806451568e-01,7.199493036060010588e-06,1.612903225806451568e-01,1.186457723577668947e-04
1.935483870967741882e-01,5.788440099997761159e-05,1.935483870967741882e-01,7.529055751615430152e-06,1.935483870967741882e-01,1.192854464225753596e-04
2.258064516129032195e-01,4.567356268029400875e-05,2.258064516129032195e-01,5.369716456488284846e-06,2.258064516129032195e-01,1.085644896770840369e-04
2.580645161290322509e-01,3.450026693730881685e-05,2.580645161290322509e-01,6.970251350712236034e-06,2.580645161290322509e-01,1.018952445534492001e-04
2.903225806451612545e-01,3.387078783044078354e-05,2.903225806451612545e-01,6.059721860050983626e-06,2.903225806451612545e-01,9.953193731360404466e-05
3.225806451612903136e-01,2.516676931093280437e-05,3.225806451612903136e-01,4.989569697889419459e-06,3.225806451612903136e-01,9.934242846307204087e-05
3.548387096774193727e-01,2.689008972289314207e-05,3.548387096774193727e-01,4.325868533299620589e-06,3.548387096774193727e-01,1.052377614991600028e-04
3.870967741935483764e-01,4.543105115794356932e-05,3.870967741935483764e-01,3.295014298445213424e-06,3.870967741935483764e-01,1.063367940987699150e-04
4.193548387096773800e-01,5.752534698969361297e-05,4.193548387096773800e-01,2.282594858692733349e-06,4.193548387096773800e-01,1.068263727231832602e-04
4.516129032258064391e-01,6.068654909453402330e-05,4.516129032258064391e-01,1.472611664384144745e-06,4.516129032258064391e-01,1.057110738401944482e-04
4.838709677419354982e-01,7.344369287597741255e-05,4.838709677419354982e-01,2.027624687620341681e-06,4.838709677419354982e-01,9.375085518097350953e-05
5.161290322580645018e-01,7.697440822001790041e-05,5.161290322580645018e-01,1.849395417988243744e-06,5.161290322580645018e-01,1.014870808943835033e-04
5.483870967741935054e-01,6.245015089694232104e-05,5.483870967741935054e-01,1.025151756063017195e-06,5.483870967741935054e-01,9.547553600794213605e-05
5.806451612903225090e-01,5.242537561184209909e-05,5.806451612903225090e-01,1.207876866981812036e-06,5.806451612903225090e-01,8.872149760321668111e-05
6.129032258064516236e-01,6.159827210013738648e-05,6.129032258064516236e-01,4.204917018926449881e-07,6.129032258064516236e-01,1.085571716766741898e-04
6.451612903225806273e-01,6.150448136147806119e-05,6.451612903225806273e-01,5.784538529465469756e-07,6.451612903225806273e-01,1.013639676558971407e-04
6.774193548387096309e-01,6.862930135932938729e-05,6.774193548387096309e-01,1.601709255929591830e-06,6.774193548387096309e-01,1.046731638660545474e-04
7.096774193548387455e-01,9.613497488823654225e-05,7.096774193548387455e-01,1.837147642146983913e-06,7.096774193548387455e-01,9.793440353280329731e-05
7.419354838709677491e-01,1.133048606425042829e-04,7.419354838709677491e-01,3.549759932050518536e-06,7.419354838709677491e-01,1.051370301833042404e-04
7.741935483870967527e-01,1.059043107315504022e-04,7.741935483870967527e-01,6.939799246234501967e-06,7.741935483870967527e-01,1.068457774704435591e-04
8.064516129032257563e-01,1.076023935028013926e-04,8.064516129032257563e-01,9.208147247581063705e-06,8.064516129032257563e-01,1.018316281793680010e-04
8.387096774193547599e-01,9.823846545481915453e-05,8.387096774193547599e-01,2.590682782859837755e-05,8.387096774193547599e-01,1.037386943581820918e-04
8.709677419354838745e-01,6.235953683691529794e-05,8.709677419354838745e-01,2.272428222719214276e-04,8.709677419354838745e-01,1.078359077129568418e-04
9.032258064516128782e-01,9.036813043490799109e-05,9.032258064516128782e-01,1.122164919757299313e-05,9.032258064516128782e-01,1.055375815793866215e-04
9.354838709677418818e-01,1.146566247550838701e-04,9.354838709677418818e-01,2.494699515895127876e-05,9.354838709677418818e-01,1.087104366931005252e-04
9.677419354838709964e-01,1.382124989651116302e-04,9.677419354838709964e-01,5.561753063983305832e-05,9.677419354838709964e-01,1.100181710306243174e-04
1.000000000000000000e+00,1.461706491402336094e-04,1.000000000000000000e+00,1.041038010213861322e-04,1.000000000000000000e+00,1.008265516150123479e-04
1.032258064516129004e+00,1.703618119848630320e-04,1.032258064516129004e+00,1.785421214884731029e-04,1.032258064516129004e+00,1.091185504536438692e-04
1.064516129032258007e+00,1.813535351855125077e-04,1.064516129032258007e+00,2.779730193495912548e-04,1.064516129032258007e+00,1.074969152876313605e-04
1.096774193548387011e+00,1.864626804158640372e-04,1.096774193548387011e+00,3.908733241330097355e-04,1.096774193548387011e+00,1.112937693145355715e-04
1.129032258064516014e+00,1.761228038547450487e-04,1.129032258064516014e+00,3.708412525085112883e-04,1.129032258064516014e+00,1.105314754335216560e-04
1.161290322580645018e+00,1.342513054720610569e-04,1.161290322580645018e+00,2.460497263530883822e-04,1.161290322580645018e+00,1.065093097911679173e-04
1.193548387096774244e+00,1.132211997133307176e-04,1.193548387096774244e+00,1.568396600434311596e-04,1.193548387096774244e+00,9.991580995062210974e-05
1.225806451612903247e+00,1.235585564324172985e-04,1.225806451612903247e+00,1.123883586169341988e-04,1.225806451612903247e+00,9.883981482911668949e-05
1.258064516129032251e+00,1.567650209416441242e-04,1.258064516129032251e+00,7.547195261072586650e-05,1.258064516129032251e+00,9.428173668496738304e-05
