Freq_Hz, Mean_PSD_X, Std_PSD_X, Mean_PSD_Y, Std_PSD_Y
3.225806451612902442e-02,2.089600071733783176e-05,1.749845601885436885e-05,1.617119074164388476e-04,2.949308357660410606e-04
6.451612903225804885e-02,2.259084264360918480e-05,1.923048457292195670e-05,1.556122781570029514e-04,2.833325500808697608e-04
9.677419354838709409e-02,2.443485635162310389e-05,2.083982353263016303e-05,1.596719001790099289e-04,2.984084942104593468e-04
1.290322580645160977e-01,2.331629063632592746e-05,2.280766285567489363e-05,1.595719299864038656e-04,3.041724959843209028e-04
1.612903225806451846e-01,2.291972722239558554e-05,2.412403849413028876e-05,1.641342659587726621e-04,3.115562967466502524e-04
1.935483870967741882e-01,1.990168274128041316e-05,2.096663359683507161e-05,1.607560106869114155e-04,2.856865624741930379e-04
2.258064516129031918e-01,1.890307722956572801e-05,1.946618433822225786e-05,1.593730585792688570e-04,2.720930956309297144e-04
2.580645161290321954e-01,1.885966146767930615e-05,1.917618951734869072e-05,1.586989952968501224e-04,2.594765553868236285e-04
2.903225806451611990e-01,1.848338189733598897e-05,1.764131295823252979e-05,1.586596063637629793e-04,2.508582481863188976e-04
3.225806451612903691e-01,1.667948621006569237e-05,1.398093813555977210e-05,1.558309735825685449e-04,2.432611836183702517e-04
3.548387096774193727e-01,1.522101600703165678e-05,1.360428250727041579e-05,1.553703340225778243e-04,2.451724440841175591e-04
3.870967741935483764e-01,1.263412673468966066e-05,1.088983806110779025e-05,1.650613874833462284e-04,2.630069126507829998e-04
4.193548387096773800e-01,1.195707950003604126e-05,9.024714037958265483e-06,1.644409976921067909e-04,2.598751435022368553e-04
4.516129032258063836e-01,1.163504461732702412e-05,8.646789779607516843e-06,1.675627595982609789e-04,2.613785924847360134e-04
4.838709677419356092e-01,1.175739104263817726e-05,8.620535186795199017e-06,1.715122974357185181e-04,2.634823993803029132e-04
5.161290322580643908e-01,1.246418465791544839e-05,8.818835756498003556e-06,1.724390376746862672e-04,2.611485252674810957e-04
5.483870967741936164e-01,1.311721102068439089e-05,8.735081197331388827e-06,1.679439713229702313e-04,2.456739080309159923e-04
5.806451612903223980e-01,1.435284836546569791e-05,9.000438355744039406e-06,1.698255428275611883e-04,2.449979682077059028e-04
6.129032258064517347e-01,1.360007577804199043e-05,9.121717728637616956e-06,1.717636020643299928e-04,2.496716303143323872e-04
6.451612903225807383e-01,1.377939010765422491e-05,9.396020563350990617e-06,1.780501065165421325e-04,2.508794462757037505e-04
6.774193548387097419e-01,1.416231489597118368e-05,1.089402063603226699e-05,1.870116259857678895e-04,2.568236169983292632e-04
7.096774193548387455e-01,1.592903323570110679e-05,1.314510218148111462e-05,2.022747955944355824e-04,2.817815691029846724e-04
7.419354838709677491e-01,1.794215660671914480e-05,1.500323870191108164e-05,2.138213107833506854e-04,2.739777238721902803e-04
7.741935483870967527e-01,2.025513271820511384e-05,1.702185600341724270e-05,2.369747008806983527e-04,2.697940414290361582e-04
8.064516129032257563e-01,2.327676597461429803e-05,2.184280399076706772e-05,2.875231875179761138e-04,2.765565888657089207e-04
8.387096774193547599e-01,3.301463948184258030e-05,3.369400579296585841e-05,4.408069011979057097e-04,3.210923025500145365e-04
8.709677419354837635e-01,1.470976414176141495e-04,1.746460267699000797e-04,2.114180322279011863e-03,1.776376581628337373e-03
9.032258064516127671e-01,1.701448685933067389e-04,2.647086107847957878e-04,1.330442990611678446e-03,1.384871502951089822e-03
9.354838709677417707e-01,1.609707342756154882e-05,1.348982689475454493e-05,1.038052792075702988e-04,1.556411550818049107e-04
9.677419354838712184e-01,1.728273201263208755e-05,1.695744038425221127e-05,1.029082938552990871e-04,1.820251021091341562e-04
1.000000000000000000e+00,2.073354335874395723e-05,2.031777433221456462e-05,1.099260249772016128e-04,1.877932840740249192e-04
1.032258064516128782e+00,2.194451376279075213e-05,2.161147357405064808e-05,1.198901428479932598e-04,1.949997422686629376e-04
1.064516129032258007e+00,2.022557149800328279e-05,2.142934973243489419e-05,1.238774921098260268e-04,1.928078738703041344e-04
1.096774193548387233e+00,1.709384506411067557e-05,1.890306134504472437e-05,1.250674991512316328e-04,1.838630625292828698e-04
1.129032258064516014e+00,1.474617834889310240e-05,1.507282237091327385e-05,1.300642488825681667e-04,1.860711004237940375e-04
1.161290322580644796e+00,1.271517390350602905e-05,1.281837760622779705e-05,1.349001542798191169e-04,1.899401043855719780e-04
1.193548387096774244e+00,1.292511081743333516e-05,1.288792803539404146e-05,1.356447563101680618e-04,1.893260473194102950e-04
1.225806451612903469e+00,1.320377781674053433e-05,1.307718941436833890e-05,1.314520709779640401e-04,1.940844962501427247e-04
1.258064516129032251e+00,1.351369479590626486e-05,1.313715396982388139e-05,1.398618386786112000e-04,2.137879745228398170e-04
1.290322580645161477e+00,1.301430269786609203e-05,1.228566752419751654e-05,1.422991099724468670e-04,2.259431506097245225e-04
1.322580645161290258e+00,1.277237193955853930e-05,1.112788346253067477e-05,1.449636502473909401e-04,2.255197082088769122e-04
1.354838709677419484e+00,1.133270035347814570e-05,9.889492875401663469e-06,1.529892086576259760e-04,2.355337635701782871e-04
1.387096774193548265e+00,1.225175821807692669e-05,1.074983930449926603e-05,1.571749667114654856e-04,2.378799116172425809e-04
1.419354838709677491e+00,1.262951052431368808e-05,1.067313712907948879e-05,1.493486276100506477e-04,2.201020741316826051e-04
1.451612903225806495e+00,1.435065608425696018e-05,1.280873135805601038e-05,1.465894477696596501e-04,2.160202052383432833e-04
1.483870967741935498e+00,1.537980170416802756e-05,1.276043797414481865e-05,1.440826048439840007e-04,2.126600928495982223e-04
1.516129032258064502e+00,1.372738919040177486e-05,1.119529083892037943e-05,1.435096936387404644e-04,2.089063345068416276e-04
1.548387096774193505e+00,1.343716315480020032e-05,1.102912092744176854e-05,1.447937632845677607e-04,2.085215787126867718e-04
1.580645161290322509e+00,1.348144764743712739e-05,1.354228538185003837e-05,1.485790586016617464e-04,2.142656301353445885e-04
1.612903225806451513e+00,1.348667089312239219e-05,1.555260050478181151e-05,1.525858994468144768e-04,2.169368416238155457e-04
