Freq_x, PSD_x, Freq_y, PSD_y, Freq_z, PSD_z
3.225806451612903136e-02,7.560460984239998951e-06,3.225806451612903136e-02,1.749626233049495611e-05,3.225806451612903136e-02,1.257530530194753311e-03
6.451612903225806273e-02,7.452259960209694245e-06,6.451612903225806273e-02,1.241585182475852197e-05,6.451612903225806273e-02,1.173861441424256091e-03
9.677419354838709409e-02,1.146430277394529499e-05,9.677419354838709409e-02,1.305568897792108261e-05,9.677419354838709409e-02,1.158839754880174044e-03
1.290322580645161255e-01,9.643090557790689581e-06,1.290322580645161255e-01,1.511336149662807333e-05,1.290322580645161255e-01,1.140224475549026385e-03
1.612903225806451568e-01,5.582654475100835949e-06,1.612903225806451568e-01,2.003249816206912885e-05,1.612903225806451568e-01,1.100389474363795000e-03
1.935483870967741882e-01,3.722425970430100997e-06,1.935483870967741882e-01,2.214379679395822061e-05,1.935483870967741882e-01,1.065574716449560391e-03
2.258064516129032195e-01,6.931094089029129103e-06,2.258064516129032195e-01,2.931497738805395202e-05,2.258064516129032195e-01,1.063855476671871298e-03
2.580645161290322509e-01,1.034229155369357876e-05,2.580645161290322509e-01,3.617757749727728287e-05,2.580645161290322509e-01,1.036729763164596311e-03
2.903225806451612545e-01,1.335414883453064886e-05,2.903225806451612545e-01,3.798636440699821400e-05,2.903225806451612545e-01,1.012136610838108679e-03
3.225806451612903136e-01,1.262536387264031846e-05,3.225806451612903136e-01,3.340835283211399218e-05,3.225806451612903136e-01,1.010613526157098626e-03
3.548387096774193727e-01,9.450132013420940998e-06,3.548387096774193727e-01,3.749558447579473406e-05,3.548387096774193727e-01,9.864160885926689503e-04
3.870967741935483764e-01,5.933554797702638884e-06,3.870967741935483764e-01,5.024462357867169268e-05,3.870967741935483764e-01,9.829847157437005337e-04
4.193548387096773800e-01,7.905377655899973872e-06,4.193548387096773800e-01,5.087811520718813933e-05,4.193548387096773800e-01,9.920219027854172179e-04
4.516129032258064391e-01,8.185055831570649661e-06,4.516129032258064391e-01,5.420799027941666657e-05,4.516129032258064391e-01,9.821829967374467660e-04
4.838709677419354982e-01,1.312642879611045825e-05,4.838709677419354982e-01,5.925626190663048066e-05,4.838709677419354982e-01,9.553396877376355402e-04
5.161290322580645018e-01,1.629609314944487796e-05,5.161290322580645018e-01,5.170868207003453997e-05,5.161290322580645018e-01,9.403754302238564533e-04
5.483870967741935054e-01,1.674037623109010791e-05,5.483870967741935054e-01,4.756812157365175597e-05,5.483870967741935054e-01,9.072879198276369121e-04
5.806451612903225090e-01,1.584450505306258652e-05,5.806451612903225090e-01,5.116233445453062165e-05,5.806451612903225090e-01,8.716185424176882413e-04
6.129032258064516236e-01,1.604827737990734544e-05,6.129032258064516236e-01,5.516449112994517996e-05,6.129032258064516236e-01,8.549346683116912631e-04
6.451612903225806273e-01,1.396502272846953703e-05,6.451612903225806273e-01,5.504334074445756711e-05,6.451612903225806273e-01,8.290258456224825715e-04
6.774193548387096309e-01,1.446004631306179636e-05,6.774193548387096309e-01,6.086418073395786154e-05,6.774193548387096309e-01,7.765830735613088063e-04
7.096774193548387455e-01,2.236184091266829640e-05,7.096774193548387455e-01,6.155898354104446157e-05,7.096774193548387455e-01,7.779036199162098729e-04
7.419354838709677491e-01,3.147148725675481866e-05,7.419354838709677491e-01,6.392449859265252293e-05,7.419354838709677491e-01,7.246544552039996343e-04
7.741935483870967527e-01,3.051345164066112962e-05,7.741935483870967527e-01,6.643935710933928382e-05,7.741935483870967527e-01,7.185299064670481019e-04
8.064516129032257563e-01,3.220313254521290665e-05,8.064516129032257563e-01,7.466182117995798543e-05,8.064516129032257563e-01,6.843869088453851703e-04
8.387096774193547599e-01,3.224197074021646685e-05,8.387096774193547599e-01,1.326938287806634536e-04,8.387096774193547599e-01,6.681570935354283784e-04
8.709677419354838745e-01,2.893410794138780005e-05,8.709677419354838745e-01,6.089981914786321299e-04,8.709677419354838745e-01,6.773279110661351065e-04
9.032258064516128782e-01,3.151306455822447671e-05,9.032258064516128782e-01,2.540023694093840418e-05,9.032258064516128782e-01,5.981370014047056663e-04
9.354838709677418818e-01,4.570222070925001337e-05,9.354838709677418818e-01,1.442461229358595828e-05,9.354838709677418818e-01,5.935930308499340509e-04
9.677419354838709964e-01,5.616547211760679738e-05,9.677419354838709964e-01,2.618398080050616335e-05,9.677419354838709964e-01,5.848131084505305650e-04
1.000000000000000000e+00,6.554369982398397922e-05,1.000000000000000000e+00,3.460656914739388725e-05,1.000000000000000000e+00,5.439147809195636575e-04
1.032258064516129004e+00,5.927698684814832381e-05,1.032258064516129004e+00,3.796789540922556325e-05,1.032258064516129004e+00,5.291623682416061666e-04
1.064516129032258007e+00,4.202250066933586317e-05,1.064516129032258007e+00,3.316678511517269745e-05,1.064516129032258007e+00,5.179070217469526139e-04
1.096774193548387011e+00,2.566984943295047602e-05,1.096774193548387011e+00,2.892843156364586105e-05,1.096774193548387011e+00,4.864755291852144677e-04
1.129032258064516014e+00,2.197766155960258059e-05,1.129032258064516014e+00,2.466010045509564534e-05,1.129032258064516014e+00,4.619493625115182723e-04
1.161290322580645018e+00,2.046262197392058373e-05,1.161290322580645018e+00,3.311830191787000136e-05,1.161290322580645018e+00,4.281682347462850030e-04
1.193548387096774244e+00,2.667674248129846238e-05,1.193548387096774244e+00,3.272320647291728684e-05,1.193548387096774244e+00,4.091723767909443842e-04
1.225806451612903247e+00,3.131912657600703669e-05,1.225806451612903247e+00,3.080949257125003291e-05,1.225806451612903247e+00,3.730158234927248898e-04
1.258064516129032251e+00,3.425350707609581952e-05,1.258064516129032251e+00,3.319940781836756860e-05,1.258064516129032251e+00,3.532313088131446184e-04
1.290322580645161255e+00,3.052457167064803598e-05,1.290322580645161255e+00,3.395709291416891957e-05,1.290322580645161255e+00,3.441759430801447973e-04
1.322580645161290258e+00,2.770355274113284500e-05,1.322580645161290258e+00,3.584387315533373025e-05,1.322580645161290258e+00,3.141083067515868681e-04
1.354838709677419262e+00,2.159707080562233136e-05,1.354838709677419262e+00,4.801368223099073128e-05,1.354838709677419262e+00,2.938378554618760593e-04
