Frequency[Hz], Hx, sHx, Hy, sHy, PhaseX[rad], sPhaseX, PhaseY[rad], sPhaseY
5.000000000000000000e-01,1.889217824202061745e-03,7.096688773092651341e-05,5.153159380976629405e-04,6.829129680514696161e-05,-1.483668301558918046e+00,8.260729036174541129e-02,6.092041575092306260e-01,2.961935822031456778e-01
5.000000000000000000e-01,4.957383260813683253e-03,7.112640578301969018e-05,1.154323081686720390e-03,6.882048692311671734e-05,3.031432896511034869e-01,3.143838800168934772e-02,3.244156734142380927e+00,1.297693916086017085e-01
5.200000000000000178e-01,5.129746852847582184e-04,6.573769297997907523e-05,1.992935286640098037e-04,6.370778680275739178e-05,3.033946092605095401e-01,2.732240496164101695e-01,1.164479271771795332e+00,6.679416386527131655e-01
5.400000000000000355e-01,4.658600272107041372e-04,6.069374155743838310e-05,7.076443493430908352e-05,5.888607326912850815e-05,4.654792721538392186e-02,2.795027242991208749e-01,-1.824941738805746283e+00,1.746928306956587074e+00
5.600000000000000533e-01,5.093656490045258070e-04,5.664508077720965931e-05,1.188757778888088713e-04,5.469521371983226802e-05,-1.682847156247975207e-01,2.394889752862241483e-01,-4.567936824500310244e+00,9.991178064065191489e-01
5.799999999999999600e-01,6.335764060289772112e-04,5.271595972439307559e-05,1.459019421967255176e-04,5.099235618886000502e-05,4.073740355555783843e-01,1.762531189956135225e-01,-5.708390167253956093e+00,7.380630847691105334e-01
5.999999999999999778e-01,8.236563875591952156e-04,4.922714153704357501e-05,2.727860003414163620e-04,4.757306402547806847e-05,5.865114915231930404e-01,1.261427188901297625e-01,-7.986435978266820612e+00,3.650297852268768461e-01
5.999999999999999778e-01,9.311259624256510966e-04,4.932031629755263179e-05,2.339296111819344243e-04,4.769503181881237905e-05,5.156694427382442214e-01,1.071302746619457458e-01,-6.638839966368553114e+00,4.081621187157384312e-01
6.199999999999999956e-01,8.982313346016482410e-04,4.640595739271416616e-05,2.018589268375680561e-04,4.454793609482409769e-05,3.628719892434881800e-01,1.083396422718121976e-01,-7.777944755528590548e+00,4.738032487471064425e-01
6.400000000000000133e-01,1.043877105734039058e-03,4.339221114234517203e-05,1.715382369418262632e-04,4.189349707532915375e-05,6.512775685298448636e-01,8.569993387988913969e-02,-8.717341522480415605e+00,5.052708299723003282e-01
6.600000000000000311e-01,1.087191861663685871e-03,4.082137243219923753e-05,1.027869907448925133e-04,3.933887411619442043e-05,1.792086692183980645e-01,7.636402958427915277e-02,-7.601963615757362014e+00,7.908048113064019002e-01
6.800000000000001599e-01,1.322659437730565020e-03,3.840941207881591910e-05,4.295889111079494020e-05,3.707957280443199431e-05,3.377176425491468237e-02,6.085361092422773149e-02,-6.567717302001334190e+00,1.805886214294202707e+00
6.999999999999999556e-01,1.502513177105894212e-03,3.615587462457865562e-05,7.162502301967911891e-05,3.507333686940791913e-05,1.989418406897769387e-02,5.092944269478829472e-02,-4.361050464706384133e+00,1.023001316525612214e+00
6.999999999999999556e-01,1.533490086042944888e-03,3.612801694970028016e-05,8.281202815836330173e-05,3.498554363832804398e-05,1.354679500238020751e-02,4.818259719430978416e-02,-6.775485591752058667e+00,8.578929670501598270e-01
7.199999999999999734e-01,1.626616179757663398e-03,3.419528036730672994e-05,1.010608410792159835e-04,3.319952736174988249e-05,8.277422944970425078e-02,4.527558351394973812e-02,-3.677633713729134612e+00,6.952744038726931253e-01
7.400000000000001021e-01,1.969016785837196613e-03,3.248109223885327026e-05,4.865910830846741542e-05,3.139952266413032774e-05,6.101009800354173507e-02,3.344780685638299583e-02,-1.622335806770625943e+00,1.301781485387563331e+00
7.599999999999998979e-01,2.316129826402599668e-03,3.072249829316013988e-05,9.299853552472676997e-05,2.973250939654835571e-05,-7.493948910777703531e-03,2.787849754034812250e-02,-1.769506241263836266e+00,6.671738944094460777e-01
7.800000000000000266e-01,2.835577436279257228e-03,2.914300063901163548e-05,1.029462737524892372e-04,2.812009885230266773e-05,3.908047085839028156e-02,2.150910358281296272e-02,-2.816335215254523128e+00,5.727108170265939879e-01
8.000000000000000444e-01,3.659351863498199950e-03,2.779477013355930625e-05,9.172748764977704274e-05,2.681783613291836277e-05,-2.285381681514664365e-02,1.584938349870603988e-02,-3.282354523386060485e+00,6.118955112682338271e-01
8.000000000000000444e-01,3.680182673042199388e-03,2.776758523767708980e-05,1.022717728728170526e-04,2.682504409213945984e-05,-8.273965239632641300e-02,1.593664572182515102e-02,-2.579745017678936492e+00,5.565107778084785739e-01
8.199999999999998401e-01,4.811593447732413070e-03,2.645409259684451000e-05,1.284938277140742872e-04,2.553441163161270319e-05,-3.438809169045686787e-02,1.113525575385052903e-02,-2.717518087243069758e+00,4.013640841645997326e-01
8.399999999999999689e-01,6.814162948964572197e-03,2.518672932524574729e-05,1.666750996361210488e-04,2.432401116890213692e-05,-2.627000622329234147e-02,7.435006876090827568e-03,-3.173208492935707170e+00,2.935446820283376113e-01
8.599999999999999867e-01,1.188529334377599542e-02,2.395395470440003134e-05,3.360368175383848690e-04,2.315184759312261664e-05,-2.133611461432765033e-01,4.113949096397353199e-03,-3.138760880367793327e+00,1.402911229150987926e-01
8.800000000000000044e-01,4.970031748258172538e-02,2.291410094815501822e-05,1.529312796047785535e-03,2.213754654475660761e-05,-8.092791855655407929e-01,9.579462070982393751e-04,-4.034520790660718781e+00,3.003197250446882835e-02
9.000000000000000222e-01,4.042447362472396943e-02,2.194756784119663898e-05,1.215671278760369588e-03,2.119888199338222851e-05,-2.246437744597992392e+00,1.132957464655279505e-03,-5.400981557909655173e+00,3.637452625292801611e-02
9.000000000000000222e-01,2.982845560177885616e-02,2.193316211184074776e-05,9.440337387687444681e-04,2.118522147575832416e-05,-3.424181350716667183e+00,1.497786890920296387e-03,-6.582242247015736680e+00,4.569839594828084550e-02
9.200000000000000400e-01,1.541465406113262313e-02,2.099208005558706277e-05,4.174919101909582253e-04,2.027467152188311609e-05,-2.884329518647108959e+00,2.804828317090920457e-03,-6.086145323266674900e+00,9.996801497613912180e-02
9.399999999999999467e-01,9.384744373613503401e-03,2.014145975942692961e-05,2.293996596839008523e-04,1.946556194672498339e-05,-2.936927408882342938e+00,4.477894145601312749e-03,-6.425434728007891394e+00,1.764404157241297455e-01
9.599999999999999645e-01,6.881468817423509916e-03,1.926337859549626352e-05,1.624956493874621746e-04,1.858611383668824606e-05,-2.997542965195886477e+00,5.812906751464382536e-03,-6.084174111725147327e+00,2.379025888540048927e-01
9.799999999999999822e-01,5.433282282427130509e-03,1.852254223141550237e-05,1.867047010889246199e-04,1.788308520781481791e-05,-3.087966530676848009e+00,7.050119609929502394e-03,-6.121693725400998431e+00,1.980574001802292705e-01
1.000000000000000000e+00,4.807468919893314804e-03,1.776424552366580534e-05,1.365719154106843653e-04,1.715615601797063726e-05,-3.092189946408175683e+00,7.467447788977073231e-03,-6.227543403885793971e+00,2.538452993947092340e-01
