Frequency[Hz], Hx, sHx, Hy, sHy, PhaseX[rad], sPhaseX, PhaseY[rad], sPhaseY
1.000000000000000000e+00,5.807271001930347889e-05,1.778339945347702216e-05,4.541361286064812624e-04,1.716158321660665202e-05,2.164855151306406711e+00,6.246202190526162212e-01,5.016455136510478141e-02,7.760620166276359366e-02
1.100000000000000089e+00,6.045424455418885797e-05,1.467067557223216400e-05,6.424925614090950350e-04,1.416758452342163560e-05,-5.692058435158515728e-01,5.051079094628216914e-01,5.833875490640316741e-02,4.557039974784133501e-02
1.199999999999999956e+00,6.527695301838636467e-05,1.232268390838070770e-05,7.668563681721503236e-04,1.193083638063096291e-05,-5.722028478751135516e-01,3.839046887339643277e-01,6.496253492398507134e-02,3.135716575571765447e-02
1.300000000000000044e+00,4.483997880850842255e-05,1.051124168272407219e-05,1.110735780568288889e-03,1.014697304518314372e-05,-3.339854211077044610e-01,4.854490650121394690e-01,2.126686539397404374e-02,1.896910189060281235e-02
1.300000000000000044e+00,5.318205270744320737e-05,1.049888559166876079e-05,1.126080874076495217e-03,1.013845850526473606e-05,-7.443841024216486524e-01,4.061940140256172782e-01,-2.013997151622337611e-02,1.855190038860545648e-02
1.320000000000000062e+00,4.446382851289145592e-05,1.019058988806736204e-05,1.165657883363913983e-03,9.853928148092488208e-06,-1.342559824099167631e+00,4.660248301656924053e-01,6.308392145078034474e-02,1.704983934433213985e-02
1.340000000000000080e+00,6.884339550932977306e-05,9.901443057788374637e-06,1.265797955534549201e-03,9.552304942552442021e-06,3.967548766161765883e-02,2.950386659635634845e-01,-1.379840108773322527e-02,1.551650097576233282e-02
1.360000000000000320e+00,2.898286524881219203e-05,9.617319354985501579e-06,1.358699787570879494e-03,9.290073898627415275e-06,-6.251690805245955218e-01,6.702302493655845073e-01,-1.676312075589070361e-02,1.378727400579570460e-02
1.379999999999999893e+00,4.328427327092930331e-05,9.317183156138910666e-06,1.472198419259119475e-03,8.992515235453617673e-06,-5.051314779676649991e-01,4.334959227589386122e-01,-2.351018948437255673e-02,1.233876435525643571e-02
1.399999999999999911e+00,4.943900733991385887e-05,9.073923903215024028e-06,1.567707003815545968e-03,8.751950614192385765e-06,-3.383907972116082519e-01,3.771593159215532731e-01,1.462222609919905381e-03,1.151109768722560767e-02
1.399999999999999911e+00,4.373761352057934282e-05,9.048491622473123967e-06,1.581625611238897085e-03,8.745413820824539879e-06,4.338271983969361756e-01,4.248254466843697785e-01,4.745173040423544819e-03,1.133544783884017637e-02
1.419999999999999929e+00,5.008190689033808482e-05,8.805229445197416247e-06,1.681803018093654123e-03,8.509152815303359165e-06,-7.579711451395523270e-01,3.625430379223699151e-01,-2.708699925783975004e-02,1.039962845727170244e-02
1.439999999999999947e+00,5.982113598992638696e-05,8.568004848495262463e-06,1.817031190803889383e-03,8.283988980475931777e-06,-4.932316913867724750e-01,2.950476071278779200e-01,-9.635847329941604755e-03,9.385023682854260266e-03
1.459999999999999964e+00,5.658925603166486653e-05,8.323378239228742254e-06,1.982795753043084357e-03,8.037817508241382287e-06,-4.419631644238917190e-01,2.973987725872319077e-01,-3.122964050853616058e-02,8.195242070964291886e-03
1.480000000000000204e+00,6.994454691715498999e-05,8.102518926041858010e-06,2.159270113764790149e-03,7.826410487551433451e-06,1.312676261360281593e-01,2.360185667091954098e-01,-1.740600181492935050e-02,7.376627228232400177e-03
1.500000000000000000e+00,7.839753821390356805e-05,7.895440558381544075e-06,2.374804631260328189e-03,7.625504603123532931e-06,-1.213565318813936145e-01,2.071127860488823635e-01,-2.434546355927125205e-02,6.604408872109147899e-03
