# #Freq[Hz], #Gain_mean[a.u.], #Gain_std[a.u.], #Phase_mean[rad], #Phase_std[rad]
2.000000000000000227e+03,1.218047906015603088e+00,2.026760726501974853e-04,2.897812510432643762e+00,3.098671771440422392e-04
2.008351824886009126e+03,1.218503408238346131e+00,1.540850804779155773e-04,2.896720407382225027e+00,2.342134212519119492e-04
2.016738526261481411e+03,1.218999890585471091e+00,3.302242079785904600e-04,2.895676115947608764e+00,2.469579115520260416e-04
2.025160249767583082e+03,1.219567658301813795e+00,3.132710988682833549e-04,2.894487476182312946e+00,2.083282712513369859e-04
2.033617141653665612e+03,1.219993416356963234e+00,3.763196999833182295e-04,2.893366535724015698e+00,2.334967107043571836e-04
2.042109348779806396e+03,1.220717794212570206e+00,1.635508780533708340e-04,2.892152648484424216e+00,1.862318769226080958e-04
2.050637018619351693e+03,1.221047703539744012e+00,2.887200319167023137e-04,2.890950723561898528e+00,1.788176532929061332e-04
2.059200299261489818e+03,1.221618948814557459e+00,2.307624970240957870e-04,2.889803146749291507e+00,2.162180055950367315e-04
2.067799339413814323e+03,1.222244146762535788e+00,2.461760201946484937e-04,2.888496017802213434e+00,1.965787448968069843e-04
2.076434288404908784e+03,1.222829991309785980e+00,2.701407994524698667e-04,2.887375983620773745e+00,2.442634935921002867e-04
2.085105296186939995e+03,1.223459600645875556e+00,2.543089659616069452e-04,2.886162234320192255e+00,2.423218079293896902e-04
2.093812513338261851e+03,1.223967810048818272e+00,2.505984863425174077e-04,2.884934589330193866e+00,1.762168858275000379e-04
2.102556091066029239e+03,1.224663697297476705e+00,2.216672423703590160e-04,2.883612933184273253e+00,2.916566993952447360e-04
2.111336181208826929e+03,1.225250888896928902e+00,2.375618047850950492e-04,2.882447432580022006e+00,1.729660014475532695e-04
2.120152936239304381e+03,1.225765511635711347e+00,2.229269844979307963e-04,2.881287948302003521e+00,2.840557681408875570e-04
2.129006509266818739e+03,1.226337287693286537e+00,2.373705279224929245e-04,2.879981452081017412e+00,2.030484581220868949e-04
2.137897054040103285e+03,1.226990186235491498e+00,1.793390460411465204e-04,2.878749824287734072e+00,2.052620777269487389e-04
2.146824724949931806e+03,1.227599514295682592e+00,2.656387305074393770e-04,2.877654872046965018e+00,1.903606991260329043e-04
2.155789677031800238e+03,1.228175111299965483e+00,1.886658552653801887e-04,2.876361248933116066e+00,1.873752597949187193e-04
2.164792065968617862e+03,1.228754159679596558e+00,1.880556628379345652e-04,2.875031108110488454e+00,1.624730197777788081e-04
2.173832048093413505e+03,1.229458966141460774e+00,2.709154429929615856e-04,2.873675276745373264e+00,1.888891252467790670e-04
2.182909780392048560e+03,1.230096844538970835e+00,1.894328992918796093e-04,2.872521262671412501e+00,2.327099745907874374e-04
2.192025420505943657e+03,1.230679336566330662e+00,3.652057378078104092e-04,2.871144947293312377e+00,2.519845243610008192e-04
2.201179126734816691e+03,1.231305816555753330e+00,1.875888203936250300e-04,2.869908005020544994e+00,2.367583210138102863e-04
2.210371058039432683e+03,1.231918161396264422e+00,2.402612308123969957e-04,2.868630441742891612e+00,2.229006892518179707e-04
2.219601374044356362e+03,1.232584840647403590e+00,1.400739933174852028e-04,2.867287851792069908e+00,2.405900166189104295e-04
2.228870235040737953e+03,1.233219863578780329e+00,2.160210281612516211e-04,2.865944024177681904e+00,2.321950223395168825e-04
2.238177801989086674e+03,1.233814143398425767e+00,1.842748787755465307e-04,2.864672126334600666e+00,2.323403800584883849e-04
2.247524236522069259e+03,1.234508059443513606e+00,2.375118773841335639e-04,2.863311530563081408e+00,2.408038268465722946e-04
2.256909700947316196e+03,1.235298114733941466e+00,2.607931132766614290e-04,2.861969989071658560e+00,2.236724440905633502e-04
2.266334358250239347e+03,1.235865910747496521e+00,1.676551094424380832e-04,2.860565200222131566e+00,2.467818184119528529e-04
2.275798372096865023e+03,1.236596751473355571e+00,2.743370267132036835e-04,2.859278845473202324e+00,2.610736238795383210e-04
2.285301906836673879e+03,1.237290147146615116e+00,1.905707452104447711e-04,2.857857386672470135e+00,2.511318120387470948e-04
2.294845127505457185e+03,1.237961702236627604e+00,1.715771309076245983e-04,2.856510397911758758e+00,2.685615900736547119e-04
2.304428199828175366e+03,1.238759127581036568e+00,1.860055587130604550e-04,2.855166819016029756e+00,2.224073929878720758e-04
2.314051290221848376e+03,1.239491299599869256e+00,2.032431175778198816e-04,2.853693238529395160e+00,1.646483368541194542e-04
2.323714565798436070e+03,1.240070869048029323e+00,2.928215732924322650e-04,2.852391279313569505e+00,2.865468450233794396e-04
2.333418194367744491e+03,1.240761839522035226e+00,3.010629079275518784e-04,2.850982141635943101e+00,2.970637097549144799e-04
2.343162344440337620e+03,1.241456901419596193e+00,2.246932548732679291e-04,2.849581940203468999e+00,1.926436130793536875e-04
