# #Freq[Hz], #Gain_mean[a.u.], #Gain_std[a.u.], #Phase_mean[rad], #Phase_std[rad]
2.000000000000000227e+03,1.232570672169959858e+00,2.749032510285073956e-04,2.882570133562980086e+00,2.136974611724069004e-04
2.008351824886009126e+03,1.233152636164406513e+00,3.486864622649911124e-04,2.881284973027470997e+00,2.595656977753774217e-04
2.016738526261481411e+03,1.233508054633249973e+00,3.636219583999418807e-04,2.880169753377646025e+00,2.125478563595602189e-04
2.025160249767583082e+03,1.234058569941974381e+00,4.863465541477836719e-04,2.878932127982687827e+00,2.618168394498910029e-04
2.033617141653665612e+03,1.234477610721870899e+00,4.235371631185957052e-04,2.877726155431183486e+00,2.534817195295124229e-04
2.042109348779806396e+03,1.235024994499569040e+00,3.280523532556384007e-04,2.876473446573459825e+00,2.050325738336924617e-04
2.050637018619351693e+03,1.235485143670864039e+00,3.676963516940856221e-04,2.875342364150197394e+00,2.086706675670097475e-04
2.059200299261489818e+03,1.236010685884273652e+00,4.400287023055982484e-04,2.874099144937642958e+00,2.749073357678836734e-04
2.067799339413814323e+03,1.236419948699779114e+00,3.567759379501545414e-04,2.872846821512506477e+00,3.312521776900899427e-04
2.076434288404908784e+03,1.236962417235516920e+00,3.678439452398499557e-04,2.871622148077297432e+00,2.110655935830460777e-04
2.085105296186939995e+03,1.237432999175445136e+00,4.689102607962593251e-04,2.870351890817735896e+00,2.515557715505080394e-04
2.093812513338261851e+03,1.237977018668109164e+00,4.080359649901610809e-04,2.869100405841318313e+00,2.221331654401711205e-04
2.102556091066029239e+03,1.238640193816919588e+00,3.590563337436511633e-04,2.867771099333968010e+00,2.153016701909529090e-04
2.111336181208826929e+03,1.239022765397203907e+00,2.914589085586083666e-04,2.866488544188653176e+00,3.009103105935327085e-04
2.120152936239304381e+03,1.239536916878780648e+00,4.991139010481921443e-04,2.865283355507453056e+00,2.710995761871180516e-04
2.129006509266818739e+03,1.240110059440464152e+00,3.890396534136194217e-04,2.863997057332330343e+00,2.347829740717464152e-04
2.137897054040103285e+03,1.240685478873880365e+00,3.719388596012727466e-04,2.862647466024553999e+00,1.748158013499102696e-04
2.146824724949931806e+03,1.241157931178397789e+00,4.258626015601495087e-04,2.861328675565649959e+00,1.893394606275060929e-04
2.155789677031800238e+03,1.241731293969429606e+00,3.780323479752491353e-04,2.860013934285591919e+00,2.123796132701048452e-04
2.164792065968617862e+03,1.242292017620473699e+00,3.726363629330153209e-04,2.858677696707450977e+00,2.601574211943348991e-04
2.173832048093413505e+03,1.242778253359010820e+00,4.647168842267329581e-04,2.857428413854289140e+00,2.634439599855128815e-04
2.182909780392048560e+03,1.243616058306040939e+00,5.001525700674295865e-04,2.856014307615907022e+00,2.209896565856832242e-04
2.192025420505943657e+03,1.243926049794116029e+00,3.269136131704262365e-04,2.854698855972528371e+00,2.741290844059600493e-04
2.201179126734816691e+03,1.244578955436156376e+00,3.781551798824333579e-04,2.853330934575068589e+00,2.695968950828424109e-04
2.210371058039432683e+03,1.245122998400134184e+00,4.481091689150950479e-04,2.852011910965241981e+00,1.981104419742922194e-04
2.219601374044356362e+03,1.245657450397292365e+00,3.967503614083472269e-04,2.850578107108401760e+00,2.090234370218582304e-04
2.228870235040737953e+03,1.246247975409528141e+00,3.177446293256941628e-04,2.849262655497402985e+00,2.905798497396325101e-04
2.238177801989086674e+03,1.246882726440436295e+00,4.408427499031090566e-04,2.847910315884949917e+00,1.804220741512098727e-04
2.247524236522069259e+03,1.247462466718752383e+00,3.330570962239645530e-04,2.846596634719832597e+00,2.741353263078845793e-04
2.256909700947316196e+03,1.248151013281737498e+00,5.689901368355109249e-04,2.845016577464980490e+00,1.939449828879077399e-04
2.266334358250239347e+03,1.248747658918587744e+00,2.481159601494761259e-04,2.843685581135303231e+00,2.380065066448975013e-04
2.275798372096865023e+03,1.249254055814826847e+00,4.730884106419308674e-04,2.842328507965447670e+00,1.783821545798856898e-04
2.285301906836673879e+03,1.249961918491178992e+00,3.306427753588802600e-04,2.840869838812766002e+00,2.573153089498122245e-04
2.294845127505457185e+03,1.250562040600456282e+00,4.751536844862121450e-04,2.839455694044711542e+00,2.300113385080305702e-04
2.304428199828175366e+03,1.251023252361975313e+00,3.859235241946390145e-04,2.838101372096861752e+00,2.452838495549174115e-04
2.314051290221848376e+03,1.251774333229145775e+00,3.423591777643717241e-04,2.836543945931341071e+00,1.920489194069250791e-04
2.323714565798436070e+03,1.252408157172678393e+00,4.025423694868520124e-04,2.835202470908794403e+00,2.627839564787388168e-04
2.333418194367744491e+03,1.253196371985349167e+00,3.163791744709499362e-04,2.833558574173931088e+00,2.433053340083081830e-04
2.343162344440337620e+03,1.253665904458927116e+00,3.439651833750920792e-04,2.832285418367637142e+00,2.593619934948645546e-04
2.352947185230465493e+03,1.254402782540739336e+00,4.573537477802868258e-04,2.830757744264656317e+00,1.887349125369610335e-04
2.362772886659001870e+03,1.255051428911515776e+00,2.289255930311360468e-04,2.829228425475325270e+00,2.285284105426668700e-04
2.372639619356394633e+03,1.255594047229312116e+00,3.386156149574570369e-04,2.827813949535781468e+00,2.293871435472135897e-04
2.382547554665633015e+03,1.256440496330450962e+00,4.959303926740416153e-04,2.826263686320837909e+00,2.674852255078756969e-04
2.392496864645211190e+03,1.257092214350691517e+00,3.480353416747886792e-04,2.824766533699415660e+00,2.879390341036082521e-04
2.402487722072131874e+03,1.257667091046244412e+00,3.637466740404345479e-04,2.823223595451109347e+00,1.754191177775025221e-04
2.412520300444898567e+03,1.258505909748653506e+00,3.735101061969193343e-04,2.821653098748139854e+00,3.153804045561545599e-04
2.422594773986527343e+03,1.259149104494832194e+00,3.751696536714814846e-04,2.820199161577517266e+00,2.250973007682978303e-04
