*Input voltage 	V_+
-5	-0.564911852602725
-4.9	-0.563993963086136
-4.8	-0.563055064729826
-4.7	-0.562094178934813
-4.6	-0.56111025600477
-4.5	-0.560102169504651
-4.4	-0.559068708615934
-4.3	-0.558008569517339
-4.2	-0.5569203456366
-4.1	-0.555802516598663
-4	-0.554653435643928
-3.9	-0.553471315270922
-3.8	-0.552254210777933
-3.7	-0.551000001342264
-3.6	-0.549706368164068
-3.5	-0.548370769127572
-3.4	-0.546990409286552
-3.3	-0.545562206323071
-3.2	-0.544082749915449
-3.1	-0.542548253695838
-3	-0.540954498104294
-2.9	-0.539296762004113
-2.8	-0.537569740303444
-2.7	-0.535767444017865
-2.6	-0.53388305655164
-2.5	-0.531908864958456
-2.4	-0.529835955164088
-2.3	-0.527654051830418
-2.2	-0.525351201549177
-2.1	-0.522913389132146
-2	-0.520324038334088
-1.9	-0.517563352791622
-1.8	-0.514607432091765
-1.7	-0.511427064822109
-1.6	-0.507986047033976
-1.5	-0.504238785219019
-1.4	-0.500126788491772
-1.3	-0.495573377070194
-1.2	-0.490475411700252
-1.1	-0.484689812581734
-1	-0.47801045002481
-0.900000000000001	-0.470126024211835
-0.800000000000001	-0.460537244043069
-0.700000000000001	-0.448377765867257
-0.600000000000001	-0.43197880768293
-0.500000000000001	-0.407667465915967
-0.400000000000001	-0.366499090711068
-0.300000000000001	-0.294334388057094
-0.200000000000001	-0.199452429164381
-0.100000000000001	-0.099953101145696
-1.02695629777827E-15	-1.02675253009271E-15
0.099999999999999	0.099953101146498
0.199999999999999	0.199452429150547
0.299999999999999	0.294334388063137
0.399999999999999	0.366499091441787
0.499999999999999	0.40766746960683
0.599999999999999	0.431978807703493
0.699999999999999	0.448377760303436
0.799999999999999	0.460537254795171
0.899999999999999	0.470126025957943
0.999999999999999	0.47801045040081
1.1	0.484689812681401
1.2	0.490475411731767
1.3	0.495573377081917
1.4	0.500126788496453
1.5	0.504238785220284
1.6	0.507986047035309
1.7	0.511427064822782
1.8	0.514607432092568
1.9	0.517563352792031
2	0.520324038333941
2.1	0.522913389132285
2.2	0.525351201548922
2.3	0.527654051831079
2.4	0.529835955163542
2.5	0.531908864958441
2.6	0.533883056551401
2.7	0.535767425922433
2.8	0.537569744175993
2.9	0.539296765155301
3	0.540954500689744
3.1	0.542548255832973
3.2	0.544082751693665
3.3	0.54556220781262
3.4	0.546990410542001
3.5	0.548370770191189
3.6	0.549706369069932
3.7	0.551000002118334
3.8	0.552254211445031
3.9	0.553471315846733
4	0.554653436143715
4.1	0.555802517033543
4.2	0.556920346016811
4.3	0.558008569850864
4.4	0.559068708909445
4.5	0.560102169763607
4.6	0.561110256234078
4.7	0.562094179138738
4.8	0.563055064911173
4.9	0.563993963247929
5	0.56491185390881
 
