# freq1	PSD1	freq2	PSD2
0.000000000000000000e+00	1.724586547431499578e-33	0.000000000000000000e+00	8.183791670424765330e-38
2.441406249999999645e+01	1.135744242373032529e-07	2.441406249999999645e+01	3.381427143571862928e-11
4.882812499999999289e+01	1.171214846336210928e-07	4.882812499999999289e+01	8.640086741459346619e-10
7.324218749999998579e+01	1.271028039864515496e-07	7.324218749999998579e+01	2.814179159740426667e-10
9.765624999999998579e+01	1.166619914240236311e-07	9.765624999999998579e+01	1.128885976241512849e-10
1.220703124999999858e+02	1.464174654129450519e-07	1.220703124999999858e+02	8.392566668371777429e-10
1.464843749999999716e+02	1.322171484739935025e-07	1.464843749999999716e+02	1.078537613541775426e-10
1.708984374999999716e+02	1.361417331125552600e-07	1.708984374999999716e+02	4.120281915053699313e-11
1.953124999999999716e+02	1.374419893751199034e-07	1.953124999999999716e+02	2.387703310886937790e-10
2.197265624999999716e+02	1.329307624190149149e-07	2.197265624999999716e+02	2.293694956055525903e-10
2.441406249999999716e+02	1.630702361637661436e-07	2.441406249999999716e+02	4.079063358015478630e-11
2.685546874999999432e+02	1.615924957674848052e-07	2.685546874999999432e+02	1.910466931295322440e-10
2.929687499999999432e+02	1.543384818752278284e-07	2.929687499999999432e+02	2.149503549732992267e-11
3.173828124999999432e+02	1.620277742347764639e-07	3.173828124999999432e+02	6.272518528025450947e-11
3.417968749999999432e+02	1.732798753074710776e-07	3.417968749999999432e+02	1.861294505259409630e-10
3.662109374999999432e+02	1.667883902956775856e-07	3.662109374999999432e+02	7.202226993999227842e-11
3.906249999999999432e+02	1.831592306836986771e-07	3.906249999999999432e+02	7.198593601531888879e-11
4.150390624999999432e+02	1.825519393617981288e-07	4.150390624999999432e+02	4.261941264083126429e-11
4.394531249999999432e+02	1.844942094579248061e-07	4.394531249999999432e+02	7.374653191714018586e-11
4.638671874999999432e+02	1.940449577516116063e-07	4.638671874999999432e+02	2.252268346286889328e-10
4.882812499999999432e+02	2.316719281731262437e-07	4.882812499999999432e+02	1.034415574563866868e-10
5.126953124999998863e+02	2.454205369832900772e-07	5.126953124999998863e+02	9.350802427606817419e-11
5.371093749999998863e+02	2.396335105444734762e-07	5.371093749999998863e+02	8.745314480440717040e-10
5.615234374999998863e+02	2.772162529706110836e-07	5.615234374999998863e+02	8.346289619453809082e-12
5.859374999999998863e+02	3.022533921701939786e-07	5.859374999999998863e+02	8.261806896667460706e-12
6.103515624999998863e+02	3.012133184188950627e-07	6.103515624999998863e+02	1.245583965739332311e-10
6.347656249999998863e+02	3.485295835330230975e-07	6.347656249999998863e+02	1.647739283337255166e-11
6.591796874999998863e+02	3.861559406629921177e-07	6.591796874999998863e+02	4.891481244678491684e-11
6.835937499999998863e+02	4.346206791827391376e-07	6.835937499999998863e+02	2.212102889585178260e-11
7.080078124999998863e+02	5.047757964820592559e-07	7.080078124999998863e+02	5.847082829863319652e-11
7.324218749999998863e+02	5.946355124501497918e-07	7.324218749999998863e+02	5.607212041529407456e-11
7.568359374999998863e+02	6.901588986541876394e-07	7.568359374999998863e+02	4.090064114935304309e-10
7.812499999999998863e+02	7.910545370366284308e-07	7.812499999999998863e+02	1.131281739291663145e-11
8.056640624999998863e+02	9.819823072002548545e-07	8.056640624999998863e+02	1.139499231302726025e-10
8.300781249999998863e+02	1.253450090513624421e-06	8.300781249999998863e+02	1.216606308352096525e-10
8.544921874999998863e+02	1.674366474127513344e-06	8.544921874999998863e+02	1.583063380780918208e-11
8.789062499999998863e+02	2.278231021972798107e-06	8.789062499999998863e+02	2.309049801313881320e-10
9.033203124999998863e+02	3.473989580077362913e-06	9.033203124999998863e+02	3.570470974345114313e-11
9.277343749999998863e+02	6.010199470439041372e-06	9.277343749999998863e+02	4.161137211955198356e-12
9.521484374999998863e+02	1.335120123707192612e-05	9.521484374999998863e+02	2.500072172642805744e-10
9.765624999999998863e+02	5.387279213926644844e-05	9.765624999999998863e+02	1.174387387439486888e-09
1.000976562499999886e+03	3.011412211064765782e-02	1.000976562499999886e+03	4.590373137235858958e-07
1.025390624999999773e+03	4.308961282728667234e-05	1.025390624999999773e+03	9.273778463521862251e-10
1.049804687499999773e+03	1.083419929276490796e-05	1.049804687499999773e+03	1.453033865655045152e-10
1.074218749999999773e+03	4.738485627020699037e-06	1.074218749999999773e+03	2.371070284865294764e-10
1.098632812499999773e+03	2.586192814658897496e-06	1.098632812499999773e+03	1.365639123345146066e-11
1.123046874999999773e+03	1.613568194337498295e-06	1.123046874999999773e+03	6.753497536357645361e-11
1.147460937499999773e+03	1.098387503444150857e-06	1.147460937499999773e+03	8.893610723129639825e-11
1.171874999999999773e+03	7.812967097070325504e-07	1.171874999999999773e+03	3.944379009808127511e-10
1.196289062499999773e+03	5.633246850005149355e-07	1.196289062499999773e+03	6.932922717272565904e-11
1.220703124999999773e+03	4.209355764482247443e-07	1.220703124999999773e+03	2.041774157619159590e-10
1.245117187499999773e+03	3.461824366754230556e-07	1.245117187499999773e+03	1.283956970302620228e-10
1.269531249999999773e+03	2.704781336520636192e-07	1.269531249999999773e+03	2.931000581430347491e-11
1.293945312499999773e+03	2.285032061945277314e-07	1.293945312499999773e+03	5.976742538653902906e-12
1.318359374999999773e+03	1.834012821637194575e-07	1.318359374999999773e+03	3.510672708429591441e-11
1.342773437499999773e+03	1.577989588474166025e-07	1.342773437499999773e+03	6.154680048941419461e-12
1.367187499999999773e+03	1.233085751690678584e-07	1.367187499999999773e+03	8.011774189587176992e-11
1.391601562499999773e+03	1.075292883666829406e-07	1.391601562499999773e+03	1.771473705286164185e-12
1.416015624999999773e+03	9.194042160265022394e-08	1.416015624999999773e+03	8.641503208867546644e-11
1.440429687499999773e+03	7.632812683517062216e-08	1.440429687499999773e+03	5.085950293987888784e-11
1.464843749999999773e+03	6.758675984342753257e-08	1.464843749999999773e+03	2.998613127267945941e-12
1.489257812499999773e+03	5.870725771733918989e-08	1.489257812499999773e+03	3.540530961259380917e-11
1.513671874999999773e+03	5.269082421006959915e-08	1.513671874999999773e+03	1.202045219246661756e-11
1.538085937499999773e+03	4.545777180980048804e-08	1.538085937499999773e+03	1.077600086170845978e-10
1.562499999999999773e+03	3.712625511940765363e-08	1.562499999999999773e+03	5.730570203263792407e-11
1.586914062499999773e+03	2.953947809799007937e-08	1.586914062499999773e+03	2.284238040377330360e-11
1.611328124999999773e+03	3.061596584283435027e-08	1.611328124999999773e+03	4.297892389677204138e-12
1.635742187499999773e+03	2.632338249255302334e-08	1.635742187499999773e+03	2.236397533254523854e-11
1.660156249999999773e+03	2.205981419872097761e-08	1.660156249999999773e+03	7.517013139225114217e-11
1.684570312499999773e+03	1.742430605598892346e-08	1.684570312499999773e+03	2.307708240266789842e-11
1.708984374999999773e+03	1.849407737497247421e-08	1.708984374999999773e+03	8.735171641739931085e-12
1.733398437499999773e+03	1.435607747383298458e-08	1.733398437499999773e+03	5.566783941465368557e-11
1.757812499999999773e+03	1.476673462556729139e-08	1.757812499999999773e+03	6.273805552764542780e-12
1.782226562499999773e+03	1.291730987519387945e-08	1.782226562499999773e+03	8.748897734262258852e-11
1.806640624999999773e+03	8.803621094589154136e-09	1.806640624999999773e+03	2.497610067432299726e-11
1.831054687499999773e+03	9.022636757215827331e-09	1.831054687499999773e+03	1.684601077444466179e-11
1.855468749999999773e+03	9.181651680941310928e-09	1.855468749999999773e+03	2.114361229812069283e-11
1.879882812499999773e+03	6.735778513558310405e-09	1.879882812499999773e+03	5.496413627737749880e-11
1.904296874999999773e+03	5.948284888830755932e-09	1.904296874999999773e+03	6.407610042775467322e-11
1.928710937499999773e+03	5.016699261750603966e-09	1.928710937499999773e+03	1.287542043727642820e-10
1.953124999999999773e+03	4.156919053374563814e-09	1.953124999999999773e+03	7.651875349677210100e-11
1.977539062499999773e+03	3.179349804866883940e-09	1.977539062499999773e+03	2.680670339130027251e-11
2.001953124999999773e+03	2.505880841157600859e-09	2.001953124999999773e+03	5.670251510338884568e-10
2.026367187499999773e+03	2.391196224817351293e-09	2.026367187499999773e+03	9.949725275970527572e-11
2.050781249999999545e+03	2.879009639298105421e-09	2.050781249999999545e+03	4.258702240758538697e-11
2.075195312499999545e+03	2.154491880592092337e-09	2.075195312499999545e+03	1.901157886131396498e-12
2.099609374999999545e+03	1.505400042752889716e-09	2.099609374999999545e+03	1.464568793278772491e-10
2.124023437499999545e+03	6.517633585346762288e-10	2.124023437499999545e+03	1.022621719882814657e-10
2.148437499999999545e+03	8.093900399539932547e-10	2.148437499999999545e+03	8.307483312288770497e-11
2.172851562499999545e+03	1.050329001737818292e-09	2.172851562499999545e+03	2.746599643782803150e-11
2.197265624999999545e+03	3.831491058877718607e-10	2.197265624999999545e+03	5.952781866569034265e-11
2.221679687499999545e+03	2.694818283175726589e-10	2.221679687499999545e+03	1.421717343297249887e-11
2.246093749999999545e+03	2.608370825930184569e-10	2.246093749999999545e+03	3.530797333916264167e-11
2.270507812499999545e+03	9.046723792097741397e-11	2.270507812499999545e+03	4.908043223702959716e-11
2.294921874999999545e+03	1.921181064055488797e-10	2.294921874999999545e+03	1.566240627218802977e-11
2.319335937499999545e+03	2.328211447036097471e-10	2.319335937499999545e+03	1.141947825158869278e-11
2.343749999999999545e+03	9.700003028397821834e-11	2.343749999999999545e+03	2.386994892888806823e-11
2.368164062499999545e+03	3.341048625383888973e-10	2.368164062499999545e+03	2.345058319125352575e-11
2.392578124999999545e+03	1.322479194636720058e-09	2.392578124999999545e+03	3.905151582349091439e-11
2.416992187499999545e+03	6.092909631927407765e-10	2.416992187499999545e+03	4.706723672255401301e-11
2.441406249999999545e+03	1.589850971647507232e-09	2.441406249999999545e+03	2.913729577058611118e-12
2.465820312499999545e+03	1.748787511878864649e-09	2.465820312499999545e+03	1.520532352753707209e-10
2.490234374999999545e+03	2.503373782918445088e-09	2.490234374999999545e+03	9.159934434927765506e-11
2.514648437499999545e+03	2.948314174964814025e-09	2.514648437499999545e+03	2.842220342582611287e-11
2.539062499999999545e+03	4.041264663676902441e-09	2.539062499999999545e+03	5.294275400958274547e-11
2.563476562499999545e+03	5.698497998409843605e-09	2.563476562499999545e+03	1.882226132235351497e-11
2.587890624999999545e+03	6.006937285963550170e-09	2.587890624999999545e+03	2.464157832669233150e-12
2.612304687499999545e+03	8.504523092890370298e-09	2.612304687499999545e+03	1.162536950833932794e-10
2.636718749999999545e+03	1.057859169275672068e-08	2.636718749999999545e+03	1.074116962600511189e-13
2.661132812499999545e+03	1.037061702705355838e-08	2.661132812499999545e+03	9.163972175779545572e-11
2.685546874999999545e+03	1.593992377109609718e-08	2.685546874999999545e+03	3.920336047172517231e-11
2.709960937499999545e+03	2.056251784095190429e-08	2.709960937499999545e+03	3.014408318808005438e-10
2.734374999999999545e+03	2.834643786054248569e-08	2.734374999999999545e+03	2.491334927647128855e-10
2.758789062499999545e+03	3.243108228233907101e-08	2.758789062499999545e+03	1.908435143610725603e-11
2.783203124999999545e+03	4.236320438082174391e-08	2.783203124999999545e+03	3.219844790486196891e-11
2.807617187499999545e+03	5.949481589482750422e-08	2.807617187499999545e+03	6.998215904138378080e-11
2.832031249999999545e+03	8.120739103494737113e-08	2.832031249999999545e+03	2.479118816640899673e-11
2.856445312499999545e+03	1.177939765415429658e-07	2.856445312499999545e+03	8.517115482690143478e-11
2.880859374999999545e+03	1.867803588338956885e-07	2.880859374999999545e+03	5.390228151596433830e-11
2.905273437499999545e+03	2.933159355578170480e-07	2.905273437499999545e+03	6.448043147291472066e-11
2.929687499999999545e+03	5.705716929455469056e-07	2.929687499999999545e+03	1.028790497042220997e-10
2.954101562499999545e+03	1.396665026832367718e-06	2.954101562499999545e+03	1.057463772359651918e-10
2.978515624999999545e+03	6.610962940150496291e-06	2.978515624999999545e+03	4.166979368495918470e-10
3.002929687499999545e+03	3.647878865682570022e-04	3.002929687499999545e+03	2.416500008875831772e-08
3.027343749999999545e+03	4.277522122793201157e-06	3.027343749999999545e+03	5.312722551320521282e-10
3.051757812499999545e+03	1.238343580761045312e-06	3.051757812499999545e+03	5.424916380387688125e-11
3.076171874999999545e+03	5.849111311267558743e-07	3.076171874999999545e+03	5.014313668515370304e-11
3.100585937499999545e+03	3.391084793303982891e-07	3.100585937499999545e+03	1.448289642750079064e-10
3.124999999999999545e+03	2.348492650394619639e-07	3.124999999999999545e+03	4.725388412852410985e-11
3.149414062499999545e+03	1.606668804648235773e-07	3.149414062499999545e+03	3.695636274608958426e-11
3.173828124999999545e+03	1.271138702924772614e-07	3.173828124999999545e+03	1.285848405937049935e-10
3.198242187499999545e+03	9.469462071782100918e-08	3.198242187499999545e+03	9.650623821932190951e-11
3.222656249999999545e+03	7.518736622884976133e-08	3.222656249999999545e+03	4.966083636088537311e-11
3.247070312499999545e+03	6.659301460613253260e-08	3.247070312499999545e+03	1.400538551331940984e-11
3.271484374999999545e+03	5.508654025011389489e-08	3.271484374999999545e+03	3.530727008627031697e-11
3.295898437499999545e+03	4.598338753848603879e-08	3.295898437499999545e+03	1.280062009826731803e-11
3.320312499999999545e+03	4.083934465141458221e-08	3.320312499999999545e+03	6.768197549168286593e-11
3.344726562499999545e+03	3.404435760942652891e-08	3.344726562499999545e+03	5.223030750522825644e-11
3.369140624999999545e+03	3.139388327538038579e-08	3.369140624999999545e+03	1.260104839843238752e-10
3.393554687499999545e+03	2.448056627669698711e-08	3.393554687499999545e+03	1.308731381183270443e-11
